countrynum,statenum,route,routename,active,latitude,longitude,stratum,bcr,landtypeid,routetypeid,routetypedetailid
840,2,1,ST FLORIAN,1,34.869,-87.604,14,27,0,1,1
840,2,2,HILLSBORO,0,34.639,-87.191,14,24,0,1,1
840,2,3,FLORENCE,0,34.800,-87.733,14,24,0,1,1
840,2,4,TRADE,1,34.030,-87.059,13,28,0,1,1
840,2,5,SUMMITT,0,34.202,-86.493,13,28,0,1,1
840,2,6,VALHERMOSO SPGS,0,34.501,-86.686,14,24,0,1,1
840,2,7,SWAIM,1,34.868,-86.203,14,24,0,1,1
840,2,8,PINE GROVE,1,34.028,-85.711,13,28,0,1,1
840,2,9,DAWSON,0,34.304,-85.927,13,28,0,1,1
840,2,10,MILLERVILLE,1,33.191,-85.926,11,29,0,1,1
840,2,11,DEARMANVILLE,0,33.626,-85.752,13,28,0,1,1
840,2,12,SUNNY EVE,1,33.608,-85.751,13,28,0,1,1
840,2,13,GREENSPORT,1,33.812,-86.115,13,28,0,1,1
840,2,14,SMYER LAKE,1,33.455,-86.601,13,28,0,1,1
840,2,15,MT OLIVE,1,33.682,-86.872,13,28,0,1,1
840,2,16,HOWARD,1,33.848,-87.589,13,27,0,1,1
840,2,17,MAYTOWN,1,33.526,-87.004,13,28,0,1,1
840,2,18,MARVEL,0,33.150,-87.000,4,28,0,1,1
840,2,19,LIBERTY,1,33.477,-88.171,4,27,0,1,1
840,2,20,RIDERWOOD,1,32.131,-88.317,4,27,0,1,1
840,2,21,LINDEN,1,32.278,-87.836,4,27,0,1,1
840,2,22,HARRELL,1,32.443,-87.216,4,27,0,1,1
840,2,23,GREENSBORO,1,32.785,-87.515,4,27,0,1,1
840,2,24,SPRAGUE,1,32.131,-86.275,4,27,0,1,1
840,2,25,BILLINGSLEY,1,32.659,-86.702,4,27,0,1,1
840,2,26,WALLSBORO,1,32.589,-86.131,4,27,0,1,1
840,2,27,WARRIOR STD,1,32.312,-85.553,4,27,0,1,1
840,2,28,LANETT,1,32.885,-85.204,11,29,0,1,1
840,2,29,COTTONTON,1,32.147,-85.063,4,27,0,1,1
840,2,30,NEWTON,1,31.339,-85.590,4,27,0,1,1
840,2,31,GRANGEBURG,1,31.008,-85.211,4,27,0,1,1
840,2,32,BRUNDIDGE,1,31.717,-85.816,4,27,0,1,1
840,2,33,BRANTLEY,1,31.586,-86.250,4,27,0,1,1
840,2,34,SOUTH,1,31.444,-86.613,4,27,0,1,1
840,2,35,MCLELLAN,1,30.998,-86.886,4,27,0,1,1
840,2,36,BEATRICE,1,31.740,-87.209,4,27,0,1,1
840,2,37,LATHAM,0,31.097,-87.832,4,27,0,1,1
840,2,38,CASTLEBERRY,1,31.318,-87.120,4,27,0,1,1
840,2,39,MILLRY,1,31.633,-88.313,4,27,0,1,1
840,2,40,DAUPHIN IS,0,30.254,-88.113,3,27,0,1,1
840,2,41,ALABAMA PT,0,30.282,-87.518,3,27,0,1,1
840,2,42,FOLEY,0,30.370,-87.683,3,27,0,1,1
840,2,43,BLOCTON,1,33.116,-87.101,13,27,0,1,1
840,2,44,BIRMINGHAM,0,33.591,-86.697,13,28,0,1,1
840,2,45,WHITEHOUSE,1,34.131,-87.762,4,27,0,1,1
840,2,46,GUNTERSVILLE,1,34.314,-86.477,13,28,0,1,1
840,2,47,JENA,1,33.138,-87.821,4,27,0,1,1
840,2,48,EPES,1,32.681,-88.123,4,27,0,1,1
840,2,49,WEDGEWORTH,1,32.806,-87.764,4,27,0,1,1
840,2,50,WHITEHALL,1,32.328,-86.712,4,27,0,1,1
840,2,51,LIBERTY CITY,1,32.582,-85.716,11,29,0,1,1
840,2,52,ESCATAWPA,1,31.293,-88.385,4,27,0,1,1
840,2,53,GROVE HILL,1,31.710,-87.777,4,27,0,1,1
840,2,54,FAIRVIEW,1,31.222,-86.099,4,27,0,1,1
840,2,55,ELAMVILLE,1,31.668,-85.651,4,27,0,1,1
840,2,56,CHILDERSBURG,0,33.457,-86.257,13,28,0,1,1
840,2,57,YOUNGTOWN,1,34.424,-87.391,13,28,0,1,1
840,2,58,MENTONE,1,34.581,-85.566,13,28,0,1,1
840,2,59,CARROLLTON,1,33.281,-88.009,4,27,0,1,1
840,2,60,HOLT,1,33.264,-87.424,4,27,0,1,1
840,2,61,ODENVILLE,1,33.719,-86.446,13,28,0,1,1
840,2,62,BORDEN SPRNG,0,33.928,-85.468,11,28,0,1,1
840,2,63,ROCK CHAPEL,1,32.413,-87.538,4,27,0,1,1
840,2,64,NIXBURG,0,32.822,-86.112,11,29,0,1,1
840,2,65,CALEBEE,1,32.434,-85.871,4,27,0,1,1
840,2,66,APPLETON,1,31.228,-87.065,4,27,0,1,1
840,2,67,MT. GILEAD,1,31.409,-86.270,4,27,0,1,1
840,2,68,MADRID,1,31.032,-85.412,4,27,0,1,1
840,2,69,GEORGETOWN,1,30.942,-88.352,4,27,0,1,1
840,2,70,BON SECOUR,1,30.304,-87.730,3,27,0,1,1
840,2,71,WHEELER DAM,1,34.796,-87.384,14,24,0,1,1
840,2,72,ELKMONT,1,34.929,-86.989,14,24,0,1,1
840,2,73,WOODVILLE,1,34.990,-86.067,21,28,0,1,1
840,2,102,COURTLAND,1,34.603,-87.254,14,24,0,1,1
840,2,105,BROOKSVILLE,1,34.213,-86.473,13,28,0,1,1
840,2,106,VALHERMOSO SPG 2,1,34.501,-86.686,14,24,0,1,1
840,2,109,LAKEVIEW,1,34.309,-85.932,13,28,0,1,1
840,2,111,CHOCCOLOCCO,1,33.630,-85.747,13,28,0,1,1
840,2,137,LATHAM 2,1,31.071,-87.835,4,27,0,1,1
840,2,140,DAUPHIN IS 2,1,30.248,-88.112,3,27,0,1,1
840,2,141,ALABAMA PT 2,1,30.282,-87.518,3,27,0,1,1
840,2,142,ELBERTA,1,30.370,-87.602,3,27,0,1,1
840,2,156,KYMULGA,1,33.291,-86.331,13,28,0,1,1
840,2,162,Borden Springs 2,1,33.941,-85.450,11,28,0,1,1
840,2,164,NIXBURG 2,1,32.822,-86.112,11,29,0,1,1
840,2,201,VINA,1,34.288,-88.068,4,27,0,1,1
840,2,203,CARTER GROVE,1,34.822,-86.660,14,24,0,1,1
840,2,204,STEVENSON,1,34.758,-85.859,13,28,0,1,1
840,2,205,VERNON,1,33.685,-88.167,4,27,0,1,1
840,2,206,JASPER,0,33.817,-87.138,13,28,0,1,1
840,2,207,ONEONTA,1,33.856,-86.381,13,28,0,1,1
840,2,208,TALLADEGA,1,33.318,-86.157,13,28,0,1,1
840,2,209,WEDOWEE,1,33.184,-85.465,11,29,0,1,1
840,2,210,GASTONBURG,1,32.193,-87.379,4,27,0,1,1
840,2,211,AUTAUGAVILLE,1,32.486,-86.570,4,27,0,1,1
840,2,212,SEALE,1,32.503,-85.253,4,27,0,1,1
840,2,213,CITRONELLE,1,31.137,-88.221,4,27,0,1,1
840,2,214,CLAIBORNE,1,31.746,-87.636,4,27,0,1,1
840,2,215,HELICON,1,31.905,-86.185,4,27,0,1,1
840,2,216,EUFAULA,1,31.730,-85.256,4,27,0,1,1
