ID,Date,Species_Group,Species,Location,Latitude,Longitude,Coordinate_System
1,1975-08-06,Dinoflagellates,Noctiluca scintillans,"Hap Mun Bay, Clear Water Bay, Silverstrand Bay",22.28370192,114.2953221, WGS84
2,1975-08-07,Dinoflagellates,Noctiluca scintillans,"Southern Beaches, Hong Kong Island",22.22082333,114.2151302, WGS84
3,1976-03-16,Dinoflagellates,Noctiluca scintillans,Trio Beach Sai Kung and Silverstand Bay,22.32492948,114.2756229, WGS84
4,1977-02-28,Dinoflagellates,Noctiluca scintillans,"Silverstrand Beach, Sai Kung",22.3229384,114.2724307, WGS84
5,1977-03-15,Dinoflagellates,Noctiluca scintillans,"Clear Water Bay, Sai Kung",22.28675282,114.2941857, WGS84
6,1977-03-15,Dinoflagellates,Noctiluca scintillans,Yim Tin Tsai Fish Culture Zone,22.45370889,114.2078674, WGS84
7,1977-05-24,Dinoflagellates,Gymndinium simplex,Tolo Harbour,22.44590601,114.1960593, WGS84
8,1978-04-17,Dinoflagellates,Ceratium furca,Tolo Harbour,22.44363313,114.2222934, WGS84
9,1978-04-17,Dinoflagellates,Gymnodinium sp.,Tolo Harbour,22.44363313,114.2222934, WGS84
10,1979-03-07,Dinoflagellates,Protoperidinium depressum,Tolo Harbour,22.44363313,114.2222934, WGS84
11,1980-03-18,Dinoflagellates,Prorocentrum sigmoides,Tolo Harbour,22.44363313,114.2222934, WGS84
12,1980-04-15,Others,Undetermined sp.,Tolo Harbour,22.44363313,114.2222934, WGS84
13,1980-04-18,Dinoflagellates,Prorocentrum micans,"Crooked Harbour, Double Haven, Long Harbour",22.44914865,114.3475693, WGS84
14,1980-04-27,Others,Undetermined sp.,Tolo Harbour and Tolo Channel,22.48177064,114.3150795, WGS84
15,1980-04-28,Others,Undetermined sp.,Kau Sai Fish Culture Zone,22.34142886,114.3184377, WGS84
16,1980-08-26,Dinoflagellates,Gymnodinium sp.,"Tai Long Sai Wan, Sai Kung",22.39893851,114.373077, WGS84
17,1980-08-26,Dinoflagellates,Noctiluca scintillans,"Nam She Wan, Sai Kung",22.43828132,114.3708251, WGS84
18,1980-08-26,Others,Trichodesmium erythraeum,"Nam She Wan, Sai Kung",22.43828132,114.3708251, WGS84
19,1980-09-28,Dinoflagellates,Karenia mikimotoi,Tolo Harbour,22.44363313,114.2222934, WGS84
20,1980-10-18,Dinoflagellates,Noctiluca scintillans,"Cafeteria Old Beach, Tuen Mun",22.37473603,113.9839627, WGS84
