uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"6586e18c-f188-4e2c-8e47-ded20d38d95c","BLAN_011.basePlot.bet","D02","BLAN","BLAN_011","E","2015-08-20","2015-09-03","2016-04-19","2015-09-30","N4JQ3RFWht1UiEJPpKgW2wOIWNSwEAHU3YV54xyQ4Ek=","NEON.BET.D02.002369","CHLAES","Chlaenius aestivus","species",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"c3cbfba8-8df3-4d2a-922e-e164d4a3fd72","BLAN_003.basePlot.bet","D02","BLAN","BLAN_003","E","2015-08-20","2015-09-03","2016-04-21","2015-09-03","qWnRnvyEnOyTg93fo0GlNIY2VI1cr3Is4FlfUacD1II=","NEON.BET.D02.002491","HARPEN","Harpalus pensylvanicus","species",,"DeGeer",,"Ball, G. E., and J. N. Anderson. 1962. The taxonomy and speciation of Pseudophonus (a subgenus of Harpalus: Haralini: Carabidae, known to occur in North America). The Catholic University of America Press, Washington 17, D. C.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"145a2588-231e-4d31-830c-4ec40e22c161","BLAN_011.basePlot.bet","D02","BLAN","BLAN_011","E","2015-08-20","2015-09-03","2016-04-21","2015-09-30","N4JQ3RFWht1UiEJPpKgW2zQajkMLb62j5+qxq6TsAhE=","NEON.BET.D02.002533","GALBIC","Galerita bicolor","species",,"Drury",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"79495a32-ea19-4bdb-99ce-29437df5820d","BLAN_001.basePlot.bet","D02","BLAN","BLAN_001","E","2015-08-20","2015-09-03","2016-04-21","2015-09-30","snBNH0r8Ie27sIQ3i0ssVrwZo84G9E9kOf7qjXINx+g=","NEON.BET.D02.002515","CALGRE","Calathus gregarius","species",,"Say",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"e0b2f4ef-508f-41ef-93ed-1163f7485a9e","BLAN_012.basePlot.bet","D02","BLAN","BLAN_012","E","2015-08-20","2015-09-03","2016-04-19","2015-10-01","J0lvmfNn/fev68GQtXYsHgT3i9fTHMoAirakxEYnJvU=","NEON.BET.D02.002370","CHLAES","Chlaenius aestivus","species",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"808f4719-b701-4c9f-9e5b-1021dd15d113","BLAN_011.basePlot.bet","D02","BLAN","BLAN_011","E","2015-08-20","2015-09-03","2016-04-11","2015-09-30","N4JQ3RFWht1UiEJPpKgW2/d3aXcnSSmwkouDe1nHzns=","NEON.BET.D02.002014","BEMPED","Bembidion pedicellatum","species",,"LeConte",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","ena7GLJui5s1h8moQAQPw3Qj2+mVdivS",
"a3cbb176-d277-4c58-a4d7-211e4734ab57","BLAN_003.basePlot.bet","D02","BLAN","BLAN_003","E","2015-08-20","2015-09-03","2016-04-21","2015-09-30","qWnRnvyEnOyTg93fo0GlNIY2VI1cr3Is4FlfUacD1II=","NEON.BET.D02.002492","HARPEN","Harpalus pensylvanicus","species",,"DeGeer",,"Ball, G. E., and J. N. Anderson. 1962. The taxonomy and speciation of Pseudophonus (a subgenus of Harpalus: Haralini: Carabidae, known to occur in North America). The Catholic University of America Press, Washington 17, D. C.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"dffc4d86-b912-4daf-917c-b44b7eef6b16","BLAN_009.basePlot.bet","D02","BLAN","BLAN_009","E","2015-08-20","2015-09-03","2016-04-19","2015-09-30","7TKpA4ipJZDyHyTXy7ZdZ7IMRXFgLbqqT8seG3QXEFU=","NEON.BET.D02.002212","CYCSIG","Cyclotrachelus sigillatus","species",,"Say",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"83213710-3c90-47ad-9732-aedb917d2302","BLAN_002.basePlot.bet","D02","BLAN","BLAN_002","E","2015-08-20","2015-09-03","2016-04-21","2015-10-01","pAIsJl1bu+EhoVbsGjTwWg93FqHjaA0CmEv+fMGNf1Y=","NEON.BET.D02.002465","HARCAL","Harpalus caliginosus","species",,"Fabricius",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"2a15738c-5303-4bb2-a55a-5a1304320dec","BLAN_011.basePlot.bet","D02","BLAN","BLAN_011","E","2015-08-20","2015-09-03","2016-04-11","2015-09-30","N4JQ3RFWht1UiEJPpKgW2/d3aXcnSSmwkouDe1nHzns=","NEON.BET.D02.002015","BEMPED","Bembidion pedicellatum","species",,"LeConte",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","ena7GLJui5s1h8moQAQPw3Qj2+mVdivS",
"f97b46e0-7878-44e7-bf09-14c8825856e0","BLAN_005.basePlot.bet","D02","BLAN","BLAN_005","E","2015-08-20","2015-09-03","2016-04-19","2015-10-01","z8g4o9caFRNBjyTGQyR3EWvDbvoAtYFvCrizIcU1YBE=","NEON.BET.D02.002172","PTEPER2","Pterostichus permundus","species",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"3b106fec-adc0-47f7-9665-00c911987d0d","BLAN_011.basePlot.bet","D02","BLAN","BLAN_011","E","2015-08-20","2015-09-03","2016-04-11","2015-09-30","N4JQ3RFWht1UiEJPpKgW2/d3aXcnSSmwkouDe1nHzns=","NEON.BET.D02.002013","BEMPED","Bembidion pedicellatum","species",,"LeConte",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","ena7GLJui5s1h8moQAQPw3Qj2+mVdivS",
"d481dff9-f21d-407a-88fb-de0e89fa9199","BLAN_011.basePlot.bet","D02","BLAN","BLAN_011","E","2015-08-20","2015-09-03","2016-04-19","2015-09-30","N4JQ3RFWht1UiEJPpKgW2/gkij8mhGQa8nNriNkGOHs=","NEON.BET.D02.002179","PTEPER2","Pterostichus permundus","species",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
