uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"6febcaf4-f7ee-4841-9357-c79e96ddfbad","BLAN_011.basePlot.bet","D02","BLAN","BLAN_011","E","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_011.E.20160804","N4JQ3RFWht3iCjhQxs86FTn2ACZD/C3c990Nb8SpNlA=","invert bycatch",,,,,,,,,,"YJ2A+OwoGUUtJLNxPkxhEPyEeY8sOiMA",
"bfc8f4d9-5f07-4eaa-a9f0-103fae0c9884","BLAN_006.basePlot.bet","D02","BLAN","BLAN_006","W","2016-07-21","2016-08-04","2016-08-05","2016-08-25",,"BLAN_006.W.20160804","YPnoadCppCxLlYIcy172hVy9QhNNx89qtanRb1FYrs8=","invert bycatch",,,,,,,,,,"YJ2A+OwoGUUtJLNxPkxhEPyEeY8sOiMA",
"1e311e32-7ee8-4dc6-953b-08f42b8f9b1e","BLAN_009.basePlot.bet","D02","BLAN","BLAN_009","E","2016-07-21","2016-08-04","2016-08-05","2016-08-25",,"BLAN_009.E.20160804","7TKpA4ipJZCLoi1cN6RgBpHgEhEpHhIIDX/9DSTrJWU=","invert bycatch",,,,,,,,,,"65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
"168906f6-401f-4507-ab7a-26f3580caaca","BLAN_012.basePlot.bet","D02","BLAN","BLAN_012","E","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_012.E.20160804","J0lvmfNn/feBZJX/r9rbG7FApkWoI5SdC5LrnKRs7fg=","invert bycatch",,,,,,,,,,"p8WKbOBZs5/CRPjq/1HrITk8Sf0GvCtj",
"bf1228be-e917-4358-a9c8-a152e3471f4a","BLAN_002.basePlot.bet","D02","BLAN","BLAN_002","E","2016-07-21","2016-08-04","2016-08-05","2016-08-25",,"BLAN_002.E.20160804","pAIsJl1bu+GcqHkav4nxkTdUTupvIXTrKvUVyeBPcSw=","invert bycatch",,,,,,,,,,"p8WKbOBZs5/CRPjq/1HrITk8Sf0GvCtj",
"c199797b-84e9-4733-9505-1a08e35356ad","BLAN_005.basePlot.bet","D02","BLAN","BLAN_005","E","2016-07-21","2016-08-04","2016-08-05","2016-08-25",,"BLAN_005.E.20160804","z8g4o9caFRNPiNEj+rTdnaelX6Z3aEMsmSjOXOoHDFg=","invert bycatch",,,,,,,,,,"WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",
"90097628-e9be-448b-b93d-a516344634b4","BLAN_001.basePlot.bet","D02","BLAN","BLAN_001","E","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_001.E.20160804","snBNH0r8Ie3SaQ3QzfzC8NnfJhx2kT0phiXs4M/qXAc=","invert bycatch",,,,,,,,,,"YJ2A+OwoGUUtJLNxPkxhEPyEeY8sOiMA",
"bf6f33a5-922d-4aaf-a379-b6e52a4634e2","BLAN_003.basePlot.bet","D02","BLAN","BLAN_003","E","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_003.E.20160804","qWnRnvyEnOzvkqBLEPxufbY/IrCsYQCHzlL1fAFqWHU=","invert bycatch",,,,,,,,,,"vEBCcEQSSh8r9pJtyJMpi8WPWOrf6mR2",
"6908eeaa-011d-497e-9f1b-8ada2a6fa1a4","BLAN_004.basePlot.bet","D02","BLAN","BLAN_004","E","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_004.E.20160804","zD/pbYGBt/ANIhimybzuVEe6IWmOj/irk+oK7zgDX/g=","invert bycatch",,,,,,,,,,"65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
"05061f2a-a53f-4251-a9bf-8e9a4d3d32ae","BLAN_007.basePlot.bet","D02","BLAN","BLAN_007","E","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_007.E.20160804","bSFRDFDJGfxXTLdApops9zmoSbPqd8pQt4fiTekInK0=","invert bycatch",,,,,,,,,,"65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
"675f388f-95c2-4876-8520-74ba34df2bab","BLAN_005.basePlot.bet","D02","BLAN","BLAN_005","N","2016-07-21","2016-08-04","2016-08-05","2016-08-25",,"BLAN_005.N.20160804","z8g4o9caFROb0qmxmK9e6wFDRh3bZhfD8KLquqB1orM=","invert bycatch",,,,,,,,,,"WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",
"6e1bdde0-3703-4ba7-b2b2-83801bf42ec6","BLAN_012.basePlot.bet","D02","BLAN","BLAN_012","N","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_012.N.20160804","J0lvmfNn/fcB1Z2HArIN3/iXKLC8YTzfCgIZQE1kgHM=","invert bycatch",,,,,,,,,,"p8WKbOBZs5/CRPjq/1HrITk8Sf0GvCtj",
"a5e11d72-c166-4e29-9a4b-077406c7989b","BLAN_001.basePlot.bet","D02","BLAN","BLAN_001","N","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_001.N.20160804","snBNH0r8Ie1zRwaFy8PrZIrL55CyyIhibu+mDHrT1Yo=","invert bycatch",,,,,,,,,,"YJ2A+OwoGUUtJLNxPkxhEPyEeY8sOiMA",
"90a574b4-1810-477b-9ce2-5297757d8553","BLAN_003.basePlot.bet","D02","BLAN","BLAN_003","N","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_003.N.20160804","qWnRnvyEnOwn3yzI8gMMreoOCebXoh5rZB5mHJwmO5Q=","invert bycatch",,,,,,,,,,"vEBCcEQSSh8r9pJtyJMpi8WPWOrf6mR2",
"09b0b66d-3d0d-4eea-9e7e-1be7b3937807","BLAN_004.basePlot.bet","D02","BLAN","BLAN_004","N","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_004.N.20160804","zD/pbYGBt/B+sEMbYUnpRPH9QPS75+eoz95IyLuGjnE=","invert bycatch",,,,,,,,,,"65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
"4671cb47-a60f-42d6-9b30-41d47df93192","BLAN_007.basePlot.bet","D02","BLAN","BLAN_007","N","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_007.N.20160804","bSFRDFDJGfwmsJlDgxZmVfxNZ+lBk5+hadlLkDYJY1I=","invert bycatch",,,,,,,,,,"65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
"ac468d84-0573-404a-91bc-1362e184d8cc","BLAN_011.basePlot.bet","D02","BLAN","BLAN_011","N","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_011.N.20160804","N4JQ3RFWht38MMWGq6fPrySNJjoljLoE5tM6v/2fBp0=","invert bycatch",,,,,,,,,,"YJ2A+OwoGUUtJLNxPkxhEPyEeY8sOiMA",
"7377c3fc-a360-4ab4-92a1-366d276ef27f","BLAN_006.basePlot.bet","D02","BLAN","BLAN_006","N","2016-07-21","2016-08-04","2016-08-05","2016-08-25",,"BLAN_006.N.20160804","YPnoadCppCwF5XmkSLVouRNlFGy3ck031f05KvXGObM=","invert bycatch",,,,,,,,,,"YJ2A+OwoGUUtJLNxPkxhEPyEeY8sOiMA",
"665cab76-515d-4237-b826-4fd01ac011fe","BLAN_002.basePlot.bet","D02","BLAN","BLAN_002","N","2016-07-21","2016-08-04","2016-08-05","2016-08-25",,"BLAN_002.N.20160804","pAIsJl1bu+Gz4nciqRdL6GidVunM6u8BclZrzdILxEE=","invert bycatch",,,,,,,,,,"p8WKbOBZs5/CRPjq/1HrITk8Sf0GvCtj",
"40289d95-79a5-4535-a1bf-b5d205f7e5b5","BLAN_009.basePlot.bet","D02","BLAN","BLAN_009","N","2016-07-21","2016-08-04","2016-08-05","2016-08-25",,"BLAN_009.N.20160804","7TKpA4ipJZD0wZ2O79XEBpTJOu52v0I47peVRVrG80A=","invert bycatch",,,,,,,,,,"65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
"8fd192b1-daa7-47b5-beee-de68d6354166","BLAN_012.basePlot.bet","D02","BLAN","BLAN_012","S","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_012.S.20160804","J0lvmfNn/fftBWgPGS5Q6aVQTF4LgIxDJfBJh8jde5I=","invert bycatch",,,,,,,,,,"p8WKbOBZs5/CRPjq/1HrITk8Sf0GvCtj",
"c2c4ebbc-3f41-4356-a024-6b816298f854","BLAN_003.basePlot.bet","D02","BLAN","BLAN_003","S","2016-07-21","2016-08-04","2016-08-05","2016-08-26",,"BLAN_003.S.20160804","qWnRnvyEnOzFYwRcK1FO1HR7usA0NQDKZ/mJOFEDMDE=","invert bycatch",,,,,,,,,,"vEBCcEQSSh8r9pJtyJMpi8WPWOrf6mR2",
"d96ccf85-31d6-4841-b01a-b082dcaf7142","BLAN_005.basePlot.bet","D02","BLAN","BLAN_005","S","2016-07-21","2016-08-04","2016-08-05","2016-08-25",,"BLAN_005.S.20160804","z8g4o9caFROdADeoGkCWjB2f4ZwEVkM1pdQtnsfnBkI=","invert bycatch",,,,,,,,,,"WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",
