uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"2d4d1e44-9100-43ac-924c-5b731e09d2ab","SCBI_008.basePlot.bet","D02","SCBI","SCBI_008","2015-06-23","2015-07-07","2015-08-20","BDl2KAs5Zr36jXTEeNl24/3ZNoIRDi+8xnY4ZTMnZEpBy5368bw6RcGOHAy/oAR54twv2yu0Op5X0ppoRR3PKQ==","BDl2KAs5Zr2IuhULVLXUtxqGgbkTBd8nUxbJ+Hx8PJ0=","Chlaenius emarginatus",,
"4bf26fee-25b9-4fde-a4f3-ac680ab18c6f","SCBI_002.basePlot.bet","D02","SCBI","SCBI_002","2015-06-23","2015-07-07","2015-08-17","NTl2q/XFbjxxk0NSrvvJwHlTqvkbhQIQPiTsU7C5E85qVjpJaiijZTpXH+mASNvhLXni4vffMEdkaV3cDUEgsg==","NTl2q/XFbjxNPlSZfFZmy0gczBn9yKFYphYyM66U4HI=","Cyclotrachelus sigillatus",,
"09bb1e89-7cf7-41d1-897f-992b4f75100e","SCBI_003.basePlot.bet","D02","SCBI","SCBI_003","2015-06-23","2015-07-07","2015-08-19","YQnsugPXdU2Zq1Hkpx4VSucYs23Vp4GO+6pZ6XVSUDQFjO75xTfOI/k+ftD5C3EOtZVb7HSm+fpGpZlk3BKw0Q==","YQnsugPXdU2bMKkUlLuSGQPGtLZEDI6SEQYun/YpDcE=","Chlaenius aestivus",,
"68ec70ef-9b75-4e33-8b05-7cd2a8092074","SCBI_012.basePlot.bet","D02","SCBI","SCBI_012","2015-06-23","2015-07-07","2015-08-14","XK58HfsRWvdXPdqnwcZ6Ta1lM3coEsCu2GUlUKSD3M9jxSwXwfD3bh0Cbl0q4qknpLgepaeg4OTaLtSmyhRHsg==","XK58HfsRWvej1EqkPvUZK+CL8iXdXbMWFXE3Gah+RuY=","Chlaenius aestivus",,
"75b23c16-503c-4600-8d57-c74a40cfa054","SCBI_033.basePlot.bet","D02","SCBI","SCBI_033","2015-06-23","2015-07-07","2015-08-07","4ZBK4Rjlf9mfQQkSbewYYK54DkTUdPk/4zz95Net0mrdHKM2s/TswOR+T6pQp9TQTwlBQPlzUf4BUVaropqy7A==","4ZBK4Rjlf9k1wc3k2Xb8k0WtfYLK06lOeLMh4Bv9Hoc=","Chlaenius aestivus",,
"28f1b0ff-1008-423e-b6f6-672e3b899ec0","SCBI_002.basePlot.bet","D02","SCBI","SCBI_002","2015-06-23","2015-07-07","2015-08-17","NTl2q/XFbjxxk0NSrvvJwMIO+KlcXkVjzGHBHDHIMWUvTOjBQ1T6Gx1tKgfDZ0OVzcHaN5Tk4qINziih7Blo69jaZEV/P//aNdxNpL1O3GidRLvmrTpjySksibl2bS22uo5ROG//HzQ=","NTl2q/XFbjxNPlSZfFZmy/z2IE78u4I9",,,
"6da077c7-bbfd-4cf2-9f7b-d75f40c02cdf","SCBI_003.basePlot.bet","D02","SCBI","SCBI_003","2015-06-23","2015-07-07","2015-08-19","YQnsugPXdU3C6y/600l7ZiHOMUzHQ6lUk5yNaWhN39sK6tKgvVITrDGGX2DWS9W2M8lLGaeUvDmAKMaW4PnVGgO4+Xykx0wrs/fyUzJvKqW33PP7N7luDhIDzODmctotkIu4JlP7oo4=","YQnsugPXdU2bMKkUlLuSGeSHIlgPA3s0",,,
"ed5f7879-99e7-4ed4-a645-556acd45a5e5","SCBI_003.basePlot.bet","D02","SCBI","SCBI_003","2015-06-23","2015-07-07","2015-08-19","YQnsugPXdU3C6y/600l7ZiHOMUzHQ6lUmS2i0u7GkP7zQlPPqqg2Nmpx/jeqziIMJ42kzh4qGPc7RnMbHeL1PMjDUILfgi0U2ffpxPWdEgo=","YQnsugPXdU2bMKkUlLuSGTaN8ab695/x",,,
"080a1d10-1ffd-4a02-a1e4-cd5aa3e812db","SCBI_004.basePlot.bet","D02","SCBI","SCBI_004","2015-06-23","2015-07-07","2015-08-14","ZCodyo9yj6286/2SN8Mad6GDP8KOD544aweZtfWisiKcG6xYqDgLPIAHGL52HqlrJcRntdorVPgyvr3bXmcSJHcjbzP1vTEEySbRk1iyibxLiERGFR1tfPjsW9vKjwT5J3AvP488PQ8=","ZCodyo9yj63+gKwlf2ArV10pPt2HaU3q",,,
"6fc9773e-6466-48d2-96ac-435c213cb45b","SCBI_005.basePlot.bet","D02","SCBI","SCBI_005","2015-06-23","2015-07-07","2015-08-17","2MbaqPQFAm6XpqAZWGjMGP0dJToDSwLAyyqBRm2sK12ex7d2u3PajkiE/taliEFY4BzLwQGxfGesicGtg+fiRIu8dHyzhBTfR8MeLZ3pVB75Vq27p94t3QmRlBvYKDjveldJaKDJy7A=","2MbaqPQFAm72xH9+m/8gWpbRoGvnU1Bo",,,
