uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,individualID,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationQualifier,sex,morphospeciesID,identificationReferences,identifiedBy,laboratoryName,identificationRemarks,sampleCondition,dnaBarcoded,geneticSampleID,remarks
"6dbe9e64-46be-407e-86d4-fa2613b463fa","SCBI_006.basePlot.bet","D02","SCBI","SCBI_006","2015-06-23","2015-07-07","2016-12-14","NEON.BET.D02.002931","TRIFUL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Trichotichnus","Iridessus","fulgens",,"Trichotichnus fulgens","Csiki","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"d7050b43-b7aa-4269-9e94-2ee0daf0b3cb","SCBI_006.basePlot.bet","D02","SCBI","SCBI_006","2015-06-23","2015-07-07","2016-12-14","NEON.BET.D02.002930","TRIFUL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Trichotichnus","Iridessus","fulgens",,"Trichotichnus fulgens","Csiki","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"adbf1f40-2fab-4160-a265-641686604eaf","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","2015-06-23","2015-07-07","2016-12-17","NEON.BET.D02.002551","SPHSTE2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Cychrini","Sphaeroderus",,"stenostomus","stenostomus","Sphaeroderus stenostomus stenostomus","Weber","subspecies",,"F",,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,"Genus unrevised; species status according to unpublished notes of Tom Barr"
"539c30b9-3b84-4a0a-9286-cdc56646e982","SCBI_004.basePlot.bet","D02","SCBI","SCBI_004","2015-06-23","2015-07-07","2016-12-17","NEON.BET.D02.002589","BRAFUM","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachininae","Brachinini","Brachinus","Neobrachinus","fumans",,"Brachinus fumans","Fabricius","species",,"M",,"Erwin, T. L. 1970a. A Reclassification of Bombardier Beetles and a Taxonomic Revision of the North and Middle American Species (Carabidae: Brachinida). Quaestiones Entomologicae 6:4-215.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"55c4d7d7-6ca7-4e26-b615-a34d8e02a976","SCBI_004.basePlot.bet","D02","SCBI","SCBI_004","2015-06-23","2015-07-07","2016-11-17","NEON.BET.D02.002560","CARGOR","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini","Carabus","Carabus","goryi",,"Carabus goryi","Dejean","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"db0782c1-42ad-47c2-836f-82a2459249cb","SCBI_004.basePlot.bet","D02","SCBI","SCBI_004","2015-06-23","2015-07-07","2016-12-17","NEON.BET.D02.002590","BRAFUM","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachininae","Brachinini","Brachinus","Neobrachinus","fumans",,"Brachinus fumans","Fabricius","species",,"F",,"Erwin, T. L. 1970a. A Reclassification of Bombardier Beetles and a Taxonomic Revision of the North and Middle American Species (Carabidae: Brachinida). Quaestiones Entomologicae 6:4-215.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"024c9690-4b05-435b-8acd-80b7c4767264","SCBI_012.basePlot.bet","D02","SCBI","SCBI_012","2015-06-23","2015-07-07","2016-12-17","NEON.BET.D02.002591","BRAFUM","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachininae","Brachinini","Brachinus","Neobrachinus","fumans",,"Brachinus fumans","Fabricius","species",,"F",,"Erwin, T. L. 1970a. A Reclassification of Bombardier Beetles and a Taxonomic Revision of the North and Middle American Species (Carabidae: Brachinida). Quaestiones Entomologicae 6:4-215.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"3481322a-6fea-4fb9-8e14-4efa2056c3e5","SCBI_012.basePlot.bet","D02","SCBI","SCBI_012","2015-06-23","2015-07-07","2016-12-02","NEON.BET.D02.002580","SCASUB2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Scaritini","Scarites","Scarites","subterraneus",,"Scarites subterraneus","Fabricius","species",,"U",,"Nichols, S. W. 1986. Two new flightless species of Scarites s. str. inhabiting Florida and the West Indies (Coleoptera: Carabidae: Scaritini). Proceedings of the Entomological Society of Washington 88:257-264.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"10d5a211-1ba9-49b2-9180-bc609d64dbe6","SCBI_006.basePlot.bet","D02","SCBI","SCBI_006","2015-06-23","2015-07-07","2016-12-02","NEON.BET.D02.002579","SCASUB2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Scaritini","Scarites","Scarites","subterraneus",,"Scarites subterraneus","Fabricius","species",,"U",,"Nichols, S. W. 1986. Two new flightless species of Scarites s. str. inhabiting Florida and the West Indies (Coleoptera: Carabidae: Scaritini). Proceedings of the Entomological Society of Washington 88:257-264.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"0dacfc3c-26ba-4560-bb9d-f036658fabd7","SCBI_005.basePlot.bet","D02","SCBI","SCBI_005","2015-06-23","2015-07-07","2016-12-02","NEON.BET.D02.002637","CYCSIG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","sigillatus",,"Cyclotrachelus sigillatus","Say","species",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"d1140ce0-5035-4767-8451-9e71d3aeb660","SCBI_004.basePlot.bet","D02","SCBI","SCBI_004","2015-06-23","2015-07-07","2016-12-02","NEON.BET.D02.002635","CYCSIG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","sigillatus",,"Cyclotrachelus sigillatus","Say","species",,"M",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
