uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"c7ac6e0e-ba15-4939-a040-a5426cd7b921","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","N","distributed","deciduousForest",38.884907,-78.130320,"WGS84",20.3,412.1,0.4,"2017-04-27","2017-05-11","SCBI.2017.20",14,"N",,"Disturbed","Disturbed","None","NEON.DOC.014050vK","/AhbGCCF27wHz9TggrmS1nLN8zUO+zcB","Animal disturbance"
"09707d17-4a97-42d4-8b43-729bf6628be0","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","W","distributed","deciduousForest",38.884907,-78.130320,"WGS84",20.3,412.1,0.4,"2017-04-27","2017-05-11","SCBI.2017.20",14,"Y","SCBI_007.W.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","/AhbGCCF27wHz9TggrmS1nLN8zUO+zcB",
"c98923f4-ecdd-4b25-ac7b-0d661e0f811e","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","S","distributed","deciduousForest",38.884907,-78.130320,"WGS84",20.3,412.1,0.4,"2017-04-27","2017-05-11","SCBI.2017.20",14,"Y","SCBI_007.S.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","/AhbGCCF27wHz9TggrmS1nLN8zUO+zcB",
"51c3c46e-65e7-4ba5-b6dc-d725653776a7","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","E","distributed","deciduousForest",38.884907,-78.130320,"WGS84",20.3,412.1,0.4,"2017-04-27","2017-05-11","SCBI.2017.20",14,"Y","SCBI_007.E.20170511","Ok","Ok","High","NEON.DOC.014050vK","/AhbGCCF27wHz9TggrmS1nLN8zUO+zcB",
"2fb5eee8-1898-4dfe-a946-f1354d2c2202","SCBI_012.basePlot.bet","D02","SCBI","SCBI_012","W","distributed","pastureHay",38.889095,-78.168896,"WGS84",20.1,264.6,0.1,"2017-04-27","2017-05-11","SCBI.2017.20",14,"Y","SCBI_012.W.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
"27eda0c1-4f93-4cb7-8cb8-5c42ff1f1c90","SCBI_012.basePlot.bet","D02","SCBI","SCBI_012","E","distributed","pastureHay",38.889095,-78.168896,"WGS84",20.1,264.6,0.1,"2017-04-27","2017-05-11","SCBI.2017.20",14,"Y","SCBI_012.E.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
"28b222d5-f856-447a-81ac-d27ea26fa085","SCBI_012.basePlot.bet","D02","SCBI","SCBI_012","S","distributed","pastureHay",38.889095,-78.168896,"WGS84",20.1,264.6,0.1,"2017-04-27","2017-05-11","SCBI.2017.20",14,"Y","SCBI_012.S.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
"a74f7338-4ba3-4265-b46b-fa736dd8374e","SCBI_006.basePlot.bet","D02","SCBI","SCBI_006","E","distributed","pastureHay",38.897609,-78.152007,"WGS84",20.1,298.0,0.1,"2017-04-27","2017-05-11","SCBI.2017.20",14,"Y","SCBI_006.E.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
"d1fbbfc0-7a4b-437f-b257-16c226e38c4d","SCBI_006.basePlot.bet","D02","SCBI","SCBI_006","S","distributed","pastureHay",38.897609,-78.152007,"WGS84",20.1,298.0,0.1,"2017-04-27","2017-05-11","SCBI.2017.20",14,"Y","SCBI_006.S.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
"2796dc3b-c32b-4600-9a48-03061069506b","SCBI_012.basePlot.bet","D02","SCBI","SCBI_012","N","distributed","pastureHay",38.889095,-78.168896,"WGS84",20.1,264.6,0.1,"2017-04-27","2017-05-11","SCBI.2017.20",14,"Y","SCBI_012.N.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
"4b79fd2c-7465-4ac9-b88b-8ca9ede10885","SCBI_006.basePlot.bet","D02","SCBI","SCBI_006","N","distributed","pastureHay",38.897609,-78.152007,"WGS84",20.1,298.0,0.1,"2017-04-27","2017-05-11","SCBI.2017.20",14,"Y","SCBI_006.N.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","65MrXCKZ6BZHMIpBwLFSzI3B2iyqckQKC2QVdjxfI44=",
