uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"f602f90d-5bc0-4b9a-b049-43803e469744","SERC_007.basePlot.bet","D02","SERC","SERC_007","2015-07-28","2015-08-11","2015-09-24","VuceAg7yVydSuT/FC6hzorQ07r7kMD2MnaW8bEU2qPSnbuGiDsnK7Htrj/RdXpnXphnoOvalgRW+eyuVethNz4iOhMnBmJSwQJ1+4YURepcoEJkvxzdZWvzpwlYICN17VO4F6Q4VjU+Bq2/RfAzekZcdGup+4HZyB0Z5AC5oksM=","VuceAg7yVyfoEm0zQn2ZnWSczzNhBLufUTHXAew6Yig=","Scarites subterraneus",,
"b4782bbb-00a6-4c3c-a76c-d982728fe75b","SERC_007.basePlot.bet","D02","SERC","SERC_007","2015-07-28","2015-08-11","2015-09-24","VuceAg7yVydSuT/FC6hzokmrmygxx0n/43WA2orQjhO2r4x32IAsm8ScEDkwJCywsy1s0LW2UB0yYB9YK+RUfQ==","VuceAg7yVyfoEm0zQn2Zne53nKfLl87hPh70u4PLj/s=","Poecilus chalcites",,
"af6c22ad-4134-408a-affa-a49846b02202","SERC_010.basePlot.bet","D02","SERC","SERC_010","2015-07-28","2015-08-11","2015-09-25","zJWEWmQZoMNAenyerOxLOAxpFjAYfth4HIXhbBq+nS0Yk5tPIRF+ri/Pdhg2OL72rLTDll9NPzHXeui5dKNb7HZoramMpl37EIg4baNe0W/imLuIDcrpbpPf2RKAHc3m","zJWEWmQZoMOmA5Nac3TpzPTd6Ap0monghavtSiKpnZA=","Chlaenius aestivus",,
"57fc24d0-3337-42be-88b3-e40314950890","SERC_021.basePlot.bet","D02","SERC","SERC_021","2015-07-28","2015-08-11","2015-09-25","abrvHFi/546vIGfJHdKpb3wUA8p67skdsrCK9BgLDNpYj3ntR77h7VhtJL0DwM7LqB0iuqdsqprRTjmma/MuMg==","abrvHFi/546ewSNKyDBMpHxGmF0Yu8Y3sczP4UGlU9E=","Chlaenius aestivus",,
"8994f84a-fb83-40a2-8289-1979502c738c","SERC_002.basePlot.bet","D02","SERC","SERC_002","2015-07-28","2015-08-11","2015-09-25","YcnMnCZo63lrLwHfMM6HvSUhpovb01PeolWV2r1jJUdIsQCUjiBB+x1emMlDlaLVP20UF+4mJbb8ftgHIj3Qja5333JS7AxoggFEXfMhtTHmOcJeIuyozzLL/+0j6JfPi7rA96S2f4Y=","YcnMnCZo63kcz58mCurhVLuNpos9dj2g",,,
"7a0fa968-1673-4c05-ab67-fe2dff3e1971","SERC_001.basePlot.bet","D02","SERC","SERC_001","2015-07-28","2015-08-11","2015-09-24","UaGVcrvVzDOutGB3sFAIcQKK4zfN0JayOTJ11+lw1P9zDILQyw/dMh7wltrpE14NUrTfSTuR8BdEtnSrhb0JdX5gZwlMWHwY5xgQvw52CDk=","UaGVcrvVzDPJpKXMfm/hFqp2w2OjFsbW",,,
"3f43f22e-44bb-4523-8201-31761a370a19","SERC_003.basePlot.bet","D02","SERC","SERC_003","2015-07-28","2015-08-11","2015-09-24","CC7oYVgiCpAMTHWtAUJFjohyLMC3ANVj6MShSjdsxYLKL5wk9YQ4MqDOcIri1XmxiGwN+8SWvx+Upl48qpp+ZXgu3YYkfkCkBGLyhS+HVbd8AWRa6gAoQRVjhhApCMTl2fn0nEWr+Ac=","CC7oYVgiCpD/nP0G279p65SxG7cpRR8l",,,
"7afcecab-15e2-4790-8789-8002bf8cf652","SERC_006.basePlot.bet","D02","SERC","SERC_006","2015-07-28","2015-08-11","2015-09-25","ulDxSdgiTKLdBAsavAcEZZXOSaEzFoFWGYNjCCkFZG027gJfaDcuFI48cJJgSMaUY9uBtPes90caNntTRtwhUMG8DwkOFktde/rQy+mrlr+wkmR+dBbcwA48QXNxV7H3kFx6Z/yKU3w=","ulDxSdgiTKJm5gwS2699a7uqAvZmyH4M",,,
"b15b774b-8179-4174-a8e8-ce7926af8cbb","SERC_007.basePlot.bet","D02","SERC","SERC_007","2015-07-28","2015-08-11","2015-09-24","VuceAg7yVycN8DaQWzDzgxqUcbIeEuoY4DhqqQ+SmM8Nso9f1yEUE1N6qH+SPDtNaV9QoDjDOH0RiOA3YJySJRSiTJZBpDXL+9ooPX6eBmcoYuVSaOG3/C+4caRT/wiQv3EhBCnCzZA=","VuceAg7yVyfoEm0zQn2Znbgv8ph05w4F",,,
"d835d3ad-5173-4333-a54f-57b8cbb20f31","SERC_009.basePlot.bet","D02","SERC","SERC_009","2015-07-28","2015-08-11","2015-09-24","tTNfz4yHzdmJFQIid5wgzvmbzIL1m+XkCwmY0ubtQ/ZIb6dda22dDqTAMGcoNAnr8ICdhlSGUhU=","tTNfz4yHzdmWJ6UDES8XJDuNwMA//lhx",,,
"b7ae5f92-5698-4af5-a6f4-2cc82acbe81c","SERC_016.basePlot.bet","D02","SERC","SERC_016","2015-07-28","2015-08-11","2015-09-24","YVGGTAS4Nw9I7wcGu/Kj85OuQqTFkrwceCcOqNZnq2DV3RaWXSga/J+DUIsITz6rIQBNNhWe5tuBA8fGADK7RiJZJheX6QemEaUto63PBg/aLuGAtnZXV6oCoqeLKtf/oJnKl2DowPk=","YVGGTAS4Nw/Srh15aW3E0hN84gCQ/zOW",,,
"3d8f2f73-68c8-4ecc-97f6-1f3981fd064e","SERC_010.basePlot.bet","D02","SERC","SERC_010","2015-07-28","2015-08-11","2015-09-25","zJWEWmQZoMOE5uQVqsDQWizUAaffl5pfdMXw3rsrtK2f2LsFv/GuQ+0yEgRrr6O05meGigfyYb3A9LTOBVuk4NqVmD4L5nn3KxCFB8kuzfQG9Chbu8wniony80Ru4QETSSl00YWOXm0=","zJWEWmQZoMOmA5Nac3TpzF3d2rZkhGbf",,,
"4094b32a-17ba-478a-aef1-590f5db05f03","SERC_015.basePlot.bet","D02","SERC","SERC_015","2015-07-28","2015-08-11","2015-09-24","oRHnGosYO5NlS7xve2attjVCu8swzxRj2ooYghRoE9Pczi8425EBWSAu+ZL7AJoruFFaDS1Q7sY=","oRHnGosYO5Ps3qmBdFeHRM9HqmewIrd4",,,
"f5201460-8191-4c7c-90c0-ae37080b5b10","SERC_021.basePlot.bet","D02","SERC","SERC_021","2015-07-28","2015-08-11","2015-09-25","abrvHFi/546vIGfJHdKpbzXwlnQpq1108Lp4uimvVY4i2pN4kAB86M0whDFijH25HGmGQpI7TW+9bcKTx1Lu2PbGaNm85Wl8WcQ5CpeFnIivXQ6qqCktiMMt9vAAr8s791AeESrEGjQ=","abrvHFi/546ewSNKyDBMpMA62qlSup3H",,,
"90cf0d80-c555-4d94-8239-0dd4dd86a1e6","SERC_010.basePlot.bet","D02","SERC","SERC_010","2015-07-28","2015-08-11","2015-09-25","zJWEWmQZoMNAenyerOxLOLCRtHtY9G4tlqfCrDpQQyxpRfP+qi+8iXXm+SqNNoTPb/QHpdUEGwDjfWWAgVb3qw==","zJWEWmQZoMOmA5Nac3TpzNWZttlBmzg6Nu2J1/PCbIw=","Pterostichus stygicus",,
"ad5b54f1-d778-4bdd-b4bf-6c2756b7d57a","SERC_010.basePlot.bet","D02","SERC","SERC_010","2015-08-11","2015-08-25","2015-09-29","zJWEWmQZoMNAenyerOxLOJsxE5q0rkyZvEko59cX0OfWy3p6JdORzrcca2WDAPV5/e8MPHc1o3r5eTv8nrtJXg==","zJWEWmQZoMNQf8SvzPbSgHRPZWGjN7VoiYanP+8Zkvs=","Pterostichus stygicus",,
