uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"f80b5b54-187b-48b9-88c3-0cf02fbead39","SERC_002.basePlot.bet","D02","SERC","SERC_002","E","2015-07-28","2015-08-11","2016-01-21","2015-09-25","YcnMnCZo63n4X9d+wTtLlC13P315plx1ydLmo0ubNfs=","NEON.BET.D02.001786","DICFUR2","Dicaelus furvus furvus","subspecies",,"Dejean",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",
"29f1b5ce-1df1-45fa-830c-f67d9e604102","SERC_007.basePlot.bet","D02","SERC","SERC_007","E","2015-07-28","2015-08-11","2016-01-21","2015-11-05","VuceAg7yVydSuT/FC6hzoobeQyYTqulXCtsRPkHKBB8=","NEON.BET.D02.001902","ACUIND","Acupalpus indistinctus","species",,"Dejean",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",
"78a10c7f-3616-401d-9419-7fdcdbfc6283","SERC_007.basePlot.bet","D02","SERC","SERC_007","E","2015-07-28","2015-08-11","2016-01-21","2015-11-05","VuceAg7yVydSuT/FC6hzorKP4CSLaBsurs4P4WoQQOc=","NEON.BET.D02.001905","ACUTES","Acupalpus testaceus","species",,"Dejean",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",
"56b60b16-6581-4cad-8535-8ca0d02f5806","SERC_007.basePlot.bet","D02","SERC","SERC_007","E","2015-07-28","2015-08-11","2016-01-21","2015-11-05","VuceAg7yVydSuT/FC6hzorKP4CSLaBsurs4P4WoQQOc=","NEON.BET.D02.001904","ACUTES","Acupalpus testaceus","species",,"Dejean",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",
"58a9e93e-26d4-488d-b20d-f5fad3a0aac0","SERC_003.basePlot.bet","D02","SERC","SERC_003","E","2015-07-28","2015-08-11","2016-01-21","2015-11-10","CC7oYVgiCpATUy6WPFyiJoy/B3yIGXaRIJkl7IWz2OM=","NEON.BET.D02.001930","HARPEN","Harpalus pensylvanicus","species",,"DeGeer",,"Ball, G. E., and J. N. Anderson. 1962. The taxonomy and speciation of Pseudophonus (a subgenus of Harpalus: Haralini: Carabidae, known to occur in North America). The Catholic University of America Press, Washington 17, D. C.",,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",
"e0ba6c2d-399d-46d9-8d7f-14bd24fabf83","SERC_003.basePlot.bet","D02","SERC","SERC_003","E","2015-07-28","2015-08-11","2016-01-21","2015-09-24","CC7oYVgiCpATUy6WPFyiJuJw67fXHfmxGPe954X0cWo=","NEON.BET.D02.001653","CARSP14","Carabidae sp.","family",,"Latreille","D02.2015.MorphA","Other",,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","esNjjubcI51hdInmRHEEIrFR4+oIJtuN","Pterostichus subgenus Abacidus. Doesn't key to any described species- prosternal process margined, ultimate tarsomeres glabrous, pronotal margin distinct to base, aedeagus simple."
"ccb66fce-d454-447a-8208-79b26d627f59","SERC_010.basePlot.bet","D02","SERC","SERC_010","E","2015-07-28","2015-08-11","2016-01-21","2015-09-25","zJWEWmQZoMNVr+IzuVmAIg8ysDh85mYxAbmBoPB1WUs=","NEON.BET.D02.001655","CARSP14","Carabidae sp.","family",,"Latreille","D02.2015.MorphA","Other",,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","esNjjubcI51hdInmRHEEIrFR4+oIJtuN","Pterostichus subgenus Abacidus. Doesn't key to any described species- prosternal process margined, ultimate tarsomeres glabrous, pronotal margin distinct to base, aedeagus simple."
"931b0a1e-34c1-4c2d-be8a-92213b3d4d66","SERC_009.basePlot.bet","D02","SERC","SERC_009","E","2015-07-28","2015-08-11","2016-01-21","2015-09-24","tTNfz4yHzdlGJ3KeWgihN2mB36ZWsEQxkeEN+zM9yUg=","NEON.BET.D02.001671","CYCSIG","Cyclotrachelus sigillatus","species",,"Say",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.",,"fhqXNoOkfxgxeumX3nh8hiKzTnt5lZ8Br3PaGAyV7lk=","esNjjubcI51hdInmRHEEIrFR4+oIJtuN",
"17690d54-f0f2-4826-b3f6-923e269678e3","SERC_007.basePlot.bet","D02","SERC","SERC_007","E","2015-07-28","2015-08-11","2016-01-20","2015-09-24","VuceAg7yVydSuT/FC6hzomLq6vOYGdRwQoH0x1RXW20=","NEON.BET.D02.001396","ELAINC","Elaphropus incurvus","species",,"Say",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","esNjjubcI51hdInmRHEEIrFR4+oIJtuN",
"be812ef8-c1b8-4223-b1a6-70afb75e6e74","SERC_006.basePlot.bet","D02","SERC","SERC_006","E","2015-07-28","2015-08-11","2016-01-21","2015-09-25","ulDxSdgiTKKsykPM3MpMLNMitENMUR94mUAJBk8JkQ8=","NEON.BET.D02.001651","CARSP14","Carabidae sp.","family",,"Latreille","D02.2015.MorphA","Other",,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","esNjjubcI51hdInmRHEEIrFR4+oIJtuN","Pterostichus subgenus Abacidus. Doesn't key to any described species- prosternal process margined, ultimate tarsomeres glabrous, pronotal margin distinct to base, aedeagus simple."
