uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"8d86bd35-b0a0-402c-b397-8d6e1bb67fae","SERC_010.basePlot.bet","D02","SERC","SERC_010","E","2016-05-19","2016-06-02","2016-06-03","2016-06-30",,"SERC_010.E.20160602","zJWEWmQZoMPMg4m1jlvx7pwdZAJIawWTCgisa1kP988=","invert bycatch",,,,,,,,,,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"9315cdb2-f317-470c-8d15-c8306ec69e5d","SERC_002.basePlot.bet","D02","SERC","SERC_002","E","2016-05-19","2016-06-02","2016-06-03","2016-06-30",,"SERC_002.E.20160602","YcnMnCZo63nEF0JNQrPQo++geLyzy3flQAq7pGZJYRE=","invert bycatch",,,,,,,,,,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"3805209c-cbbf-4813-8f5c-ff56ed6ef407","SERC_001.basePlot.bet","D02","SERC","SERC_001","E","2016-05-19","2016-06-02","2016-06-03","2016-06-27",,"SERC_001.E.20160602","UaGVcrvVzDPLLtHJDu3bXnhrqeaNcP7N3xaOit8rqnM=","invert bycatch",,,,,,,,,,"YJ2A+OwoGUUtJLNxPkxhEPyEeY8sOiMA",
"5624b9ff-13dd-4e42-b2cf-338045e74c40","SERC_003.basePlot.bet","D02","SERC","SERC_003","E","2016-05-19","2016-06-02","2016-06-03","2016-06-24",,"SERC_003.E.20160602","CC7oYVgiCpCqof6rhg6k/aZYHWhVFsj1bQcHMJds+sw=","invert bycatch",,,,,,,,,,"ena7GLJui5s1h8moQAQPw3Qj2+mVdivS",
"6871c923-753f-47d6-9c57-0cddcc9af66b","SERC_009.basePlot.bet","D02","SERC","SERC_009","E","2016-05-19","2016-06-02","2016-06-03","2016-06-30",,"SERC_009.E.20160602","tTNfz4yHzdnVIOq6KO/y1ugmPUSw0VoxxxseV7TsmzQ=","invert bycatch",,,,,,,,,,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"91619fc4-5c5d-4205-82fe-0387b5aad230","SERC_022.basePlot.bet","D02","SERC","SERC_022","E","2016-05-19","2016-06-02","2016-06-03","2016-06-30",,"SERC_022.E.20160602","l68srp+nqMdzTGVzjcy3CDIOnILWlIPDnX9WuS8SPIA=","invert bycatch",,,,,,,,,,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"f8e633cb-c7b2-4f03-8f68-8cc0e6fbf20e","SERC_021.basePlot.bet","D02","SERC","SERC_021","E","2016-05-19","2016-06-02","2016-06-03","2016-06-27",,"SERC_021.E.20160602","abrvHFi/545toM9ZDSKxUoiP03KkKyg9Mvv3SXDPH/c=","invert bycatch",,,,,,,,,,"WKwujoF6P3YAOkhzyJ/xP0/1URP18h18","this sample was dropped on table while sorting| recovered as much of sample as possible"
"1ebeb3fb-4a0e-4056-a44a-f6205d3c2fce","SERC_006.basePlot.bet","D02","SERC","SERC_006","E","2016-05-19","2016-06-02","2016-06-03","2016-06-27",,"SERC_006.E.20160602","ulDxSdgiTKKIibhXUGtOcvVaHeh3xZZeVlVvC2wV238=","invert bycatch",,,,,,,,,,"ena7GLJui5s1h8moQAQPw3Qj2+mVdivS",
"e84d8f71-acde-4f43-9c52-db9ab41957be","SERC_016.basePlot.bet","D02","SERC","SERC_016","N","2016-05-19","2016-06-02","2016-06-03","2016-06-30",,"SERC_016.N.20160602","YVGGTAS4Nw8a0MwoYQdtzjcXKQvn4GeWiVyiIiKonU4=","invert bycatch",,,,,,,,,,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"6001cf3e-c574-4f2b-b0ee-52d798653e1e","SERC_001.basePlot.bet","D02","SERC","SERC_001","N","2016-05-19","2016-06-02","2016-06-03","2016-06-27",,"SERC_001.N.20160602","UaGVcrvVzDMIHvrhoriSmzqyVBQRTtlLAj9o1hr3zy8=","invert bycatch",,,,,,,,,,"YJ2A+OwoGUUtJLNxPkxhEPyEeY8sOiMA",
"3b032531-6f24-45cc-a5f3-445e005fcf3f","SERC_022.basePlot.bet","D02","SERC","SERC_022","N","2016-05-19","2016-06-02","2016-06-03","2016-06-30",,"SERC_022.N.20160602","l68srp+nqMdeGebuUzpH9fJrnNxPYraJjASg+rAlm40=","invert bycatch",,,,,,,,,,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"20324ecb-0cd2-476f-a0e5-d223b69abd1f","SERC_002.basePlot.bet","D02","SERC","SERC_002","N","2016-05-19","2016-06-02","2016-06-03","2016-06-30",,"SERC_002.N.20160602","YcnMnCZo63mYw201TI5twL+tiqLYZiJgMQTUwKpArSo=","invert bycatch",,,,,,,,,,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
