uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"1241bfa8-89bd-4148-8ceb-894d81fb57b1","SERC_016.basePlot.bet","D02","SERC","SERC_016","E","distributed","deciduousForest",38.899460,-76.547557,"WGS84",20.2,19.6,0.3,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_016.E.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"cecc8dd4-0565-475c-b5e8-15f7d96e44b1","SERC_022.basePlot.bet","D02","SERC","SERC_022","S","distributed","deciduousForest",38.875452,-76.554589,"WGS84",20.2,17.3,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_022.S.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"f6cdb2d7-76f4-4f17-8c6a-d559ed9153eb","SERC_016.basePlot.bet","D02","SERC","SERC_016","N","distributed","deciduousForest",38.899460,-76.547557,"WGS84",20.2,19.6,0.3,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_016.N.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"5b47c0d3-d0dd-45db-ba12-8309d73012b3","SERC_016.basePlot.bet","D02","SERC","SERC_016","S","distributed","deciduousForest",38.899460,-76.547557,"WGS84",20.2,19.6,0.3,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_016.S.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"1bcd3f10-e75a-4eeb-a408-3d104074edc3","SERC_006.basePlot.bet","D02","SERC","SERC_006","E","distributed","deciduousForest",38.881089,-76.547316,"WGS84",20.3,3.5,0.4,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_006.E.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"5576497c-7606-482c-b2bf-905aba8cd77a","SERC_006.basePlot.bet","D02","SERC","SERC_006","W","distributed","deciduousForest",38.881089,-76.547316,"WGS84",20.3,3.5,0.4,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_006.W.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"97123829-9ad5-4e4f-9b37-0280f69b2292","SERC_006.basePlot.bet","D02","SERC","SERC_006","S","distributed","deciduousForest",38.881089,-76.547316,"WGS84",20.3,3.5,0.4,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_006.S.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"8c295ffb-dd90-4544-a21f-798c00f00fdd","SERC_010.basePlot.bet","D02","SERC","SERC_010","E","distributed","deciduousForest",38.909675,-76.546255,"WGS84",20.2,25.8,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_010.E.20170420","Disturbed","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","soil washed away from cup lip. cup lip above soil. insects probably excluded."
"f6c5504c-641f-4d8f-aef0-431c41373d03","SERC_010.basePlot.bet","D02","SERC","SERC_010","W","distributed","deciduousForest",38.909675,-76.546255,"WGS84",20.2,25.8,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_010.W.20170420","Disturbed","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","soil washed away from cup lip. cup lip above soil. insects probably excluded."
"756e77ae-546c-4fba-a601-0d7f388a5841","SERC_006.basePlot.bet","D02","SERC","SERC_006","N","distributed","deciduousForest",38.881089,-76.547316,"WGS84",20.3,3.5,0.4,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_006.N.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"5bab88a8-f08a-4bce-bc2d-b6449047e97d","SERC_003.basePlot.bet","D02","SERC","SERC_003","W","distributed","deciduousForest",38.899874,-76.543769,"WGS84",20.2,10.8,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_003.W.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"f520ef5c-28db-4a9a-8631-103c6ab812f7","SERC_003.basePlot.bet","D02","SERC","SERC_003","S","distributed","deciduousForest",38.899874,-76.543769,"WGS84",20.2,10.8,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_003.S.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"60a10589-ffe5-4c8d-9d0c-802083600456","SERC_010.basePlot.bet","D02","SERC","SERC_010","S","distributed","deciduousForest",38.909675,-76.546255,"WGS84",20.2,25.8,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_010.S.20170420","Disturbed","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","soil washed away from cup lip. cup lip above soil. insects probably excluded."
"f714d3f3-9e5c-4a2c-b875-0fc875d50f62","SERC_003.basePlot.bet","D02","SERC","SERC_003","N","distributed","deciduousForest",38.899874,-76.543769,"WGS84",20.2,10.8,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_003.N.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"8148b301-f6f6-4380-bb0b-41b4c614d083","SERC_003.basePlot.bet","D02","SERC","SERC_003","E","distributed","deciduousForest",38.899874,-76.543769,"WGS84",20.2,10.8,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_003.E.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"63fb6c9e-759a-4953-a844-22702625b645","SERC_009.basePlot.bet","D02","SERC","SERC_009","N","distributed","deciduousForest",38.897569,-76.561177,"WGS84",20.3,22.5,0.5,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_009.N.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"c5bdbd8a-c9c6-4131-8430-36614581e5bc","SERC_009.basePlot.bet","D02","SERC","SERC_009","W","distributed","deciduousForest",38.897569,-76.561177,"WGS84",20.3,22.5,0.5,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_009.W.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"f905ac06-3d3e-4cbe-8b1c-0807bce7d3f8","SERC_009.basePlot.bet","D02","SERC","SERC_009","E","distributed","deciduousForest",38.897569,-76.561177,"WGS84",20.3,22.5,0.5,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_009.E.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"9c3a128c-fe24-4c07-8ed4-381d7ffc1b55","SERC_009.basePlot.bet","D02","SERC","SERC_009","S","distributed","deciduousForest",38.897569,-76.561177,"WGS84",20.3,22.5,0.5,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_009.S.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"08843f12-6eb9-400d-8f2c-320a08625fc3","SERC_010.basePlot.bet","D02","SERC","SERC_010","N","distributed","deciduousForest",38.909675,-76.546255,"WGS84",20.2,25.8,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_010.N.20170420","Disturbed","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","soil washed away from cup lip. cup lip above soil. insects probably excluded."
"8f3226ad-9636-4e5c-b1aa-e0a4edd02dbc","SERC_001.basePlot.bet","D02","SERC","SERC_001","W","distributed","deciduousForest",38.868690,-76.533595,"WGS84",20.2,7.6,0.4,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_001.W.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"07252d83-47c5-44dc-a39f-9e1281a7137d","SERC_001.basePlot.bet","D02","SERC","SERC_001","S","distributed","deciduousForest",38.868690,-76.533595,"WGS84",20.2,7.6,0.4,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_001.S.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"2f62679e-3c7c-46b4-8c18-91d2381322df","SERC_001.basePlot.bet","D02","SERC","SERC_001","N","distributed","deciduousForest",38.868690,-76.533595,"WGS84",20.2,7.6,0.4,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_001.N.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"a1cc2a35-0e00-4626-a617-38ce79a5ab3e","SERC_001.basePlot.bet","D02","SERC","SERC_001","E","distributed","deciduousForest",38.868690,-76.533595,"WGS84",20.2,7.6,0.4,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_001.E.20170420","Ok","Ok","High","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"2b8b9000-033d-4b39-8cec-0189951e1845","SERC_002.basePlot.bet","D02","SERC","SERC_002","W","distributed","deciduousForest",38.895032,-76.558913,"WGS84",20.2,11.4,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_002.W.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"0459039e-b7b8-41f5-a462-eed3b9016a5a","SERC_002.basePlot.bet","D02","SERC","SERC_002","S","distributed","deciduousForest",38.895032,-76.558913,"WGS84",20.2,11.4,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_002.S.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"1a24323d-52aa-45b6-bfbf-21b3762fc6fa","SERC_002.basePlot.bet","D02","SERC","SERC_002","E","distributed","deciduousForest",38.895032,-76.558913,"WGS84",20.2,11.4,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_002.E.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"730464b6-47c7-4c4d-a349-44228fbb4dfe","SERC_002.basePlot.bet","D02","SERC","SERC_002","N","distributed","deciduousForest",38.895032,-76.558913,"WGS84",20.2,11.4,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_002.N.20170420","Disturbed","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"9fbc9d6b-93dc-472c-ba17-3429cde38a77","SERC_021.basePlot.bet","D02","SERC","SERC_021","E","distributed","deciduousForest",38.896418,-76.560196,"WGS84",20.2,18.0,0.4,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_021.E.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"9dbc4f1d-65bb-48a0-90a3-89e4963c6146","SERC_021.basePlot.bet","D02","SERC","SERC_021","S","distributed","deciduousForest",38.896418,-76.560196,"WGS84",20.2,18.0,0.4,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_021.S.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"b2db5e2c-27f8-4ca1-9686-72c8dc22bf89","SERC_021.basePlot.bet","D02","SERC","SERC_021","W","distributed","deciduousForest",38.896418,-76.560196,"WGS84",20.2,18.0,0.4,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_021.W.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"e652e680-ae5c-4a2a-909e-f58215954ee5","SERC_022.basePlot.bet","D02","SERC","SERC_022","W","distributed","deciduousForest",38.875452,-76.554589,"WGS84",20.2,17.3,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_022.W.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"a1b66bdd-8fd6-4d92-bc32-653e18f293d3","SERC_022.basePlot.bet","D02","SERC","SERC_022","E","distributed","deciduousForest",38.875452,-76.554589,"WGS84",20.2,17.3,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_022.E.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"7a3f430a-af89-45fb-9ed5-a0ac1f740376","SERC_021.basePlot.bet","D02","SERC","SERC_021","N","distributed","deciduousForest",38.896418,-76.560196,"WGS84",20.2,18.0,0.4,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_021.N.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"9efa7cdb-68e8-4a15-8296-102901f37498","SERC_022.basePlot.bet","D02","SERC","SERC_022","N","distributed","deciduousForest",38.875452,-76.554589,"WGS84",20.2,17.3,0.2,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_022.N.20170420","Disturbed","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","soil washed away from cup lip. cup lip above soil level. likely excluded insects."
"c25e98b8-dfd2-4000-ac0d-f7b322100aeb","SERC_016.basePlot.bet","D02","SERC","SERC_016","W","distributed","deciduousForest",38.899460,-76.547557,"WGS84",20.2,19.6,0.3,"2017-04-06","2017-04-20","SERC.2017.17",14,"Y","SERC_016.W.20170420","Ok","Ok","Ok","NEON.DOC.014050vK","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
