uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"7ff8d0fc-f26c-44c6-a687-693f959317b0","DSNY_016.basePlot.bet","D03","DSNY","DSNY_016","E","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_016.E.20140416","d/dxr9yOJlPxf9qpe2TuPtulZRspUdZShhW5tBOBZEs=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,1,"Other",,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi","individualCount estimated based on number of pinning records|"
"04992a00-c578-416b-b1ae-74252ffbb979","DSNY_021.basePlot.bet","D03","DSNY","DSNY_021","E","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_021.E.20140416","Erg6c3/ITQuY8YQBcJUCqAMmBfEqzIPG/uwKdVSG+UM=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,4,"Other",,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi","individualCount estimated based on number of pinning records|"
"2abf99b7-656b-45b1-9ae0-6bc209fe9fef","DSNY_016.basePlot.bet","D03","DSNY","DSNY_016","N","2014-04-02","2014-04-16","2014-05-02","2014-05-02",,"DSNY_016.N.20140416","d/dxr9yOJlNvnLu4p5rNZRQSqTQmK+LoeqcHNstTLog=","invert bycatch",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",
"c0dd1813-2feb-481b-b965-e3d2b98136e2","DSNY_004.basePlot.bet","D03","DSNY","DSNY_004","N","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_004.N.20140416","x1o6KrZYU4fArPH9GvNod9on6rHNQxqwatGTzolDAw4=","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","no beetles"
"0e307a9f-3d8a-4288-beb2-2c2a5061462c","DSNY_003.basePlot.bet","D03","DSNY","DSNY_003","N","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_003.N.20140416","BMkXqiEDyEJqQcyx5D3t8gPG1aEVo97t4HBYKYuR8+I=","invert bycatch",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",
"1dfd0c31-dd52-4dd4-a03b-ef9905c12f97","DSNY_004.basePlot.bet","D03","DSNY","DSNY_004","N","2014-04-02","2014-04-16","2014-04-17","2014-04-17","2014-04-17","DSNY_004.N.20140416","x1o6KrZYU4fArPH9GvNod3oEsd00bEF4pCBbQ0ZNHsI=","carabid","PASSUB1","Pasimachus sublaevis","species",,"Palisot de Beauvois",,1,"Other","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","individualCount not recorded. Value of 1 entered|"
"67298de8-3d5e-407d-bad2-e1e71f2efb21","DSNY_004.basePlot.bet","D03","DSNY","DSNY_004","N","2014-04-02","2014-04-16","2014-04-17","2014-04-17","2014-04-17","DSNY_004.N.20140416","x1o6KrZYU4fArPH9GvNod+2H5aAwI5Pen4XHJgu9kEw=","vert bycatch herp","ANAQUE","Anaxyrus quercicus","species",,"Holbrook",,1,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","individualCount not recorded. Value of 1 entered|"
"b2168ce6-954d-447a-8d4b-3be5fb95541b","DSNY_009.basePlot.bet","D03","DSNY","DSNY_009","N","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_009.N.20140416","1vKvBMnuhLtGeVLhAFID40EYs8ADRl7eH6tijoNnLF0=","invert bycatch",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",
"8a105dbb-f99a-40b2-acce-e65cf0891a58","DSNY_001.basePlot.bet","D03","DSNY","DSNY_001","N","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_001.N.20140416","bfz4aAWYKWU/ocD9ZTOcIiYrSE0nl+BaqC6Iecdq2NA=","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","no beetles"
"d84f946d-5d7e-4ab0-889f-7c13a403f691","DSNY_021.basePlot.bet","D03","DSNY","DSNY_021","N","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_021.N.20140416","Erg6c3/ITQv44S9kC0lXlZIxqrGnt2WEtQX03mW71yk=","invert bycatch",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",
"fc268797-8bb6-4dc6-99c1-4093590f1f67","DSNY_005.basePlot.bet","D03","DSNY","DSNY_005","N","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_005.N.20140416","y7J40q9OwqJj2Vrn4OMG5DVdic3WzKzJFAp85UM/Sac=","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"f351f2bf-0bb5-49db-8b7a-76245d01fa45","DSNY_003.basePlot.bet","D03","DSNY","DSNY_003","S","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_003.S.20140416","BMkXqiEDyEIyCtPyvASehhUZnZ2bXIuOXkkhxTP6zpk=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,1,"Other",,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi","individualCount estimated based on number of pinning records|"
"cb10f973-1308-40c5-94aa-7bbe5f27fe5b","DSNY_009.basePlot.bet","D03","DSNY","DSNY_009","S","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_009.S.20140416","1vKvBMnuhLuZzWi6bUlu5TEGxTR280rBa+UMbPJfOVY=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,1,"Other",,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi","individualCount estimated based on number of pinning records|"
"91551cde-6a45-4603-ba69-8f0beab53b6a","DSNY_016.basePlot.bet","D03","DSNY","DSNY_016","S","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_016.S.20140416","d/dxr9yOJlPuzoEph/oSTnOPKiFaTXQL+P66cYOBTCI=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,1,"Other",,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi","individualCount estimated based on number of pinning records|"
"58c55d4e-fabd-4361-98ca-c3f98345b447","DSNY_007.basePlot.bet","D03","DSNY","DSNY_007","W","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_007.W.20140416","DHLBW1gsF9EOHG5t53rwmDnIMiyLkf7AG+piQTUn1iQ=","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"d1e56115-142e-455b-afe2-f9e48519489b","DSNY_009.basePlot.bet","D03","DSNY","DSNY_009","W","2014-04-02","2014-04-16","2014-04-17","2014-04-17",,"DSNY_009.W.20140416","1vKvBMnuhLuRgiJ5/v4bYG+Vp7Qtke3E4kyo5ejQAj8=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,1,"Other",,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi","individualCount estimated based on number of pinning records|"
