uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"597ebe51-f850-4913-ac5d-fbae033eb6fe","DSNY_009.basePlot.bet","D03","DSNY","DSNY_009","W","2014-04-16","2014-05-01","2014-05-02","2014-09-29","1vKvBMnuhLuRgiJ5/v4bYK+xrsSxgDQlyeZTs+qBUzg=","NEON.BET.D03.000414","SELELL","Selenophorus ellipticus","species","cf. species","Dejean",,"Other",,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","Sorting data indicates that no beetles were captured at the W trap, and one beetle is unaccounted for from the N trap. So this beetle could be from the N trap."
"82d05187-bdfd-4673-b636-a7c6f43599ed","DSNY_001.basePlot.bet","D03","DSNY","DSNY_001","S","2014-04-16","2014-05-01","2014-05-02","2014-06-25","bfz4aAWYKWUdqtHZ2ayPTHVo0q0qb9DULI6vmTrtGsg=","NEON.BET.D03.000409","SCAOCA","Scarites ocalensis","species",,"Nichols",,"Nichols, S. W. 1986. Two new flightless species of Scarites s. str. inhabiting Florida and the West Indies (Coleoptera: Carabidae: Scaritini). Proceedings of the Entomological Society of Washington 88:257-264.",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"93d5284e-e13a-4bdb-83c2-32d20ff20876","DSNY_009.basePlot.bet","D03","DSNY","DSNY_009","S","2014-04-16","2014-05-01","2014-05-02","2014-09-29","1vKvBMnuhLuZzWi6bUlu5fgaWa9BremyJnpAT4Aisl0=","NEON.BET.D03.000396","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Other",,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"10f8b94f-6f12-4802-b89f-ea1e243d27d0","DSNY_003.basePlot.bet","D03","DSNY","DSNY_003","S","2014-04-16","2014-05-01","2014-05-02","2014-09-29","BMkXqiEDyEIyCtPyvASehiPMML5rsJJdjJ2vsQlDs8Y=","NEON.BET.D03.000373","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"f51cf5c3-3def-48a1-9581-590140a3d272","DSNY_021.basePlot.bet","D03","DSNY","DSNY_021","W","2014-04-16","2014-05-01","2014-05-02","2014-06-25","Erg6c3/ITQuucAXRa8cYERat2b+lIVT8Of3nTzMt5iY=","NEON.BET.D03.000417","SELFOS","Selenophorus fossulatus","species",,"Dejean",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"cc4d75a8-597f-4d4a-8f58-2a2ef7a40e59","DSNY_003.basePlot.bet","D03","DSNY","DSNY_003","N","2014-04-16","2014-05-01","2014-05-02","2014-06-25","BMkXqiEDyEJqQcyx5D3t8hOAEcHhRWchDV7WIVJm+co=","NEON.BET.D03.000407","SCAOCA","Scarites ocalensis","species",,"Nichols",,"Nichols, S. W. 1986. Two new flightless species of Scarites s. str. inhabiting Florida and the West Indies (Coleoptera: Carabidae: Scaritini). Proceedings of the Entomological Society of Washington 88:257-264.",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"ac9120a9-c47d-4093-acce-170091d5a980","DSNY_009.basePlot.bet","D03","DSNY","DSNY_009","N","2014-04-16","2014-05-01","2014-05-02","2014-09-29","1vKvBMnuhLtGeVLhAFID47A1U4cnoWGBgQc++gcx+Wg=","NEON.BET.D03.000389","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"ce6f3114-a5d8-4402-8098-b356e923de90","DSNY_021.basePlot.bet","D03","DSNY","DSNY_021","E","2014-04-16","2014-05-01","2014-05-02","2014-06-25","Erg6c3/ITQuY8YQBcJUCqCR0bci9TQLvczgiZlQ28kA=","NEON.BET.D03.000468","CLISP4","Clivina sp.","genus",,"Latreille",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"09ee486f-98d7-4463-9dd1-aa64203f71b4","DSNY_021.basePlot.bet","D03","DSNY","DSNY_021","E","2014-04-16","2014-05-01","2014-05-02","2014-06-25","Erg6c3/ITQuY8YQBcJUCqCR0bci9TQLvczgiZlQ28kA=","NEON.BET.D03.000467","CLISP4","Clivina sp.","genus",,"Latreille",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"c8a8c853-1e44-40db-9d05-59d6bea82abe","DSNY_003.basePlot.bet","D03","DSNY","DSNY_003","N","2014-04-16","2014-05-01","2014-05-02","2014-06-25","BMkXqiEDyEJqQcyx5D3t8hOAEcHhRWchDV7WIVJm+co=","NEON.BET.D03.000410","SCAOCA","Scarites ocalensis","species",,"Nichols",,"Nichols, S. W. 1986. Two new flightless species of Scarites s. str. inhabiting Florida and the West Indies (Coleoptera: Carabidae: Scaritini). Proceedings of the Entomological Society of Washington 88:257-264.",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
