uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"89b1131c-ee91-4f24-b6d6-bba0fb6229bf","DSNY_004.basePlot.bet","D03","DSNY","DSNY_004","2015-06-23","2015-07-07","2015-09-10","x1o6KrZYU4dnxkopx4xmoESfox0y9GUWBzrKM6L0nxBSjI8cUwKxqBg8wTGU0Qx0ReVHqUZzwqxbKyT6IO1zzrQj4RJBA7dQNUq9BtlkyGbwcobGpxd5T/2o0wyDANH/9ZUdrcvWbHc=","x1o6KrZYU4cYcyCfGWEfyjmZvrkC0Zxb",,,
"69a10a9d-5e65-41df-a55f-9e613fef9b2b","DSNY_001.basePlot.bet","D03","DSNY","DSNY_001","2015-06-23","2015-07-07","2015-08-27","bfz4aAWYKWUIAy1YakhzJ74GFi7KIKXlwZviJbp7KdvCoBulAWwtDbbcRXWuCo1SbJseeGAmkYlCFEtD49xS+WBLsmLNRTywMQ7hfBfNEeIFzDHdZUFZkq9w48CU8FyJriZ3eCqvCpA=","bfz4aAWYKWXaup/athKoApens7gteezo",,,
"f5fdf33c-b442-4a42-b24c-d70b49728fe0","DSNY_006.basePlot.bet","D03","DSNY","DSNY_006","2015-06-23","2015-07-07","2015-08-26","cXYD/hAdAd8gzik5eGJQhj8H2wulHs9WF4nq0azp/317IN5cqF0S/F+H3iwKGgZMtjqRYg7nJZAlerD2OMtbc9XJE1yRdUk76tx6MS3R2tM=","cXYD/hAdAd8YUKoTCnOXo5u4wfBRUkGu",,,
"fdbc88af-fec5-464e-afee-ed9b4ac8de68","DSNY_005.basePlot.bet","D03","DSNY","DSNY_005","2015-06-23","2015-07-07","2015-08-27","y7J40q9OwqLt4J0WMaXxsSsVFUJjdY1YETZzREUgWPt1OOmF6QAsLR4FFllz45lCfj5Lsb7iPFwG0cR+tG5pjzSD7XcmAsXMi3/IdazaAIhUf2ORo2zCHxg1Hqw52lGfYekE9F+oWCA=","y7J40q9OwqIeowny/vuDFSyCK1NEA+Jl",,,
"a8dbb673-39b5-43e1-add7-566e71b22691","DSNY_009.basePlot.bet","D03","DSNY","DSNY_009","2015-06-23","2015-07-07","2015-08-26","1vKvBMnuhLu7qSunD8H9sy5l8hhAxG9028Wd1Dlss3S5Z+NY1CocyMUNpcIk4nVNJ5T1f6o32O+LoGeMDYCXKtWZVbSMuzi5HGKFmNJ8cNw=","1vKvBMnuhLuA+ptsA+GdLDCyZM2jn4bE",,,
"c3e5b3fe-0f79-4999-ab2c-bab181e7688e","DSNY_016.basePlot.bet","D03","DSNY","DSNY_016","2015-06-23","2015-07-07","2015-08-26","d/dxr9yOJlOlhhlnaqBqMrQNhiv/EM9/oyINlOZyWheUcBwweim1DeAz61v1auLhdBK4ZcQH92ZNbcS5hylAkps5erDEvgt+oCmbqm2Cx+MLFnBw18yblDxskB65WUjexnc5OPRhuDM=","d/dxr9yOJlM0CLBu9pxTnbc8zfVJT1+z",,,
"53b15c14-c7a2-407d-9e15-ed7cff655134","DSNY_003.basePlot.bet","D03","DSNY","DSNY_003","2015-06-23","2015-07-07","2015-08-25","BMkXqiEDyEI9JT49P7EC89O9HzP8gW04mVy7P6uq4MdDq3VnHBTlNCIXEonUebaQRTmrbMidUiHGTsxGiDac4vhMvFhd3aPNx9Mv8Q6g+7Ktyba79+DT2r1ASbePdOdCh52HybipHjQ=","BMkXqiEDyEJsUFLHEUAKzQCeN2eDpUzt",,,
"0f9b8c53-d015-4edb-b538-8c4e78d73215","DSNY_001.basePlot.bet","D03","DSNY","DSNY_001","2015-07-07","2015-07-21","2015-07-24","bfz4aAWYKWWPiWFgKcm+UchsV4TtIHMrWScRC77GNG9apS45xCFEakcofUBJltIUaaDjWJl5TUg=","bfz4aAWYKWXFrWVmLQbPF88rGUTAbj/S",,,
"b544dadf-e502-4d3a-b1e7-0474268ec01e","DSNY_006.basePlot.bet","D03","DSNY","DSNY_006","2015-07-07","2015-07-21","2015-08-04","cXYD/hAdAd8gzik5eGJQhhpcDcxdG2NagJp1VxZlSpmL/BzMpe79Hb/HttMLXwG7U5JsB2d6wYfkrUT6ixOHvFitTLh6aXVyPmg2BCkhyB45DVXApnEt4Qtl4YUSdF6GfgjwqURB/XQ=","cXYD/hAdAd9bZTnGdxCLb3HcUzGbZ9MZ",,,
"eb27f840-0104-431b-b1a0-99412980ec1c","DSNY_005.basePlot.bet","D03","DSNY","DSNY_005","2015-07-07","2015-07-21","2015-09-01","y7J40q9OwqLt4J0WMaXxsWK+qs0QEFP3A97qFnDjqeihoVLcWLHSepwi9As9TMB7ypcgb5zj2Ja/3OpcCobqe5nf9/7fxLBNkLsm2e1iPaB0lY/8Tv+XsXIZ3Y3FKva+Czt4jb0TSyA=","y7J40q9OwqIa+JGafockGbDw2Ebwpnw/",,,
