uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,individualID,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationQualifier,sex,morphospeciesID,identificationReferences,identifiedBy,laboratoryName,identificationRemarks,sampleCondition,dnaBarcoded,geneticSampleID,remarks
"17bff60a-8379-4278-805d-bee5d2908e2a","DSNY_001.basePlot.bet","D03","DSNY","DSNY_001","2015-09-01","2015-09-15","2016-09-13","NEON.BET.D03.000560","PASSUB1","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","sublaevis",,"Pasimachus sublaevis","Palisot de Beauvois","species",,"U",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"0a191960-cfdb-4721-83ca-a8dd0c10defb","DSNY_001.basePlot.bet","D03","DSNY","DSNY_001","2015-09-01","2015-09-15","2016-09-13","NEON.BET.D03.000556","PASSUB1","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","sublaevis",,"Pasimachus sublaevis","Palisot de Beauvois","species",,"U",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"f193ecf9-577d-496b-b677-a22a286e9455","DSNY_001.basePlot.bet","D03","DSNY","DSNY_001","2015-09-01","2015-09-15","2016-10-19","NEON.BET.D03.000569","ELAGRA","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini","Elaphropus","Barytachys","granarius",,"Elaphropus granarius","Dejean","species","cf. species","M",,,"Robert L. Davidson","Carnegie Museum of Invertebrate Zoology","Probably granarius, but a revision is needed as some specimens have smooth pronotal basal grooves, some have row of tiny punctures; this may be interspecific variation, or the 2-3 names available in this group may be good species.","No known compromise","N",,
"a73f4d07-5e10-404c-baf7-ecd1b62f4e39","DSNY_001.basePlot.bet","D03","DSNY","DSNY_001","2015-09-01","2015-09-15","2016-09-13","NEON.BET.D03.000558","PASSUB1","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","sublaevis",,"Pasimachus sublaevis","Palisot de Beauvois","species",,"U",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"e1b71936-f41b-44ee-aaf1-2fda9f11ace5","DSNY_001.basePlot.bet","D03","DSNY","DSNY_001","2015-09-01","2015-09-15","2016-10-19","NEON.BET.D03.000568","ELAGRA","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini","Elaphropus","Barytachys","granarius",,"Elaphropus granarius","Dejean","species","cf. species","M",,,"Robert L. Davidson","Carnegie Museum of Invertebrate Zoology","Probably granarius, but a revision is needed as some specimens have smooth pronotal basal grooves, some have row of tiny punctures; this may be interspecific variation, or the 2-3 names available in this group may be good species.","No known compromise","N",,
"a005c611-3c4b-48e0-93ce-e02e93d8a3fa","DSNY_001.basePlot.bet","D03","DSNY","DSNY_001","2015-09-01","2015-09-15","2016-09-13","NEON.BET.D03.000559","PASSUB1","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","sublaevis",,"Pasimachus sublaevis","Palisot de Beauvois","species",,"U",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"e86a4ed5-0c2f-40e6-8c7e-238fb3cb4f25","DSNY_001.basePlot.bet","D03","DSNY","DSNY_001","2015-09-01","2015-09-15","2016-09-13","NEON.BET.D03.000557","PASSUB1","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","sublaevis",,"Pasimachus sublaevis","Palisot de Beauvois","species",,"U",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"815a2d95-5df1-4dab-80cb-2ea9d2ef08d9","DSNY_016.basePlot.bet","D03","DSNY","DSNY_016","2015-09-01","2015-09-15","2016-09-13","NEON.BET.D03.000555","PASSUB1","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","sublaevis",,"Pasimachus sublaevis","Palisot de Beauvois","species",,"U",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"bfdadc69-d720-4028-b7f5-fac04d22bdf9","DSNY_021.basePlot.bet","D03","DSNY","DSNY_021","2015-09-01","2015-09-15","2016-10-10","NEON.BET.D03.000561","APESIN","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini","Apenes",,"sinuata",,"Apenes sinuata","Say","species",,"M",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"1e1867d5-b462-439c-a829-faa0c9f47250","DSNY_016.basePlot.bet","D03","DSNY","DSNY_016","2015-09-01","2015-09-15","2016-09-13","NEON.BET.D03.000554","PASSUB1","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","sublaevis",,"Pasimachus sublaevis","Palisot de Beauvois","species",,"U",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
