uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"1202a5e6-d42c-45b2-8fa8-fc0d0c618739","JERC_010.basePlot.bet","D03","JERC","JERC_010","E","distributed","deciduousForest",31.208222,-84.469495,"WGS84",20.3,42.9,0.4,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_010.E.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"c7aa4a24-947c-4a45-8a99-f0c7c390f15c","JERC_007.basePlot.bet","D03","JERC","JERC_007","E","distributed","evergreenForest",31.198631,-84.476311,"WGS84",20.1,36.8,0.2,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_007.E.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"f29dd907-70a7-4dbb-9435-a98c83a7b701","JERC_009.basePlot.bet","D03","JERC","JERC_009","W","distributed","evergreenForest",31.194989,-84.456904,"WGS84",20.2,48.6,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_009.W.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"19b242f8-cc4e-4bbb-8cab-8c905f94364a","JERC_008.basePlot.bet","D03","JERC","JERC_008","W","distributed","mixedForest",31.195153,-84.450927,"WGS84",20.2,46.1,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_008.W.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"d6bfaade-84e2-439a-a820-30068401b693","JERC_002.basePlot.bet","D03","JERC","JERC_002","W","distributed","evergreenForest",31.194506,-84.460063,"WGS84",20.3,48.3,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_002.W.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"4cc129cb-5210-499f-91c0-70a625579ad3","JERC_005.basePlot.bet","D03","JERC","JERC_005","W","distributed","evergreenForest",31.195967,-84.451227,"WGS84",20.2,45.6,0.4,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_005.W.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"d9d7c0fb-2051-425d-9933-9b74a583c598","JERC_001.basePlot.bet","D03","JERC","JERC_001","W","distributed","deciduousForest",31.194318,-84.477078,"WGS84",20.3,37.9,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_001.W.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"77480026-1cc6-4717-b0c7-90a14ab0f654","JERC_007.basePlot.bet","D03","JERC","JERC_007","W","distributed","evergreenForest",31.198631,-84.476311,"WGS84",20.1,36.8,0.2,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_007.W.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"4bf7e1ab-8546-4202-b4f2-efe98043e0dc","JERC_010.basePlot.bet","D03","JERC","JERC_010","W","distributed","deciduousForest",31.208222,-84.469495,"WGS84",20.3,42.9,0.4,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_010.W.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"8e9a3062-a070-4edd-9d9a-fadd9bc14e33","JERC_003.basePlot.bet","D03","JERC","JERC_003","W","distributed","deciduousForest",31.196150,-84.473242,"WGS84",20.1,34.2,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_003.W.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"1195fa30-b01d-401c-a649-65862a9b7a32","JERC_002.basePlot.bet","D03","JERC","JERC_002","S","distributed","evergreenForest",31.194506,-84.460063,"WGS84",20.3,48.3,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_002.S.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"05d829fb-eaeb-409b-8f40-eda1f4ac8191","JERC_001.basePlot.bet","D03","JERC","JERC_001","S","distributed","deciduousForest",31.194318,-84.477078,"WGS84",20.3,37.9,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"N",,"Missing","Disturbed","Low","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"5cd25993-2f8d-4d4e-b034-cc94774af61b","JERC_010.basePlot.bet","D03","JERC","JERC_010","S","distributed","deciduousForest",31.208222,-84.469495,"WGS84",20.3,42.9,0.4,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_010.S.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"13b66f2e-056d-40e5-942c-1f594f7a5154","JERC_003.basePlot.bet","D03","JERC","JERC_003","S","distributed","deciduousForest",31.196150,-84.473242,"WGS84",20.1,34.2,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_003.S.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"da018b03-9b58-45bf-bd7a-480aadb8f921","JERC_007.basePlot.bet","D03","JERC","JERC_007","S","distributed","evergreenForest",31.198631,-84.476311,"WGS84",20.1,36.8,0.2,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_007.S.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"a8b9aecd-6d23-4358-a270-8a30d048e4e3","JERC_009.basePlot.bet","D03","JERC","JERC_009","S","distributed","evergreenForest",31.194989,-84.456904,"WGS84",20.2,48.6,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_009.S.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"34006345-58a7-448f-a985-ba17d893be68","JERC_005.basePlot.bet","D03","JERC","JERC_005","S","distributed","evergreenForest",31.195967,-84.451227,"WGS84",20.2,45.6,0.4,"2014-06-11","2014-06-18","JERC.2014.25",7,"N",,"Missing","Disturbed","Low","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"04e9526e-c13b-4b81-911a-cb2adb1b2115","JERC_008.basePlot.bet","D03","JERC","JERC_008","S","distributed","mixedForest",31.195153,-84.450927,"WGS84",20.2,46.1,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_008.S.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"bd370b0b-63e4-4472-8078-bd19d840528d","JERC_003.basePlot.bet","D03","JERC","JERC_003","N","distributed","deciduousForest",31.196150,-84.473242,"WGS84",20.1,34.2,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_003.N.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"b7820ed2-34b2-4ea7-adce-b7aedad8bfaa","JERC_002.basePlot.bet","D03","JERC","JERC_002","N","distributed","evergreenForest",31.194506,-84.460063,"WGS84",20.3,48.3,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_002.N.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"aa5d6717-0d06-42ef-892a-54518d1720ea","JERC_003.basePlot.bet","D03","JERC","JERC_003","E","distributed","deciduousForest",31.196150,-84.473242,"WGS84",20.1,34.2,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_003.E.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"72d806c6-bb68-4935-bcd5-b9e75c8d619d","JERC_008.basePlot.bet","D03","JERC","JERC_008","E","distributed","mixedForest",31.195153,-84.450927,"WGS84",20.2,46.1,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_008.E.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"08fcee8f-3343-46ea-ba98-f8f6e4611f32","JERC_005.basePlot.bet","D03","JERC","JERC_005","E","distributed","evergreenForest",31.195967,-84.451227,"WGS84",20.2,45.6,0.4,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_005.E.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"dcb56fc3-7d29-48c4-a595-f700d9d8970a","JERC_009.basePlot.bet","D03","JERC","JERC_009","E","distributed","evergreenForest",31.194989,-84.456904,"WGS84",20.2,48.6,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_009.E.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"92c5b378-6567-462f-bcbd-2d47726f0316","JERC_001.basePlot.bet","D03","JERC","JERC_001","E","distributed","deciduousForest",31.194318,-84.477078,"WGS84",20.3,37.9,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_001.E.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"ca43d42a-192a-40e1-8f4b-94fb531e7b6d","JERC_002.basePlot.bet","D03","JERC","JERC_002","E","distributed","evergreenForest",31.194506,-84.460063,"WGS84",20.3,48.3,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_002.E.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"81f3d935-dc2f-4db6-aed1-2e9d2bbffec7","JERC_010.basePlot.bet","D03","JERC","JERC_010","N","distributed","deciduousForest",31.208222,-84.469495,"WGS84",20.3,42.9,0.4,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_010.N.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"af7768fa-dc55-4f4b-9f06-bd1f02bfe24f","JERC_007.basePlot.bet","D03","JERC","JERC_007","N","distributed","evergreenForest",31.198631,-84.476311,"WGS84",20.1,36.8,0.2,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_007.N.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"e7ee3d6b-6716-4ae5-a9d6-dfc3dc132318","JERC_008.basePlot.bet","D03","JERC","JERC_008","N","distributed","mixedForest",31.195153,-84.450927,"WGS84",20.2,46.1,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_008.N.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"3c2f574c-1a7c-4c2e-abba-85aecca1c005","JERC_005.basePlot.bet","D03","JERC","JERC_005","N","distributed","evergreenForest",31.195967,-84.451227,"WGS84",20.2,45.6,0.4,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_005.N.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"518a8ea9-cf62-46a1-a76b-f6aa5221c53f","JERC_009.basePlot.bet","D03","JERC","JERC_009","N","distributed","evergreenForest",31.194989,-84.456904,"WGS84",20.2,48.6,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_009.N.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"73abf4b2-9e60-41eb-8ae1-dc5ce58c65ed","JERC_001.basePlot.bet","D03","JERC","JERC_001","N","distributed","deciduousForest",31.194318,-84.477078,"WGS84",20.3,37.9,0.3,"2014-06-11","2014-06-18","JERC.2014.25",7,"Y","JERC_001.N.20140618","Ok","Ok","Ok","NEON.DOC.014050vE","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
