uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"83576270-91b9-4ba5-8967-e6a4b926e7e3","JERC_003.basePlot.bet","D03","JERC","JERC_003","N","2014-06-11","2014-06-18","2014-06-27","2014-06-27",,"JERC_003.N.20140618","9IO0159G1ygNSiHNds4uNw+P+l3P5ctVAxd5z0zeN3M=","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"20ea1e3d-c0bf-4cdb-965c-26beb54309d7","JERC_007.basePlot.bet","D03","JERC","JERC_007","N","2014-06-11","2014-06-18","2014-06-27","2014-06-27",,"JERC_007.N.20140618","a/HTBHkllcNfqZUHfMliyC3N/1RPGVqdYhGnkvIIDI0=","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"d186ee03-aac0-4fa0-8a46-da45f1004eab","JERC_005.basePlot.bet","D03","JERC","JERC_005","N","2014-06-11","2014-06-18","2014-06-27","2014-06-27",,"JERC_005.N.20140618","Va9a3mr00GtvlkgRMfSqA2vh2Bg2UcbjqRzOK6IZt48=","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"44c52759-f12f-4c26-b8b6-6a6ba855c31c","JERC_002.basePlot.bet","D03","JERC","JERC_002","N","2014-06-11","2014-06-18","2014-06-27","2014-06-27",,"JERC_002.N.20140618","CV0ws5Gtbhl/yUr/DHm38JW1SmB5B3m7GZXCe22LJQE=","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"c42e6df7-f598-41d6-974b-b273d12a10ac","JERC_001.basePlot.bet","D03","JERC","JERC_001","N","2014-06-11","2014-06-18","2014-06-27","2014-06-27",,"JERC_001.N.20140618","ArvEgVyhbJfj4MsKctBti14SPTLOgIgD/00PFLf42DQ=","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"93ed0b14-d7bd-43eb-8ac3-684bb76a36df","JERC_009.basePlot.bet","D03","JERC","JERC_009","N","2014-06-11","2014-06-18","2014-06-27","2014-06-27",,"JERC_009.N.20140618","21ilO4RJ2p9DeVJK+w0/ocqU/VbwDJVVu1Yy7BBo+SA=","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"d433468b-69e2-436d-bb74-be093417be8a","JERC_008.basePlot.bet","D03","JERC","JERC_008","N","2014-06-11","2014-06-18","2014-06-27","2014-06-27",,"JERC_008.N.20140618","S3j2Rzo+HUmxFbUYbu9XgFnAAhecyxv6PkGw3W1DZT0=","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"d86e7811-5fa0-451d-98a2-6ab1d7165c27","JERC_007.basePlot.bet","D03","JERC","JERC_007","N","2014-06-11","2014-06-18","2014-06-27","2014-06-27","2014-06-27","JERC_007.N.20140618","a/HTBHkllcNfqZUHfMliyHxiGlGasW6CS7vHSRq5Evc=","carabid","PASSUB1","Pasimachus sublaevis","species",,"Palisot de Beauvois",,1,"Other","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","individualCount not recorded. Value of 1 entered|"
"86282538-82a8-4854-b451-f305de9548c2","JERC_010.basePlot.bet","D03","JERC","JERC_010","N","2014-06-11","2014-06-18","2014-06-27","2014-06-27",,"JERC_010.N.20140618","qRTVq00V1UmP7weT7jbXj++4Zn5i4aqbDsTksa15Ap4=","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"0cb301a4-a261-4d7e-ae27-85a9067b3339","JERC_005.basePlot.bet","D03","JERC","JERC_005","E","2014-06-11","2014-06-18","2014-06-27","2014-06-27","2014-06-27","JERC_005.E.20140618","Va9a3mr00GvlEaAywxzn4A+A4IXTIsVAJ1FT0qVGKjM=","vert bycatch herp","SCAHOL","Scaphiopus holbrookii","species",,"Harlan",,1,"Other","KcUIh1bHY94S7Wfrlp/39pBm2uWTKGOw","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
