uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,individualID,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationQualifier,sex,morphospeciesID,identificationReferences,identifiedBy,laboratoryName,identificationRemarks,sampleCondition,dnaBarcoded,geneticSampleID,remarks
"f15388e5-2902-4f58-bd53-49479bf109ae","JERC_001.basePlot.bet","D03","JERC","JERC_001","2015-04-23","2015-05-07","2016-10-28","NEON.BET.D03.000581","SELELL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Selenophorus","Celiamorphus","ellipticus",,"Selenophorus ellipticus","Dejean","species","cf. species","F",,,"Robert L. Davidson","Carnegie Museum of Invertebrate Zoology","Subgenus a mess in southeast; at least 6 unresolved available names; dissection of males shows several species, but which name goes with which, and external separation difficult.","No known compromise","N",,
"6b45b300-74a3-45ef-bb5e-c3e4ca9e2d60","JERC_003.basePlot.bet","D03","JERC","JERC_003","2015-04-23","2015-05-07","2016-09-28","NEON.BET.D03.000592","HELNIG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini","Helluomorphoides",,"nigripennis",,"Helluomorphoides nigripennis","Dejean","species",,"F",,"Ball, G. E. 1956. A revision of the North American species of the genus Helluomorphoides Ball, 1951. Proceedings of the Entomological Society of Washington 58:67-91.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"342d34e6-ebdf-4747-9890-0408ff9e3a21","JERC_003.basePlot.bet","D03","JERC","JERC_003","2015-04-23","2015-05-07","2016-09-28","NEON.BET.D03.000593","HELNIG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini","Helluomorphoides",,"nigripennis",,"Helluomorphoides nigripennis","Dejean","species",,"F",,"Ball, G. E. 1956. A revision of the North American species of the genus Helluomorphoides Ball, 1951. Proceedings of the Entomological Society of Washington 58:67-91.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"24c5e438-536b-4463-88e0-ff9aeafdb7db","JERC_007.basePlot.bet","D03","JERC","JERC_007","2015-04-23","2015-05-07","2016-10-03","NEON.BET.D03.000584","CYCOVU","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Cyclotrachelus","ovulum",,"Cyclotrachelus ovulum","Chaudoir","species",,"F",,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"7b330df0-42da-416e-b9e2-f6407fe5a0e7","JERC_007.basePlot.bet","D03","JERC","JERC_007","2015-04-23","2015-05-07","2016-09-13","NEON.BET.D03.000591","PASSUB1","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","sublaevis",,"Pasimachus sublaevis","Palisot de Beauvois","species",,"U",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"b0402991-380b-440f-a64b-58c5ef048d6c","JERC_007.basePlot.bet","D03","JERC","JERC_007","2015-04-23","2015-05-07","2016-10-03","NEON.BET.D03.000603","CYCSIG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","sigillatus",,"Cyclotrachelus sigillatus","Say","species",,"F",,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"d61ce841-6a9c-4361-9232-f2b1288ebb84","JERC_007.basePlot.bet","D03","JERC","JERC_007","2015-04-23","2015-05-07","2016-10-12","NEON.BET.D03.000586","AGOCON","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Agonoleptus",,"conjunctus",,"Agonoleptus conjunctus","Say","species",,"F",,"Bousquet, Y., and P. W. Messer. 2010. Redescription of Stenolophus thoracicus Casey (Coleoptera, Carabidae, Harpalini), a valid species. ZooKeys 53:25-31.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"e92d06db-4bc8-4f4e-a72a-543a12967a21","JERC_007.basePlot.bet","D03","JERC","JERC_007","2015-04-23","2015-05-07","2016-10-03","NEON.BET.D03.000602","CYCSIG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","sigillatus",,"Cyclotrachelus sigillatus","Say","species",,"F",,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"76ac6149-7820-4417-b0ea-ddd313f06284","JERC_030.basePlot.bet","D03","JERC","JERC_030","2015-04-23","2015-05-07","2016-10-28","NEON.BET.D03.000590","SELSP","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Selenophorus","Celiamorphus","sp.",,"Selenophorus (Celiamorphus) sp.","Casey","subgenus",,"M",,,"Robert L. Davidson","Carnegie Museum of Invertebrate Zoology","Subgenus a mess in southeast; at least 6 unresolved available names; dissection of males shows several species, but which name goes with which, and external separation difficult.","No known compromise","N",,
"24522d67-5324-4872-ab3f-31b06422f58e","JERC_010.basePlot.bet","D03","JERC","JERC_010","2015-04-23","2015-05-07","2016-09-13","NEON.BET.D03.000582","PASSUB2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","subsulcatus",,"Pasimachus subsulcatus","Say","species",,"U",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Robert L. Davidson","Carnegie Museum of Invertebrate Zoology",,"No known compromise","N",,
"20503226-48f7-4e7c-a017-1624a60d443e","JERC_030.basePlot.bet","D03","JERC","JERC_030","2015-04-23","2015-05-07","2016-10-28","NEON.BET.D03.000589","SELSP","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Selenophorus","Celiamorphus","sp.",,"Selenophorus (Celiamorphus) sp.","Casey","subgenus",,"F",,,"Robert L. Davidson","Carnegie Museum of Invertebrate Zoology","Subgenus a mess in southeast; at least 6 unresolved available names; dissection of males shows several species, but which name goes with which, and external separation difficult.","No known compromise","N",,
