uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"ba7da536-cfcf-4930-b6b2-69c91ffa50cc","JERC_001.basePlot.bet","D03","JERC","JERC_001","E","2015-04-23","2015-05-07","2015-10-09","2015-07-09","ArvEgVyhbJclGce9BJeiSIesC2foFhlVt4VvT295P9U=","NEON.BET.D03.000581","SELELL","Selenophorus ellipticus","species",,"Dejean",,"Teaching collection",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"f28436a7-46e1-4376-add1-860c3a084f75","JERC_003.basePlot.bet","D03","JERC","JERC_003","N","2015-04-23","2015-05-07","2015-10-15","2015-10-23","9IO0159G1yhJSXKQdALFrTleoV15RjTQhmacX/66Z2w=","NEON.BET.D03.000592","HELNIG","Helluomorphoides nigripennis","species",,"Dejean",,"Teaching collection",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2",
"8e75ca28-aaeb-43e6-909c-fdaf6a387e0c","JERC_030.basePlot.bet","D03","JERC","JERC_030","W","2015-04-23","2015-05-07","2015-10-15","2015-06-01","AuAZEkdfggJMM7XIzsfntct26hlZzm4ooVb/phf2Vks=","NEON.BET.D03.000590","SELELL","Selenophorus ellipticus","species",,"Dejean",,"Teaching collection",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2",
"1c3fe5d1-229e-4ba1-931a-6a0a0252cc82","JERC_030.basePlot.bet","D03","JERC","JERC_030","W","2015-04-23","2015-05-07","2015-10-15","2015-06-01","AuAZEkdfggJMM7XIzsfntct26hlZzm4ooVb/phf2Vks=","NEON.BET.D03.000589","SELELL","Selenophorus ellipticus","species",,"Dejean",,"Teaching collection",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2",
"f4e9c044-60ce-4c44-bc07-73639cd49e87","JERC_007.basePlot.bet","D03","JERC","JERC_007","W","2015-04-23","2015-05-07","2015-10-15","2015-10-16","a/HTBHkllcOQVC1IljayT7ICKDnFt6Q4lGpjG1giYKs=","NEON.BET.D03.000586","ACUTES","Acupalpus testaceus","species","cf. species","Dejean",,"Teaching collection",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2",
"26f70aa3-83e9-40e2-8f51-6a91abff97d7","JERC_007.basePlot.bet","D03","JERC","JERC_007","S","2015-04-23","2015-05-07","2015-10-21","2015-08-06","a/HTBHkllcNjXMPdsfZ3H+ZjimcktfKFH79mrmPFXXc=","NEON.BET.D03.000602","CYCSIG","Cyclotrachelus sigillatus","species",,"Say",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2",
"a52fc059-84d2-4892-8280-88ab6d244ac6","JERC_007.basePlot.bet","D03","JERC","JERC_007","S","2015-04-23","2015-05-07","2015-10-21","2015-08-06","a/HTBHkllcNjXMPdsfZ3H+ZjimcktfKFH79mrmPFXXc=","NEON.BET.D03.000603","CYCSIG","Cyclotrachelus sigillatus","species",,"Say",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2",
"c1e18cd2-d1b5-4dc6-8527-ab999289bcfc","JERC_007.basePlot.bet","D03","JERC","JERC_007","S","2015-04-23","2015-05-07","2015-10-15","2015-08-06","a/HTBHkllcNjXMPdsfZ3H3vaJd9VWQ7SCt3Ov24PFbk=","NEON.BET.D03.000584","CYCLAE","Cyclotrachelus laevipennis","species",,"LeConte",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2",
"3e2a1e62-c69d-4aaa-be1f-d23af0d4b43c","JERC_007.basePlot.bet","D03","JERC","JERC_007","N","2015-04-23","2015-05-07","2015-10-15","2015-05-26","a/HTBHkllcNat4Nm3Eg/3DNo4TmRGo4+FjnUBgA2bCw=","NEON.BET.D03.000591","PASSUB1","Pasimachus sublaevis","species",,"Palisot de Beauvois",,"Weed, Aaron. Preliminary key to the Pasimachus (Coleoptera: Carabidae: Scaritini) of Florida. http://www.entnemdept.ufl.edu/choate/pasimachus_florida.pdf",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2",
"f9388564-dd80-4dbc-910e-f516361508ae","JERC_010.basePlot.bet","D03","JERC","JERC_010","N","2015-04-23","2015-05-07","2015-10-15","2015-10-15","qRTVq00V1UnS5M6xgnKncPvl4/9neDdcj0WicwPYiWE=","NEON.BET.D03.000582","PASSUB2","Pasimachus subsulcatus","species",,"Say",,"Weed, Aaron. Preliminary key to the Pasimachus (Coleoptera: Carabidae: Scaritini) of Florida. http://www.entnemdept.ufl.edu/choate/pasimachus_florida.pdf",,"SZd6jJU+PWukgvziuyetpzviWNuM2FzT","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2",
