uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"946cc1c2-2505-4aaa-909c-0535e3e1388d","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","W","2014-05-27","2014-06-09","2014-09-29","2014-09-29","6IhldZNozXPlZn7/rgbhFQcVzXXk7hyWPKg/hxFowto=","NEON.BET.D03.000365","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Other",,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"b895fd73-162a-4e84-bfdf-ffa893f1a6a8","OSBS_001.basePlot.bet","D03","OSBS","OSBS_001","W","2014-05-27","2014-06-09","2014-09-30","2014-09-30","tAZPllg5btTy1SbpBAd7l1y0zS6h2KHIZg11SlIM8qw=","NEON.BET.D03.000477","LOXSP","Loxandrus sp.","genus","cf. genus","LeConte",,"Other",,"scdXeiOYH+xCXiXscoerBg8nVMTM/1lP","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"ef0d3043-0734-4825-88a6-ed1a2cc82566","OSBS_006.basePlot.bet","D03","OSBS","OSBS_006","W","2014-05-27","2014-06-09","2014-09-19","2014-09-19","s+mA6/5XhU5j0ZY93Ep2e8TcXp67eeXpbH0n6zvvSsU=","NEON.BET.D03.000082","HARTEX","Harpalus texanus","species",,"Casey",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"e883f727-19ee-42d8-9369-9bdb1151adfb","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","S","2014-05-27","2014-06-09","2014-09-29","2014-09-29","6IhldZNozXMmg4CKZqkT9IHNznDbDR5BvXJL9o1c7eY=","NEON.BET.D03.000368","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Other",,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"cc412eae-273b-4059-a184-d6b51c3b1e72","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","S","2014-05-27","2014-06-09","2014-06-24","2014-06-24","6IhldZNozXMmg4CKZqkT9IHNznDbDR5BvXJL9o1c7eY=","NEON.BET.D03.000346","PASSUB2","Pasimachus subsulcatus","species",,"Say",,"Other",,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"4eb6fce8-8025-485f-98d0-13a73132ca89","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","N","2014-05-27","2014-06-09","2014-09-29","2014-09-29","6IhldZNozXNhws+3dVHAdVjuC4PYtuOygeKP8qJXsXg=","NEON.BET.D03.000393","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Other",,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",
"d3c2bd18-300c-4f83-ac95-3924cc8a7612","OSBS_007.basePlot.bet","D03","OSBS","OSBS_007","W","2014-05-27","2014-06-09","2014-07-31","2014-07-31","GG9Q6Sepi5lfRVE+kH9PyeNF8Eaa53CZlm9aFKk5oVo=","NEON.BET.D03.000322","PASSTR","Pasimachus strenuus","species",,"LeConte",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"20800b46-82cd-4645-a256-57570cd0d53d","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","N","2014-06-09","2014-06-27","2014-09-29","2014-09-29","6IhldZNozXNhws+3dVHAdZDKS8vziScn2HwCattIh0g=","NEON.BET.D03.000268","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Other",,"scdXeiOYH+xCXiXscoerBg8nVMTM/1lP","scdXeiOYH+xCXiXscoerBg8nVMTM/1lP",
"b3b9fa5d-6d3d-4bd2-b07a-774e6884b330","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","N","2014-06-09","2014-06-27","2014-09-29","2014-09-29","6IhldZNozXNhws+3dVHAdZDKS8vziScn2HwCattIh0g=","NEON.BET.D03.000251","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Other",,"scdXeiOYH+xCXiXscoerBg8nVMTM/1lP","scdXeiOYH+xCXiXscoerBg8nVMTM/1lP",
"35eff437-6d87-41bd-924a-ece1202216d5","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","N","2014-06-09","2014-06-27","2014-09-29","2014-09-29","6IhldZNozXNhws+3dVHAdZDKS8vziScn2HwCattIh0g=","NEON.BET.D03.000249","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Other",,"scdXeiOYH+xCXiXscoerBg8nVMTM/1lP","scdXeiOYH+xCXiXscoerBg8nVMTM/1lP",
"9827efa8-3781-4017-97d2-829a9f89d935","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","N","2014-06-09","2014-06-27","2014-09-29","2014-09-29","6IhldZNozXNhws+3dVHAdZDKS8vziScn2HwCattIh0g=","NEON.BET.D03.000248","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Other",,"scdXeiOYH+xCXiXscoerBg8nVMTM/1lP","scdXeiOYH+xCXiXscoerBg8nVMTM/1lP",
"027d36ce-9cdb-492b-a662-0bc810a8c103","OSBS_022.basePlot.bet","D03","OSBS","OSBS_022","N","2014-06-09","2014-06-27","2014-08-11","2014-08-11","M5jd5p7S+pinQh79dFfh2PsqO2POWmh1RduRfh/K9Zg=","NEON.BET.D03.000481","LOXSP","Loxandrus sp.","genus",,"LeConte",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"536ab44a-2ad8-409f-b3cd-ae155af51d50","OSBS_022.basePlot.bet","D03","OSBS","OSBS_022","S","2014-06-09","2014-06-27","2014-08-11","2014-08-11","M5jd5p7S+phhqaD6K4GlCc5PektVBXPqrcGPhDnb0UM=","NEON.BET.D03.000221","HELCLA","Helluomorphoides clairvillei","species",,"Dejean",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"bd5891bf-51e0-4959-8652-e185ac867fd6","OSBS_022.basePlot.bet","D03","OSBS","OSBS_022","S","2014-06-09","2014-06-27","2014-08-11","2014-08-11","M5jd5p7S+phhqaD6K4GlCc5PektVBXPqrcGPhDnb0UM=","NEON.BET.D03.000120","PASMAR","Pasimachus marginatus","species",,"Fabricius",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"0d5eec37-b467-4992-ae89-0dbc82c063a4","OSBS_022.basePlot.bet","D03","OSBS","OSBS_022","S","2014-06-09","2014-06-27","2014-08-11","2014-08-11","M5jd5p7S+phhqaD6K4GlCc5PektVBXPqrcGPhDnb0UM=","NEON.BET.D03.000084","PASMAR","Pasimachus marginatus","species",,"Fabricius",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"03873e01-490f-4946-acd5-468b53052f50","OSBS_001.basePlot.bet","D03","OSBS","OSBS_001","S","2014-06-09","2014-06-27","2014-07-31","2014-07-31","tAZPllg5btSgEP47qQTYPtOoHgKl8JoKkTJdl+C5bwM=","NEON.BET.D03.000411","DICELO","Dicaelus elongatus","species",,"Bonelli",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"59d1ccc8-a62f-48a2-923c-b22387be12b8","OSBS_008.basePlot.bet","D03","OSBS","OSBS_008","W","2014-06-09","2014-06-27","2014-08-06","2014-08-06","kDyjQwK8kfrWRcCY/RI2vWhoTN8k3UaVr6ucZhGBfkQ=","NEON.BET.D03.000480","APESP","Apenes sp.","genus",,"LeConte",,"Other",,"bPko/k8RNU/icSbrBCzMLbJxWeUwZufu","bPko/k8RNU/icSbrBCzMLbJxWeUwZufu",
"d556d68e-a602-4f14-ace4-f8809bc08b82","OSBS_004.basePlot.bet","D03","OSBS","OSBS_004","W","2014-06-09","2014-06-27","2014-08-11","2014-08-11","X148jY8iothT9L8j7UHi/duMM5ruPCIHq5PLnuAlRsY=","NEON.BET.D03.000121","PASSTR","Pasimachus strenuus","species",,"LeConte",,"Other",,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"a1fde678-9d48-4f30-b585-ebe3a7ef7c14","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","N","2014-06-09","2014-06-27","2014-09-29","2014-09-29","6IhldZNozXNhws+3dVHAdZDKS8vziScn2HwCattIh0g=","NEON.BET.D03.000269","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Other",,"scdXeiOYH+xCXiXscoerBg8nVMTM/1lP","scdXeiOYH+xCXiXscoerBg8nVMTM/1lP",
