uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"7bbe4a56-24cd-44c3-8829-77ff0fa849d6","OSBS_002.basePlot.bet","D03","OSBS","OSBS_002","E","2015-04-16","2015-04-30","2015-04-30","2015-05-27",,"OSBS_002.E.20150430","eBaJt3JMmOMmGSk/WUZCu+7E8iH9dcmTMGd7qiVqlCY=","invert bycatch",,,,,,,,,,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"9f7d1b09-6a74-4a47-b101-70e81b153d2a","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","E","2015-04-16","2015-04-30","2015-04-30","2015-05-11","2015-05-29","OSBS_003.E.20150430","6IhldZNozXOOTou7l0m95PRl7r/BbpPrl6N8ipjU7fk=","carabid","CYCFAB","Cyclotrachelus faber","species",,"Germar",,1,"Teaching collection","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX",
"6bce7560-0bc7-4e92-8be3-7b3ec42e8034","OSBS_022.basePlot.bet","D03","OSBS","OSBS_022","E","2015-04-16","2015-04-30","2015-04-30","2015-05-05",,"OSBS_022.E.20150430","M5jd5p7S+pjNEg+uBu5mtr6n94dOPggFqbI+vHNP8jo=","invert bycatch",,,,,,,,,,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"27e54268-4bb5-457e-8305-dbe1e0bb90e2","OSBS_005.basePlot.bet","D03","OSBS","OSBS_005","E","2015-04-16","2015-04-30","2015-04-30","2015-05-05",,"OSBS_005.E.20150430","Ic3+d2cIO5MztxybLxOhXYhXQPc7I56FlBl9jnDDhYA=","invert bycatch",,,,,,,,,,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"9d29f10b-76b8-4430-a397-0e461fa3c96b","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","E","2015-04-16","2015-04-30","2015-04-30","2015-05-11","2015-05-29","OSBS_003.E.20150430","6IhldZNozXOOTou7l0m95O5dymNBhVxVZajCLCpRpDY=","carabid","PASSUB2","Pasimachus subsulcatus","species",,"Say",,1,"Weed, Aaron. Preliminary key to the Pasimachus (Coleoptera: Carabidae: Scaritini) of Florida. http://www.entnemdept.ufl.edu/choate/pasimachus_florida.pdf","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX",
"6ef89bdf-f902-4181-b4d3-54f73d4963e5","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","E","2015-04-16","2015-04-30","2015-04-30","2015-05-11",,"OSBS_003.E.20150430","6IhldZNozXOOTou7l0m95DLr7K/4udspArWo4f9llcE=","invert bycatch",,,,,,,,,,"PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX",
"34d8dbd4-4e2b-4abe-8fb1-a9cb4a29ff1c","OSBS_006.basePlot.bet","D03","OSBS","OSBS_006","E","2015-04-16","2015-04-30","2015-04-30","2015-05-05",,"OSBS_006.E.20150430","s+mA6/5XhU5Uogl60OepkZ/78HFULnpYgj9C2e3Wa/Q=","invert bycatch",,,,,,,,,,"PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX",
"d2dd3515-713e-428d-9f9d-04b0c5afe408","OSBS_004.basePlot.bet","D03","OSBS","OSBS_004","E","2015-04-16","2015-04-30","2015-04-30","2015-05-27",,"OSBS_004.E.20150430","X148jY8iotjjiIlzJUxheLiDQGhVSvzbVruwKxN7lOg=","invert bycatch",,,,,,,,,,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"30efb71e-34d5-4641-9b4a-3375d21af181","OSBS_007.basePlot.bet","D03","OSBS","OSBS_007","E","2015-04-16","2015-04-30","2015-04-30","2015-06-02",,"OSBS_007.E.20150430","GG9Q6Sepi5k939QK3L8AMjNT/b0fQhPrrZx98MTwhbk=","invert bycatch",,,,,,,,,,"w/KL6MXJXvQQsLRcmywlukzOyoInucvI",
"a2479c56-31c8-43fe-8e61-4b82137a1b5f","OSBS_023.basePlot.bet","D03","OSBS","OSBS_023","E","2015-04-16","2015-04-30","2015-04-30","2015-06-02",,"OSBS_023.E.20150430","9ahRxcnzux7s3YdYtrjVkTAO3YAZburMOSbQwTR+slY=","invert bycatch",,,,,,,,,,"w/KL6MXJXvQQsLRcmywlukzOyoInucvI",
"410b1683-35b5-417c-910d-aaab76b3333b","OSBS_001.basePlot.bet","D03","OSBS","OSBS_001","E","2015-04-16","2015-04-30","2015-04-30","2015-05-05",,"OSBS_001.E.20150430","tAZPllg5btRxTyRXaTfy+On/LIA4pHhZXhiR107CKxY=","invert bycatch",,,,,,,,,,"PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX",
"d9a3e904-a548-4dc9-a673-3cd992e63b0d","OSBS_001.basePlot.bet","D03","OSBS","OSBS_001","N","2015-04-16","2015-04-30","2015-04-30","2015-05-05",,"OSBS_001.N.20150430","tAZPllg5btS8VemDAC7x96W9hsbEj8w4WPKZGHlha/s=","invert bycatch",,,,,,,,,,"PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX",
"da081ffe-5d29-429e-84db-d60e03a76efb","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","N","2015-04-16","2015-04-30","2015-04-30","2015-05-11",,"OSBS_003.N.20150430","6IhldZNozXNXk42c0SZ1rkujnbLQsm99slorYhJCZRA=","invert bycatch",,,,,,,,,,"PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX",
"a08fa0b5-f82d-477c-9bff-a5e99004de16","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","N","2015-04-16","2015-04-30","2015-04-30","2015-05-11","2015-05-11","OSBS_003.N.20150430","6IhldZNozXNXk42c0SZ1rtN8IQx9YLwT7dyDaQFYbRw=","carabid","PASSTR","Pasimachus strenuus","species",,"LeConte",,1,"Weed, Aaron. Preliminary key to the Pasimachus (Coleoptera: Carabidae: Scaritini) of Florida. http://www.entnemdept.ufl.edu/choate/pasimachus_florida.pdf","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX",
"7ec6af18-d39d-4622-8451-4d18a8d2751a","OSBS_003.basePlot.bet","D03","OSBS","OSBS_003","N","2015-04-16","2015-04-30","2015-04-30","2015-05-11","2015-05-11","OSBS_003.N.20150430","6IhldZNozXNXk42c0SZ1rg2ZT0lOryVHJ/GtPZuYsv4=","carabid","CYCFAB","Cyclotrachelus faber","species",,"Germar",,1,"Teaching collection","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX",
"c2cec184-dd06-446e-a791-c3d4ba7baa48","OSBS_022.basePlot.bet","D03","OSBS","OSBS_022","N","2015-04-16","2015-04-30","2015-04-30","2015-05-05",,"OSBS_022.N.20150430","M5jd5p7S+phiTmLQ98tsj2hxq09EqhEfNr9QMLaK7IM=","invert bycatch",,,,,,,,,,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",
"06e3da54-9861-4793-9a44-f7ada9f58133","OSBS_007.basePlot.bet","D03","OSBS","OSBS_007","N","2015-04-16","2015-04-30","2015-04-30","2015-06-02",,"OSBS_007.N.20150430","GG9Q6Sepi5lNg2EeITVxf93pLlkMqxCZRmcacM4H55Q=","invert bycatch",,,,,,,,,,"w/KL6MXJXvQQsLRcmywlukzOyoInucvI",
