uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"814cd582-521d-40c8-87f8-cffa0999d750","OSBS_008.basePlot.bet","D03","OSBS","OSBS_008","2015-08-20","2015-09-03","2015-09-04","kDyjQwK8kfp43Qe2zbIpNtl7K3MSEe2hsn9a6eybFFlz0i1/jxFkF1VnE4hYFXTvrqPX6GL5x/o9MyHKX919n/sEjfgNNJcHDqRYqmdC0/I=","kDyjQwK8kfoLgFxxdajxmrgzvfkKN1df",,,
"1cc6ea04-0f75-4b1c-b659-e0e10163d53f","OSBS_002.basePlot.bet","D03","OSBS","OSBS_002","2015-08-20","2015-09-03","2015-09-10","eBaJt3JMmOMFDUSbtcsX11MpNJmfVjYpAr8jSzxr9etHBb89aOOwOzt6ffquTmvKq6zC2IY06G9yPpjdX8Tm8eoYTNfv1BsrpknTuYy/bfKNG8kEMnH9kLykwM7433dycQRk0FpHFvQ=","eBaJt3JMmOPTYNcn9a4ycQT6rd7oV0AP",,,
"2b2458db-d053-4906-b7e5-aba9b39350f4","OSBS_001.basePlot.bet","D03","OSBS","OSBS_001","2015-08-20","2015-09-03","2015-09-03","tAZPllg5btSYjqQKos6CWMVsVMPl8iKHFwbMh6jJ1qA/5KLS8QxRmoST4Y6eDNUU64J6eX36WzYYtx0CoCtMTeZ4yu3rU3mV58/XRIxK6c/AJiwbCrc9lU468rsLgrCia/hjbOZtDJA=","tAZPllg5btT1pxqMaapfKu32WUwmG/LK",,,
"6aac2a17-a25f-4f88-aff6-16ea13006653","OSBS_007.basePlot.bet","D03","OSBS","OSBS_007","2015-08-20","2015-09-03","2015-09-04","GG9Q6Sepi5nKQe66OEp9+m72g11qEvI7sgV68f6Gmn3KjVB+plMl7uXxtVHxYM6ws3d0SorRrbbt2bPgkF/40FY2Yj4sSiqi8cM/tZ5l1ThAlQ7fgnDKaiptZNgxvFSZhVEhwCArIRs=","GG9Q6Sepi5lfxcnfjv4xFEE/OfxvLNe/",,,
"8c629c9a-51ae-466d-9847-9af291555c23","OSBS_004.basePlot.bet","D03","OSBS","OSBS_004","2015-08-20","2015-09-03","2015-09-04","X148jY8ioti3U7g7drZeHYkor+zYjzPPJueBviJN+cze7J/oXS4Jo1JQ5l00wup3+giel7ma7+ODotRbpbo0hcMQnAEdIpPUoyDk6YkGDz0xWkh6Bti9SqnM83uqyjWeaENEHj6dcoE=","X148jY8iothGTQHI7wsJawOs+6jPM27Z",,,
"a0121995-78e7-4346-a58e-4ae4c9d7ba04","OSBS_005.basePlot.bet","D03","OSBS","OSBS_005","2015-08-20","2015-09-03","2015-09-04","Ic3+d2cIO5MJ0dS+NvmKId6OIqNbxbuQr2CR2FNNyFpL9l56DLgzXJM6AdGdc/mtAuw36NjZTRA=","Ic3+d2cIO5MGkJZb6KZQJSNuFU5zTYte",,,
"5207bacb-5494-4b19-905b-19c59e0ebabc","OSBS_005.basePlot.bet","D03","OSBS","OSBS_005","2015-08-20","2015-09-03","2015-09-03","Ic3+d2cIO5MztxybLxOhXY92E0B9+3Ro1k/wr3ozoJy1R2Ip2wBeIDlvFnMJ6n10wgngYDxzw5Q=","Ic3+d2cIO5MGkJZb6KZQJSkJb/m2oj4j",,,
"79c65221-8d24-4669-9eb5-858f4d853da4","OSBS_006.basePlot.bet","D03","OSBS","OSBS_006","2015-08-20","2015-09-03","2015-10-23","s+mA6/5XhU5dWVKiKmIbAn6UQRUZIks9zokVLH3dDFVqHg6OuDAwunDAiTJ3q31grchsAFm2+ahQLAit8nGizranfiM3lF3FYJ5BRPCIsJowS9Is5smg8DcGI3eQtyw1BwjeMQfVoTw=","s+mA6/5XhU6nxQjssxgiA/Ekd4/qzHbz",,,
"d4d5d8d5-5ea8-41c5-a443-e05d59c0243a","OSBS_023.basePlot.bet","D03","OSBS","OSBS_023","2015-08-20","2015-09-03","2015-09-04","9ahRxcnzux7s3YdYtrjVkfAWkm57uocRPGXsx+qerltQWe3sNcOtG8v1D5e/6fNsLsg03+NHRG6BtRjj1YZOq632lCVOZrkkFf3wi3F/dbl9qWI77FOoKEYjMbrN7DKowlk6BnHeoyQ=","9ahRxcnzux5see4SnogmyOK1+RTSKHhR",,,
"e6249ab2-6497-47e3-8914-c71f35905d4e","OSBS_022.basePlot.bet","D03","OSBS","OSBS_022","2015-08-20","2015-09-03","2015-09-04","M5jd5p7S+phiTmLQ98tsj4AkM3kJHwNVZfVStYJw8hvuG8IFtANsfL3S3SW7JlPUOdUJA7OzE7nK+ZA0O7REffXz0+zHzzzHUDtzPDmQhr8=","M5jd5p7S+pjsXBHi1r8B0VanTAxJjaPo",,,
