uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"c7bb7a0f-9118-4dc9-bb37-3df719a9352e","GUAN_005.basePlot.bet","D04","GUAN","GUAN_005","E","2015-10-19","2015-11-02","2015-11-03","2015-11-11",,"GUAN_005.E.20151102","KK4tnV2BrsE8u3cQWESZNzio/1wneeY6vkhhz/PJgOc=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"e243eef8-7bfb-4ef0-a120-5e19eda7bd02","GUAN_005.basePlot.bet","D04","GUAN","GUAN_005","N","2015-10-19","2015-11-02","2015-11-03","2015-11-11",,"GUAN_005.N.20151102","KK4tnV2BrsEQ/EvDd8iea5qXBBf0vIDhVXSpiXFTVs8=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"d627a830-ab64-4607-9a6f-725740dbc9a6","GUAN_010.basePlot.bet","D04","GUAN","GUAN_010","N","2015-10-19","2015-11-02","2015-11-03","2015-11-20",,"GUAN_010.N.20151102","Kn9PCqPVugajtRL3m8B1J/9Gf829LltolhC71y+OXY8=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"dfa1218e-f218-42e3-aa40-03f04c4f4712","GUAN_003.basePlot.bet","D04","GUAN","GUAN_003","N","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_003.N.20151102","ofKA/tf32tLNS8A1mtKROdcSfASVRlJm0S7RId3invg=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"ce8207dd-727a-487a-95d1-f94da2cb7a2e","GUAN_003.basePlot.bet","D04","GUAN","GUAN_003","E","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_003.E.20151102","ofKA/tf32tLE/GyFKl097zcu8YQ0mW4tcH4exHyEgNg=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"91d37f8e-9b7a-498f-acd7-de047f050cc6","GUAN_007.basePlot.bet","D04","GUAN","GUAN_007","N","2015-10-19","2015-11-02","2015-11-03","2015-11-20",,"GUAN_007.N.20151102","Wlii2b3QXU21xRhSlGLt41Qsm5TmA7LN0KyLc7J26L8=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"6f1bb579-48e7-4113-bf5f-093e1dfbd1d6","GUAN_007.basePlot.bet","D04","GUAN","GUAN_007","E","2015-10-19","2015-11-02","2015-11-03","2015-11-20",,"GUAN_007.E.20151102","Wlii2b3QXU2mJz4Ptqp32eupk55v5m9gL9v0NftaYP0=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"807d8dc2-5d7e-4814-8183-0e634665df8b","GUAN_006.basePlot.bet","D04","GUAN","GUAN_006","N","2015-10-19","2015-11-02","2015-11-03","2015-11-11",,"GUAN_006.N.20151102","3wsBeh1x6ML8yVF9Mdzb6+hYjrT5pewOHgnDc2UsliA=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"7fee6832-9aa8-476b-b5e1-cc24c8b5f641","GUAN_006.basePlot.bet","D04","GUAN","GUAN_006","E","2015-10-19","2015-11-02","2015-11-03","2015-11-11",,"GUAN_006.E.20151102","3wsBeh1x6MIfwOyAPOJqEGsrKqeNwvoq6/DtTPGkNso=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"94b04072-1dde-47bc-aef1-d616975abd79","GUAN_006.basePlot.bet","D04","GUAN","GUAN_006","E","2015-10-19","2015-11-02","2015-11-03","2015-11-03","2015-11-25","GUAN_006.E.20151102","3wsBeh1x6MIfwOyAPOJqEFehqZstcViwKtCHHqTVO3k=","vert bycatch herp","AMEISP","Ameiva sp.","genus",,,,1,"Rivero, J. A. 1998. Los anfibios y reptiles de Puerto Rico (The amphibians and reptiles of Puerto Rico, rev. 2nd ed). San Juan, Puerto Rico: Editorial de la Universidad de Puerto Rico","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","Ameiva exsul"
"7dc7a790-ae3b-4670-a365-5d727cac7f11","GUAN_009.basePlot.bet","D04","GUAN","GUAN_009","E","2015-10-19","2015-11-02","2015-11-03","2015-11-23",,"GUAN_009.E.20151102","O5yLztT+BAAjTGO4KExBZ7Fr14MN8sG6azYCFGNG/Xw=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"c20dda48-f1f4-4c39-b33a-95ee40f07d7c","GUAN_008.basePlot.bet","D04","GUAN","GUAN_008","E","2015-10-19","2015-11-02","2015-11-03","2015-11-20",,"GUAN_008.E.20151102","dWyeRi3byQY+OkfLLTYQSv3ZeoC34AZVn4sBkOmnPMg=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"cfefdd46-4eba-45e8-87e1-d3bf677b944b","GUAN_008.basePlot.bet","D04","GUAN","GUAN_008","N","2015-10-19","2015-11-02","2015-11-03","2015-11-20",,"GUAN_008.N.20151102","dWyeRi3byQab5yOUgC4Fadg1dXXh1266HlggP/wb/Bg=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"9931f10b-4bdd-4ae2-b27e-930735e82f07","GUAN_004.basePlot.bet","D04","GUAN","GUAN_004","N","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_004.N.20151102","xuyNSCGTGMCA5SvUAn/WQdQ3JIpcg9Xq7X0hVcK7Sxo=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"0d0fcc95-da81-44ab-a4be-36551b6f1921","GUAN_004.basePlot.bet","D04","GUAN","GUAN_004","E","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_004.E.20151102","xuyNSCGTGMAfdonm0Fi39uDy3DI+GGPH4NfLYoAPH84=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"166e4f56-baf0-4d82-91c1-e01ff58130cd","GUAN_001.basePlot.bet","D04","GUAN","GUAN_001","E","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_001.E.20151102","KK1vPIcfClMjxSegSQTKFintgPE22yTFsqOI12NxQDI=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"8833a75f-7a8e-4991-960e-6180e90e2be4","GUAN_001.basePlot.bet","D04","GUAN","GUAN_001","N","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_001.N.20151102","KK1vPIcfClN/d+BxqYrqFDHZJWutftUPVSpsWqUA1eo=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"08eb98a4-3e3b-4203-91ca-e0ee7a7e542f","GUAN_002.basePlot.bet","D04","GUAN","GUAN_002","N","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_002.N.20151102","QT65deYvOZC9p+3lkUB0giP8vDdOGksBCWqJmWLwNDk=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"f7798555-0b8d-4f11-bd55-dbc47fede70a","GUAN_002.basePlot.bet","D04","GUAN","GUAN_002","E","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_002.E.20151102","QT65deYvOZCylla/kINoKolIb1P0LS912Bnwrt6oLtw=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"6e9b88c9-13ca-4770-9aed-7bf132848719","GUAN_009.basePlot.bet","D04","GUAN","GUAN_009","N","2015-10-19","2015-11-02","2015-11-03","2015-11-23",,"GUAN_009.N.20151102","O5yLztT+BACqfWKcngPJWrmqkUIIlLnxcJgc3APRPZA=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"d031c6eb-292b-4f0f-83cc-0254fd178d68","GUAN_001.basePlot.bet","D04","GUAN","GUAN_001","W","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_001.W.20151102","KK1vPIcfClPqo6+jPnGIv6LHmUDADap1zWJ04R1Tlm0=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"3aac0ab0-1456-440e-9276-3d7e632eeeb8","GUAN_001.basePlot.bet","D04","GUAN","GUAN_001","S","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_001.S.20151102","KK1vPIcfClMgVJNisbO65peSNtRMjLfWLLK1TuKQwGc=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"37fdf926-e4fd-4858-b930-fad934d414c4","GUAN_002.basePlot.bet","D04","GUAN","GUAN_002","W","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_002.W.20151102","QT65deYvOZAhewvNOdnkZTm7cvPscbYbWv6se9vrDxk=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"f2121c53-b9ea-4111-8475-c4f669f3e707","GUAN_002.basePlot.bet","D04","GUAN","GUAN_002","S","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_002.S.20151102","QT65deYvOZDbs1xwoRL9dGjeV1NfAxBdfrw0zm8lnSY=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"06ca55ef-d84c-401e-930a-163226d8aa2f","GUAN_009.basePlot.bet","D04","GUAN","GUAN_009","W","2015-10-19","2015-11-02","2015-11-03","2015-11-23",,"GUAN_009.W.20151102","O5yLztT+BACToCZZZR0hXOPWSni0yKowdPrWpArYOII=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"5f0f9cc3-dc1d-431f-abc5-7bda1fa40e6b","GUAN_008.basePlot.bet","D04","GUAN","GUAN_008","S","2015-10-19","2015-11-02","2015-11-03","2015-11-20",,"GUAN_008.S.20151102","dWyeRi3byQbnzjsNj2quJmwwY6S1N89fIH8oAejBMoc=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"4444b7cb-4680-41dc-b292-90c6666efdc7","GUAN_008.basePlot.bet","D04","GUAN","GUAN_008","W","2015-10-19","2015-11-02","2015-11-03","2015-11-20",,"GUAN_008.W.20151102","dWyeRi3byQYCOExopPOzKzBP9KBGLSRx5KiL5f8h8KQ=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"f7936e6d-7ea2-4c8d-8e4b-49ce940529da","GUAN_004.basePlot.bet","D04","GUAN","GUAN_004","S","2015-10-19","2015-11-02","2015-11-03","2015-11-10","2015-11-25","GUAN_004.S.20151102","xuyNSCGTGMCETal7VHNSUhpDNnH7L23W823oB8LY3kw=","vert bycatch herp","SPHASP1","Sphaerodactylus sp.","genus","cf. genus",,,1,"Rivero, J. A. 1998. Los anfibios y reptiles de Puerto Rico (The amphibians and reptiles of Puerto Rico, rev. 2nd ed). San Juan, Puerto Rico: Editorial de la Universidad de Puerto Rico","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"c7431355-6fbf-4bb0-859f-29e6a0c5c9db","GUAN_004.basePlot.bet","D04","GUAN","GUAN_004","W","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_004.W.20151102","xuyNSCGTGMCG7iXSd8+jPlr5DxzHjJCSnJJc8RrR0D4=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"6ff3f64f-b5f8-480c-8170-b44acf72bd8c","GUAN_004.basePlot.bet","D04","GUAN","GUAN_004","S","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_004.S.20151102","xuyNSCGTGMCETal7VHNSUl58wdmUModwJr6127ky1PU=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"153344ad-c28c-4387-a456-01ded40c372d","GUAN_007.basePlot.bet","D04","GUAN","GUAN_007","W","2015-10-19","2015-11-02","2015-11-03","2015-11-20",,"GUAN_007.W.20151102","Wlii2b3QXU2LDbeqX156htozXkrckOHUtdd6/yXsMzY=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"77c30e07-0940-4d56-8ec0-fd424f5e07d2","GUAN_007.basePlot.bet","D04","GUAN","GUAN_007","S","2015-10-19","2015-11-02","2015-11-03","2015-11-20",,"GUAN_007.S.20151102","Wlii2b3QXU30Lp/4H7nksqMpZcit5vDmTwY78YdLMxM=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"e53054dd-6a2e-4a3c-bd9c-031818bae1e0","GUAN_006.basePlot.bet","D04","GUAN","GUAN_006","S","2015-10-19","2015-11-02","2015-11-03","2015-11-11",,"GUAN_006.S.20151102","3wsBeh1x6MKAbWXBV/44g+6OBfwF4S6NGjhBL4n/YIc=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"b5dae60b-167a-4abc-b727-6446318d8ab9","GUAN_006.basePlot.bet","D04","GUAN","GUAN_006","W","2015-10-19","2015-11-02","2015-11-03","2015-11-11",,"GUAN_006.W.20151102","3wsBeh1x6MJ7A6HNYQElCZ/ZdWQ2660fqoS2uMMfLHU=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"9638f615-5fef-47ac-aa8d-645b69c69a82","GUAN_005.basePlot.bet","D04","GUAN","GUAN_005","S","2015-10-19","2015-11-02","2015-11-03","2015-11-11",,"GUAN_005.S.20151102","KK4tnV2BrsEYOC8XKVysYGJ1O0sxfhPz8eg9l9Tw1xA=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"9b5b603c-66a6-4652-a180-24b1433ba32b","GUAN_005.basePlot.bet","D04","GUAN","GUAN_005","W","2015-10-19","2015-11-02","2015-11-03","2015-11-11",,"GUAN_005.W.20151102","KK4tnV2BrsFAz44oNYLK7WRS2WK9YG+Ulcp2aBpzjsY=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"3d80acf4-5752-4621-8a3d-bb09474e8c20","GUAN_010.basePlot.bet","D04","GUAN","GUAN_010","S","2015-10-19","2015-11-02","2015-11-03","2015-11-20",,"GUAN_010.S.20151102","Kn9PCqPVugbzxtVWMg5bxamC8gRWWlLv7ZCVrhXDmY8=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"3f12be88-aa94-495b-824c-74e3f2850700","GUAN_003.basePlot.bet","D04","GUAN","GUAN_003","S","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_003.S.20151102","ofKA/tf32tKdd4yyih598Mbzzf6g+Atdfzyu0/ROjfE=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
"15d70ce3-c194-4da5-ae89-598b7360d073","GUAN_003.basePlot.bet","D04","GUAN","GUAN_003","W","2015-10-19","2015-11-02","2015-11-03","2015-11-10",,"GUAN_003.W.20151102","ofKA/tf32tJdBqgZmd8ftkFSNZ0H8yRO5NchJhDg8vg=","invert bycatch",,,,,,,,,,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz",
