uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"027ca69a-c598-4f55-9e3b-7ba21e5b2502","GUAN_006.basePlot.bet","D04","GUAN","GUAN_006","E","distributed","evergreenForest",17.963818,-66.875668,"WGS84",20.2,101.3,0.3,"2016-05-30","2016-06-13","GUAN.2016.24",14,"Y","GUAN_006.E.20160613","Ok","Ok","Ok","NEON.DOC.014050vH","zPBe+8pzAK0B2URIObnv4uYPPEuv017obsOPc+5Qw/c=",
"8258a5e8-980e-4ac7-83bc-469f496ac087","GUAN_005.basePlot.bet","D04","GUAN","GUAN_005","W","distributed","evergreenForest",17.968744,-66.880447,"WGS84",20.2,164.3,0.2,"2016-05-30","2016-06-13","GUAN.2016.24",14,"Y","GUAN_005.W.20160613","Ok","Ok","High","NEON.DOC.014050vH","zPBe+8pzAK0B2URIObnv4uYPPEuv017obsOPc+5Qw/c=",
"09c790e5-7587-46ae-900c-02361234a1ca","GUAN_005.basePlot.bet","D04","GUAN","GUAN_005","E","distributed","evergreenForest",17.968744,-66.880447,"WGS84",20.2,164.3,0.2,"2016-05-30","2016-06-13","GUAN.2016.24",14,"Y","GUAN_005.E.20160613","Ok","Ok","High","NEON.DOC.014050vH","zPBe+8pzAK0B2URIObnv4uYPPEuv017obsOPc+5Qw/c=",
"76c86807-8b07-497b-aabd-3ea5a951a983","GUAN_010.basePlot.bet","D04","GUAN","GUAN_010","E","distributed","evergreenForest",17.972441,-66.871318,"WGS84",20.1,177.6,0.1,"2016-05-30","2016-06-13","GUAN.2016.24",14,"Y","GUAN_010.E.20160613","Ok","Ok","Ok","NEON.DOC.014050vH","zPBe+8pzAK0B2URIObnv4uYPPEuv017obsOPc+5Qw/c=",
"1ce43eba-e2ef-4360-b4fe-42bb6eebc81b","GUAN_003.basePlot.bet","D04","GUAN","GUAN_003","E","distributed","evergreenForest",17.973133,-66.861701,"WGS84",20.3,182.9,0.3,"2016-05-30","2016-06-13","GUAN.2016.24",14,"Y","GUAN_003.E.20160613","Ok","Ok","Ok","NEON.DOC.014050vH","JbCt3ZVS0Z+JTvkxNP0bfo8iI2dYxsDX",
"f3ddc92d-4200-4470-b75c-b060b696eb96","GUAN_002.basePlot.bet","D04","GUAN","GUAN_002","E","distributed","evergreenForest",17.970294,-66.824633,"WGS84",20.1,89.1,0.1,"2016-05-30","2016-06-13","GUAN.2016.24",14,"Y","GUAN_002.E.20160613","Ok","Ok","Ok","NEON.DOC.014050vH","dkUVz+Ep9mjwe8AKJjPrCYTGVeHZyOun",
"56b9cbf9-1a3f-4ec5-b368-8f990b4d6e7e","GUAN_001.basePlot.bet","D04","GUAN","GUAN_001","E","distributed","evergreenForest",17.972770,-66.851235,"WGS84",20.2,152.1,0.2,"2016-05-30","2016-06-13","GUAN.2016.24",14,"Y","GUAN_001.E.20160613","Ok","Ok","Ok","NEON.DOC.014050vH","JbCt3ZVS0Z+JTvkxNP0bfo8iI2dYxsDX",
"8e1c7668-e563-40f1-9c73-41766efe88f7","GUAN_009.basePlot.bet","D04","GUAN","GUAN_009","E","distributed","evergreenForest",17.979430,-66.867833,"WGS84",20.1,116.5,0.1,"2016-05-30","2016-06-13","GUAN.2016.24",14,"Y","GUAN_009.E.20160613","Ok","Ok","Ok","NEON.DOC.014050vH","JbCt3ZVS0Z+JTvkxNP0bfo8iI2dYxsDX",
"697364ff-fa62-466c-9ff5-b14827558919","GUAN_008.basePlot.bet","D04","GUAN","GUAN_008","E","distributed","evergreenForest",17.965762,-66.832036,"WGS84",20.1,65.8,0.1,"2016-05-30","2016-06-13","GUAN.2016.24",14,"Y","GUAN_008.E.20160613","Disturbed","Ok","Ok","NEON.DOC.014050vH","dkUVz+Ep9mjwe8AKJjPrCYTGVeHZyOun",
"72f39067-ce6c-49b4-beec-27e1a4f8945d","GUAN_004.basePlot.bet","D04","GUAN","GUAN_004","E","distributed","evergreenForest",17.969254,-66.852670,"WGS84",20.1,133.5,0.1,"2016-05-30","2016-06-13","GUAN.2016.24",14,"Y","GUAN_004.E.20160613","Ok","Ok","Ok","NEON.DOC.014050vH","dkUVz+Ep9mjwe8AKJjPrCYTGVeHZyOun",
