uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"94a5687e-a59f-485b-b933-ec7acdf365ad","LAJA_015.basePlot.bet","D04","LAJA","LAJA_015","E","distributed","evergreenForest",18.034461,-67.066824,"WGS84",20.2,27.0,0.2,"2016-05-31","2016-06-14","LAJA.2016.24",14,"Y","LAJA_015.E.20160614","Ok","Ok","Ok","NEON.DOC.014050vH","7T8H9H1BnKx8WqJGc+Gum32pZ1OcUBye",
"90ba670b-64cf-48da-98a9-0c0caa525ce4","LAJA_005.basePlot.bet","D04","LAJA","LAJA_005","W","distributed","pastureHay",18.025704,-67.084747,"WGS84",20.0,20.8,0.0,"2016-05-31","2016-06-14","LAJA.2016.24",14,"Y","LAJA_005.W.20160614","Ok","Ok","Ok","NEON.DOC.014050vH","2G6jL1xU09kc++3fEPpQLkA2cHzpx8zXwl+Jr/s/QvQ=",
"dc119805-1067-48ab-a6e4-c3a51512ba4a","LAJA_001.basePlot.bet","D04","LAJA","LAJA_001","E","distributed","grasslandHerbaceous",18.024529,-67.076837,"WGS84",20.1,20.1,0.1,"2016-05-31","2016-06-14","LAJA.2016.24",14,"Y","LAJA_001.E.20160614","Ok","Ok","Low","NEON.DOC.014050vH","7T8H9H1BnKx8WqJGc+Gum32pZ1OcUBye",
"60ea75e0-7997-45c5-b441-39885c96a2a8","LAJA_004.basePlot.bet","D04","LAJA","LAJA_004","E","distributed","pastureHay",18.017803,-67.080880,"WGS84",20.0,14.8,0.0,"2016-05-31","2016-06-14","LAJA.2016.24",14,"Y","LAJA_004.E.20160614","Ok","Ok","Ok","NEON.DOC.014050vH","2G6jL1xU09kc++3fEPpQLkA2cHzpx8zXwl+Jr/s/QvQ=",
"2ab59cb1-8d1c-4fe8-b35f-d986844f0316","LAJA_005.basePlot.bet","D04","LAJA","LAJA_005","E","distributed","pastureHay",18.025704,-67.084747,"WGS84",20.0,20.8,0.0,"2016-05-31","2016-06-14","LAJA.2016.24",14,"Y","LAJA_005.E.20160614","Ok","Ok","Ok","NEON.DOC.014050vH","2G6jL1xU09kc++3fEPpQLkA2cHzpx8zXwl+Jr/s/QvQ=",
"1c9329c6-fb3f-493d-8232-1826dcf8f01e","LAJA_006.basePlot.bet","D04","LAJA","LAJA_006","E","distributed","pastureHay",18.020279,-67.084819,"WGS84",20.0,15.8,0.0,"2016-05-31","2016-06-14","LAJA.2016.24",14,"Y","LAJA_006.E.20160614","Ok","Ok","Ok","NEON.DOC.014050vH","2G6jL1xU09kc++3fEPpQLkA2cHzpx8zXwl+Jr/s/QvQ=",
"88d8bd16-827b-45ee-b63d-1f580fdf6a6d","LAJA_017.basePlot.bet","D04","LAJA","LAJA_017","E","distributed","cultivatedCrops",18.017713,-67.074931,"WGS84",20.1,14.8,0.1,"2016-05-31","2016-06-14","LAJA.2016.24",14,"Y","LAJA_017.E.20160614","Ok","Ok","Low","NEON.DOC.014050vH","7T8H9H1BnKx8WqJGc+Gum32pZ1OcUBye",
"ac93db0f-d207-46b0-997e-a31b9861f5e5","LAJA_009.basePlot.bet","D04","LAJA","LAJA_009","E","distributed","grasslandHerbaceous",18.032303,-67.069111,"WGS84",20.1,25.1,0.1,"2016-05-31","2016-06-14","LAJA.2016.24",14,"Y","LAJA_009.E.20160614","Ok","Ok","Ok","NEON.DOC.014050vH","7T8H9H1BnKx8WqJGc+Gum32pZ1OcUBye",
"8c38836f-3720-4b83-af15-290112a94bff","LAJA_003.basePlot.bet","D04","LAJA","LAJA_003","E","distributed","pastureHay",18.025922,-67.081365,"WGS84",20.0,21.1,0.0,"2016-05-31","2016-06-14","LAJA.2016.24",14,"Y","LAJA_003.E.20160614","Ok","Ok","Ok","NEON.DOC.014050vH","2G6jL1xU09kc++3fEPpQLkA2cHzpx8zXwl+Jr/s/QvQ=",
"725aa3cc-4d3e-4f1e-854a-78ee9bc56a60","LAJA_003.basePlot.bet","D04","LAJA","LAJA_003","N","distributed","pastureHay",18.025922,-67.081365,"WGS84",20.0,21.1,0.0,"2016-05-31","2016-06-14","LAJA.2016.24",14,"Y","LAJA_003.N.20160614","Ok","Ok","Ok","NEON.DOC.014050vH","2G6jL1xU09kc++3fEPpQLkA2cHzpx8zXwl+Jr/s/QvQ=",
