uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"26185f46-8bd0-4736-bfec-005ca87420cf","STEI_001.basePlot.bet","D05","STEI","STEI_001","E","2015-08-26","2015-09-09","2015-12-28","2015-12-28","7JlQSbZIlXilWjgAqnwWznIFq9KN/ecPS3Gxs1/ew8g=","NEON.BET.D05.000997","PTEMEL","Pterostichus melanarius melanarius","subspecies",,"Illiger",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"4d63f7ae-7298-4cb1-af0b-4880a9300b0f","STEI_002.basePlot.bet","D05","STEI","STEI_002","W","2015-08-26","2015-09-09","2015-12-28","2015-12-28","aZO6SdKsrBwtdgTlLOdz5sM2kUnntwvDv9pUGn9BuIs=","NEON.BET.D05.001099","PTENOV","Pterostichus novus","species","cf. species","Straneo",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"e57a67eb-4cc4-4d2b-a22e-c56fb6f21517","STEI_022.basePlot.bet","D05","STEI","STEI_022","E","2015-08-26","2015-09-09","2016-01-08","2016-01-08","HE/LDGsDHdr5PzztQj5XdDNsKPMwIDddhOoIsuEvHUY=","NEON.BET.D05.001124","AGOGRA","Agonum gratiosum","species","cf. species","Mannerheim",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Head and pronotum broke off, glued back on"
"95118923-d900-46d5-b436-c551ce775dbe","STEI_022.basePlot.bet","D05","STEI","STEI_022","E","2015-08-26","2015-09-09","2016-01-08","2016-01-08","HE/LDGsDHdr5PzztQj5XdDNsKPMwIDddhOoIsuEvHUY=","NEON.BET.D05.001123","AGOGRA","Agonum gratiosum","species",,"Mannerheim",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"0ca5a0d3-2c73-46b1-8f8d-56afa22160f7","STEI_006.basePlot.bet","D05","STEI","STEI_006","E","2015-08-26","2015-09-09","2016-01-08","2016-01-08","FSczGbn18rSQaynL1Ipu96zjbJFmfTX68s1QvKtD3L0=","NEON.BET.D05.001003","PTEMEL","Pterostichus melanarius melanarius","subspecies",,"Illiger",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"d9e084d4-999d-46ed-bed6-2e353a621127","STEI_004.basePlot.bet","D05","STEI","STEI_004","N","2015-08-26","2015-09-09","2016-01-07","2016-01-07","kIMktcbzaDfuG2WJ9KGF5iwvaQYy8kdgLzAEYAswCqQ=","NEON.BET.D05.000999","PTEMEL","Pterostichus melanarius melanarius","subspecies",,"Illiger",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"57d4ce50-7919-4d93-8f1e-898d9301afaf","STEI_008.basePlot.bet","D05","STEI","STEI_008","N","2015-08-26","2015-09-09","2016-01-08","2016-01-08","RJLsXNaoVcvDSyLERhERUZWX04ZAPFLpPdd0d0B14Z0=","NEON.BET.D05.001146","PTECOR1","Pterostichus coracinus","species","cf. species","Newman",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"a15ea3f6-c148-48c5-966e-78d61db1efd5","STEI_002.basePlot.bet","D05","STEI","STEI_002","N","2015-08-26","2015-09-09","2015-12-28","2015-12-28","aZO6SdKsrBwpriIgpWySn0gWK18X0IRbOzha7slT51g=","NEON.BET.D05.001098","PTENOV","Pterostichus novus","species","cf. species","Straneo",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"947f5d7a-3906-4083-8e1a-ee70b06e2b80","STEI_009.basePlot.bet","D05","STEI","STEI_009","S","2015-08-26","2015-09-09","2016-01-08","2016-01-08","IGPPmzEoPodyxxm204wFgR7nnVmJaM9bddslmDCLxTg=","NEON.BET.D05.001104","PTENOV","Pterostichus novus","species","cf. species","Straneo",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"46189243-31d0-4157-b9ff-a821ee258f10","STEI_007.basePlot.bet","D05","STEI","STEI_007","S","2015-08-26","2015-09-09","2016-01-08","2016-01-08","uTVelW27vZQ7JWI5SUEaWcR5yYT8mkthUqr7uLd2pq0=","NEON.BET.D05.001131","SPHSTE1","Sphaeroderus stenostomus lecontei","subspecies",,"Dejean",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
