uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"f870e592-b3e8-4ab0-bded-526456de8020","STEI_008.basePlot.bet","D05","STEI","STEI_008","2016-04-27","2016-05-11","2016-06-15","RJLsXNaoVcvXZPjWmQh+Xg1fNeEMcyXYUHsK9RK9S5VzeAFGQxfIeCeviGksjXRFnh/DhsVZj5vZyLc7k3PIagpCm6k37aX+vc1mVi9uZEFRs1O3lQN0X4RRFamyQw2VMMeq5owC/Co=","RJLsXNaoVcu9SWwolwk6020Mqu5ezrFS",,,
"7406976d-c5df-4834-a5db-9f7160718c19","STEI_004.basePlot.bet","D05","STEI","STEI_004","2016-04-27","2016-05-11","2016-06-15","kIMktcbzaDc3IGgVHfc16Tff+nAzBnrn26bi/gfbhREci6MmcXDLnFoVRSxUhMWF1b4Z7rfjtEmD37ktW5SWJIZOEMKyJvbcA2Ey1I2HTTJ5d1GAin789IYAAV+EdFAgY5FfVF2x6kU=","kIMktcbzaDe5QNdcrHLFOufG/pukVEaH",,,
"559359a0-0981-48c7-b411-b24689505154","STEI_003.basePlot.bet","D05","STEI","STEI_003","2016-04-27","2016-05-11","2016-06-15","DWUoTzNcbNlSZ/QF+O+JskGQnocBHhI6PWAXt7G9+24Eu8IQcOOAEsbIPx4CZrdkEH98nega3K/BHXmULz04sKr7EteuSPKmeeJno57f4KtiP2/3HSGnDYP/qyq3xx6bWPuJMdv58vA=","DWUoTzNcbNmUP2eOXizQRepgEuZaOI3w",,,
"23f57c44-b0e1-435f-ab6a-547e22b9210b","STEI_001.basePlot.bet","D05","STEI","STEI_001","2016-04-27","2016-05-11","2016-06-15","7JlQSbZIlXh1BVK8EiU7DZahIUdU4aEYTIt63HybuHr9s2nZNJxTNutgMOwzguzXQf/uNvwYx10EPi6Q3D7Jj6vU6qF1Tz4ZPa7SdVO+Si/eDhgpRQn1MMughLCZgM65wAnTUWUf6to=","7JlQSbZIlXhDPTKVMRP9eDbEsqULG8/P",,,
"ada66799-1339-4d7b-9331-d6c8fb8b7137","STEI_005.basePlot.bet","D05","STEI","STEI_005","2016-04-27","2016-05-11","2016-06-15","qriLSsXGHEz9xtCJXQs1g3g2zD/olo+rplN1jjFL0jeiYrg4QLtulEKzxzaOrI4i335Nfp3FWFx0rSWjOJ/pGvDO6kGOBFLHY04KmscwDznPAchnVKsa2oP0jXdoWNFwG+KBBpS8gdc=","qriLSsXGHEzYEw9iK9Zu5qkxTSa21/wi",,,
"5479865e-f23d-4cd4-ba31-c6229ba94a9a","STEI_002.basePlot.bet","D05","STEI","STEI_002","2016-04-27","2016-05-11","2016-06-15","aZO6SdKsrBzL8uwoU6wq3iVNCpCVMis5p5JP+rz3QqCUCAyoH3ao3HXZhLiSdu+N+suanq3hygb/oosFrOohBlLd3p3CV7CeSB8HzvfzvLw5dhjEpL95k0DFLwATXOCVL9LZYR2mVOc=","aZO6SdKsrBztk0aGZX5o4BsuAnU2OX+9",,,
"6e231f39-9441-44f9-abba-57cd3f12fc29","STEI_006.basePlot.bet","D05","STEI","STEI_006","2016-04-27","2016-05-11","2016-06-15","FSczGbn18rRAkaT8EQXi6HFaKmU415E8Iuy67Znc8aY8NzHT2ZAU4wWjL5LDVWY1ZQT76Azic9ivEhHKUzLjMz3SEAeWqJni50Nw3OEu12xrkaVLOUvP8L0OCVxhS6/ip+wk5Al+uPY=","FSczGbn18rRtS6hmcJkYuoVc13Y6rtVO",,,
"817aef24-0377-43b3-8f7d-5600b05d9b54","STEI_022.basePlot.bet","D05","STEI","STEI_022","2016-04-27","2016-05-11","2016-06-21","HE/LDGsDHdpGDKGB3p3KLIzVLEtIbV5PckTV7RcuuTIvYA3lfSyu0UABT8fFDvvZj1HKdulbDdNRwJndXY0v69iR8j7OK/Xc2f+gFIJMCGyAPt02O03/HYGwiJCfP3KQ0UqAtNiCJR4=","HE/LDGsDHdqp1JUDbiOfXTxxYTAf27Ko",,,
"ce56afa1-566b-48ca-b249-5fb18e304558","STEI_009.basePlot.bet","D05","STEI","STEI_009","2016-04-27","2016-05-11","2016-06-21","IGPPmzEoPod7z9dNRjRz4EnN8hIgIpq5VOCQqi1xCkSBbtuV1mzemflvvhFoQPP4kVnQVkJ1X5kQYIIVTwWaS/GXH2hkqvysjBEHgrB/ctVURFaaFfnPmoFg69UOfcYusph7oNPftcM=","IGPPmzEoPoeXrnOTgMnOZi1owd98eYcF",,,
"9bf82eef-070e-48c0-8a4e-458833813ae3","STEI_007.basePlot.bet","D05","STEI","STEI_007","2016-04-27","2016-05-11","2016-06-21","uTVelW27vZQBtKBC6fiX8Fk/hWKoW/hguNBoZ7+xPf2TdHkJHK+1ieYscGQpsFeTIZ5oazgglzDozOLosXG7ZqCJ6x0Pehs2FmOIEyRz8jw=","uTVelW27vZQK62mGlhC5TTYRSRY/5Lg/",,,
"3e681c77-4687-4250-ad27-a627717d2b4a","STEI_006.basePlot.bet","D05","STEI","STEI_006","2016-05-11","2016-05-25","2016-08-16","FSczGbn18rQqSGNc1WPNbXCpXiZfDpE62G7Om5HCFHj0SwbVtoN9xqGEX3Z8zJW7nV+8kzY004J8SCmh/71OGaLII6xcLAt4j8j5dqBShJaX9PCwFX+Gp4HEJ5JuywZz80BKC2Ln8bg=","FSczGbn18rQ+/jfVmC8AT1ZM8ZRVPI5b",,,
"58878b0e-b0dd-4662-af11-775ed30ae957","STEI_005.basePlot.bet","D05","STEI","STEI_005","2016-05-11","2016-05-25","2016-07-18","qriLSsXGHEw5q2vR9+MXL8L49msBmH5dUEBRg+2kp+YSzh02XSdq8N5N8IOYb3cFb/UelYOy7KP0Vc/SuJw/WMJOzzSAOPohW2yX5Ho3muA6hsQt7VvmWfrYU/l4X+tMF2SbKMYegPs=","qriLSsXGHExPZGLRZIkhAwyKb1zcEabt",,,
"5b443640-40f1-42df-937f-70eebb2c6fca","STEI_004.basePlot.bet","D05","STEI","STEI_004","2016-05-11","2016-05-25","2016-07-11","kIMktcbzaDc3IGgVHfc16fzt7c1HnFnZ6z22lPly/w98h5djGKCIhk/MlDgqIwanQNX1tkJtOI5tKLn2B5nOZKpuuQuBXh3L9rwejqUg+E23Nqr45R/jTdmuYJ0ZYBk+HteEydHY96c=","kIMktcbzaDdvGvxiXF+/whLF5xWcap3N",,,
