uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"0a0ecc76-c41a-448b-a7f6-e7e840592560","TREE_015.basePlot.bet","D05","TREE","TREE_015","E","2015-06-15","2015-06-29","2015-11-30","2015-11-10","nEBhHqVTR17AyIYLTalAyuyxfRzN0mMN9uf1gnowmLU=","NEON.BET.D05.000706","PTECOR1","Pterostichus coracinus","species",,"Newman",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"630b627f-5122-4434-89ed-16199df39440","TREE_006.basePlot.bet","D05","TREE","TREE_006","E","2015-06-15","2015-06-29","2015-11-16","2015-11-16","4fQ7nDpzzlFNjmkVo428kI6aYI/Ekgb39vJ0YIvtpyQ=","NEON.BET.D05.000830","CARNEM","Carabus nemoralis nemoralis","subspecies",,"Mueller",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"e0638f19-f18e-4442-a75a-6cb14d98a2dc","TREE_006.basePlot.bet","D05","TREE","TREE_006","E","2015-06-15","2015-06-29","2015-11-16","2015-11-16","4fQ7nDpzzlFNjmkVo428kI6aYI/Ekgb39vJ0YIvtpyQ=","NEON.BET.D05.000831","CARNEM","Carabus nemoralis nemoralis","subspecies",,"Mueller",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"4b57500c-9ac1-449b-87d0-08ce0869046c","TREE_006.basePlot.bet","D05","TREE","TREE_006","E","2015-06-15","2015-06-29","2015-11-16","2015-11-16","4fQ7nDpzzlFNjmkVo428kI6aYI/Ekgb39vJ0YIvtpyQ=","NEON.BET.D05.000832","CARNEM","Carabus nemoralis nemoralis","subspecies",,"Mueller",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"64872639-e01d-4ee8-9bd8-b55c723aa979","TREE_014.basePlot.bet","D05","TREE","TREE_014","E","2015-06-15","2015-06-29","2015-11-16","2015-11-16","g2mJ5zU0mwqA987poPvtSo/B7dhsZADVDpL6OCw9/+M=","NEON.BET.D05.000784","SYNIMP","Synuchus impunctatus","species",,"Say",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"60abd993-c5f7-4552-ace9-1dc28670d0d0","TREE_006.basePlot.bet","D05","TREE","TREE_006","E","2015-06-15","2015-06-29","2015-11-16","2015-11-16","4fQ7nDpzzlFNjmkVo428kI6aYI/Ekgb39vJ0YIvtpyQ=","NEON.BET.D05.000829","CARNEM","Carabus nemoralis nemoralis","subspecies",,"Mueller",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"61b41b6d-8c1b-4230-aaf0-7d5457c15160","TREE_003.basePlot.bet","D05","TREE","TREE_003","E","2015-06-15","2015-06-29","2015-12-01","2015-11-12","xhFTIPW83ilvRRxKxOdS9ljWS3ATUCFPzlsy3ob8AsY=","NEON.BET.D05.000719","PTEPEN","Pterostichus pensylvanicus","species","cf. species","LeConte",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","2ufDk5xAqBGFLsH2sEBSW9xLH6dI6FCM","Could be pteads."
"785243c4-0415-4c6f-906c-db14e568babe","TREE_001.basePlot.bet","D05","TREE","TREE_001","N","2015-06-15","2015-06-29","2015-11-30","2015-11-12","M+28j8GMA5lYfdvda0l/kgZ8xipp/QnCjAnvQIIWVTo=","NEON.BET.D05.000716","PTEPEN","Pterostichus pensylvanicus","species","cf. species","LeConte",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","could be PTEADS"
"72835366-001d-41f5-9cd9-8685d1db43a3","TREE_001.basePlot.bet","D05","TREE","TREE_001","N","2015-06-15","2015-06-29","2015-11-30","2015-11-12","M+28j8GMA5lYfdvda0l/kgZ8xipp/QnCjAnvQIIWVTo=","NEON.BET.D05.000717","PTEPEN","Pterostichus pensylvanicus","species","cf. species","LeConte",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","could be PTEADS"
"ca7c034e-7d71-469a-8422-3cccd0f0a7b5","TREE_002.basePlot.bet","D05","TREE","TREE_002","N","2015-06-15","2015-06-29","2015-11-12","2015-11-12","bplZQSmPUSpvPIURKkgFpvpKyogzA7S6DIwGoPY0n2g=","NEON.BET.D05.000779","SYNIMP","Synuchus impunctatus","species",,"Say",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
