uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"4279e9d6-9173-4174-bdbf-e003e5cc4dba","TREE_001.basePlot.bet","D05","TREE","TREE_001","2015-07-27","2015-08-10","2015-09-24","M+28j8GMA5kPXDLNTye0hpmo219jFjymfbIgNU+BOBV4KTUp6vydnVTZLChtHcjWvy1jIUUpJhrHttAhq4UB6KMBZeYfXNvHZQjbC+qKpiHda86SzC5g5dQzidTndM4UJtMTsB3SRCo=","M+28j8GMA5mqgx1h/66pD2Dx9ctruTOx",,,
"891a0bed-1c19-4d9f-b312-de24d687fb24","TREE_004.basePlot.bet","D05","TREE","TREE_004","2015-07-27","2015-08-10","2015-09-26","O9CsZllnq8/RTB7G9iCd0qa6ZoBiTD4ZP9TA+1s42if0aVLCxGvuwkUdeiGS2gspI3hhz8Zv34OVZMx0ufeZs4fZLZyYmfvTuSF6uMiFVMhz40eCK3FSYakdpdbKFrgXT/yy+qqeyO0=","O9CsZllnq88XwB8SqzyCBQCreb1aLzdF",,,
"a2f5caaf-9a18-4e04-933f-3ec3cd45508c","TREE_002.basePlot.bet","D05","TREE","TREE_002","2015-07-27","2015-08-10","2015-09-18","bplZQSmPUSpD3CQVhZZHMMMUqOt8renBcXMKG2JrxmpBjPH2oekSnkHNwCu/16cbzBAIY3bIFvKn9Dn0EUYcAB+l7dRkyGrdWcInQ/MUNks=","bplZQSmPUSqDb0IRYNyjWXb1rV7Kat6b",,,
"f1128796-4ffd-4756-9392-15eb8dd23687","TREE_014.basePlot.bet","D05","TREE","TREE_014","2015-07-27","2015-08-10","2015-09-18","g2mJ5zU0mwrYqf6qQocD2y2f3bIMRxlx5JYRcnIWBS07L4kWR+1pWXTTXHv/TOr2SAjgvGWeHMdV50RiF2pAYuu0NCtDQy3OGBA/1DI3CR0gTk2G9xSjMsW4rPGnclPmA6ode5IrJGg=","g2mJ5zU0mwruzr3Kb6gtYs2tEPxAVCk8",,,
"296495f3-64f5-4fa1-ad64-1fb31cde2ee1","TREE_003.basePlot.bet","D05","TREE","TREE_003","2015-07-27","2015-08-10","2015-09-18","xhFTIPW83ikA4aq41xHFvYlfERfRINECKbl0yJqpZEt3SBO4AVZv0UZkUXeMFpcghf3lDqlSAWaUwaWJasBinVOixPTLO/fGXTdqBNNpIkk=","xhFTIPW83incKYEQ2E5W7l05mtO/3dhw",,,
"4c5975a9-0568-4a29-a513-99fdd3320440","TREE_015.basePlot.bet","D05","TREE","TREE_015","2015-07-27","2015-08-10","2015-09-26","nEBhHqVTR17oTFts/ZW1EWpFBhcU1CwROVHCZLz/qOv5NSiyju0L+npefRygw/a63ly6DPYLN5MnOQ9r5EreiNG5rqlB7c6YOslQa1CRYauQzbqLgtugnCZTf782PrOYl3bsQQV15IU=","nEBhHqVTR14PQh4ZcirUoYNopVGf00Vy",,,
"2dc78a79-1c78-43ca-8ebe-4611cdffcb28","TREE_005.basePlot.bet","D05","TREE","TREE_005","2015-07-27","2015-08-10","2015-09-18","99X2ROXG5oP4dVj94xPvIvFsRtGmSK1oA9cNzF6lI5X9kDkErtsw9G1kwBIO3iusedV30q2j0YkXTCgBPqPx1oxZP16yFJkNtl3vnbBTHeI=","99X2ROXG5oPEDn6R75lnpVT1DEvX/vKP",,,
"2eae5730-4d37-4f0c-91f4-b8d7f25d4c89","TREE_006.basePlot.bet","D05","TREE","TREE_006","2015-07-27","2015-08-10","2015-09-18","4fQ7nDpzzlHz2krNct3f7z12W7BUSOV4rMHFgI0BAvP4WvQ3kize25sm7vRECYt8vx9yJsd4H5A8+O7pO6cBqOPUT/4YzAIv+u3W+BU/69fbEl8WLENlQ86K9+7r7s8M9ae2uozEl4Y=","4fQ7nDpzzlHUlHW0dxHB60B3AGbXEGPz",,,
"9fac4eb3-720a-4014-b73d-fd97806680c3","TREE_007.basePlot.bet","D05","TREE","TREE_007","2015-07-27","2015-08-10","2015-09-26","zNjpTCy9RjhdOjokYlDqDXj4AJs2Rh8Un1ykNxGv19g2kBMdcjSeLnMcLN+cLCIWvdxpnDcZgGXpEQrw2whq3u6LCvDwtE3Y8UjfStq3AfKNPQKG7y1OKSBdzprLQTBGuwt07F5jFP8=","zNjpTCy9RjhZsDJRIAF2rqkJwdddcfVI",,,
"5b7f6f30-c3ba-4f02-9464-ceff14b46024","TREE_002.basePlot.bet","D05","TREE","TREE_002","2015-08-10","2015-08-24","2015-10-26","bplZQSmPUSpD3CQVhZZHMM2uuG+WGEjZ9fk9B/xi1iZTctSrW+ehQxnY/xwxbYmdLX+ledU7Bw13DZW77/ZVv/pIPbQExWMCUOHzuzvYv1CvamDbTDR2O1upC4Afn9tGH4bkLNmVQmk=","bplZQSmPUSpgFTuZ9fwslMvLojHDLcsq",,,
