uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"e8629533-f976-40dd-b362-228b9c40725d","TREE_006.basePlot.bet","D05","TREE","TREE_006","E","distributed","mixedForest",45.491628,-89.551229,"WGS84",20.2,465.7,0.2,"2016-08-23","2016-09-08","TREE.2016.36",16,"Y","TREE_006.E.20160908","Ok","Ok","Ok","NEON.DOC.014050vH","HRQ2qSmGm8w8Hpt9UYCeWTEDSajtVjQn",
"538cdcef-088c-41a0-8066-a52dd10aa0d6","TREE_014.basePlot.bet","D05","TREE","TREE_014","W","distributed","mixedForest",45.486647,-89.569448,"WGS84",20.1,454.1,0.2,"2016-08-23","2016-09-08","TREE.2016.36",16,"Y","TREE_014.W.20160908","Ok","Ok","Ok","NEON.DOC.014050vH","ZLiBrmvqlLBFOFHAJeJ5SGepn/fS4c88",
"fa36ff41-aa1e-43b4-b76b-1745a6326b42","TREE_005.basePlot.bet","D05","TREE","TREE_005","E","distributed","woodyWetlands",45.481810,-89.555402,"WGS84",20.1,447.8,0.2,"2016-08-23","2016-09-08","TREE.2016.36",16,"Y","TREE_005.E.20160908","Ok","Ok","Ok","NEON.DOC.014050vH","HRQ2qSmGm8w8Hpt9UYCeWTEDSajtVjQn",
"73728471-a76b-4cdd-8f38-988f18371d18","TREE_002.basePlot.bet","D05","TREE","TREE_002","E","distributed","woodyWetlands",45.492352,-89.567786,"WGS84",20.3,456.6,0.5,"2016-08-23","2016-09-08","TREE.2016.36",16,"Y","TREE_002.E.20160908","Ok","Ok","Ok","NEON.DOC.014050vH","HRQ2qSmGm8w8Hpt9UYCeWTEDSajtVjQn",
"ecd89ab5-5931-4759-92be-df0700197d26","TREE_015.basePlot.bet","D05","TREE","TREE_015","E","distributed","mixedForest",45.486975,-89.554896,"WGS84",20.3,460.2,0.4,"2016-08-23","2016-09-08","TREE.2016.36",16,"Y","TREE_015.E.20160908","Ok","Ok","Ok","NEON.DOC.014050vH","HRQ2qSmGm8w8Hpt9UYCeWTEDSajtVjQn",
"e52e4802-9a70-41b7-9adf-c6e1884d8cb1","TREE_001.basePlot.bet","D05","TREE","TREE_001","E","distributed","evergreenForest",45.487728,-89.569877,"WGS84",20.2,453.1,0.3,"2016-08-23","2016-09-08","TREE.2016.36",16,"Y","TREE_001.E.20160908","Ok","Ok","Ok","NEON.DOC.014050vH","ZLiBrmvqlLBFOFHAJeJ5SGepn/fS4c88",
"fb02096c-2e19-4bb7-b7b9-7cb0d144c072","TREE_003.basePlot.bet","D05","TREE","TREE_003","E","distributed","deciduousForest",45.490246,-89.577677,"WGS84",20.1,463.8,0.2,"2016-08-23","2016-09-08","TREE.2016.36",16,"Y","TREE_003.E.20160908","Ok","Ok","Ok","NEON.DOC.014050vH","ZLiBrmvqlLBFOFHAJeJ5SGepn/fS4c88",
"f59c8abe-d2b4-4888-971a-fc57602c9ed1","TREE_007.basePlot.bet","D05","TREE","TREE_007","E","distributed","deciduousForest",45.496912,-89.557232,"WGS84",20.2,456.7,0.3,"2016-08-23","2016-09-08","TREE.2016.36",16,"Y","TREE_007.E.20160908","Ok","Ok","Ok","NEON.DOC.014050vH","HRQ2qSmGm8w8Hpt9UYCeWTEDSajtVjQn",
"b7c135ab-46f3-4538-b3d5-d39dfbc15c43","TREE_014.basePlot.bet","D05","TREE","TREE_014","E","distributed","mixedForest",45.486647,-89.569448,"WGS84",20.1,454.1,0.2,"2016-08-23","2016-09-08","TREE.2016.36",16,"Y","TREE_014.E.20160908","Ok","Ok","Ok","NEON.DOC.014050vH","ZLiBrmvqlLBFOFHAJeJ5SGepn/fS4c88",
"887a6649-1e97-47fa-b0f3-43928ba1ef12","TREE_004.basePlot.bet","D05","TREE","TREE_004","E","distributed","woodyWetlands",45.479916,-89.556096,"WGS84",20.2,448.5,0.4,"2016-08-23","2016-09-08","TREE.2016.36",16,"Y","TREE_004.E.20160908","Ok","Ok","Ok","NEON.DOC.014050vH","ZLiBrmvqlLBFOFHAJeJ5SGepn/fS4c88",
