uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"7deb675c-acd3-4a32-bce7-7ab705dea462","UNDE_001.basePlot.bet","D05","UNDE","UNDE_001","E","distributed","deciduousForest",46.234625,-89.560771,"WGS84",20.1,523.7,0.2,"2014-08-05","2014-08-19","UNDE.2014.34",14,"Y","UNDE_001.E.20140819","Ok","Disturbed","Ok","NEON.DOC.014050vE","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",
"b50bd8a7-28eb-4367-8192-1222faa00939","UNDE_008.basePlot.bet","D05","UNDE","UNDE_008","W","distributed","mixedForest",46.256193,-89.515052,"WGS84",20.2,514.8,0.4,"2014-08-05","2014-08-19","UNDE.2014.34",14,"Y","UNDE_008.W.20140819","Ok","Ok","High","NEON.DOC.014050vE","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",
"bb7240b0-9088-4856-ab18-958403a0d1dd","UNDE_008.basePlot.bet","D05","UNDE","UNDE_008","E","distributed","mixedForest",46.256193,-89.515052,"WGS84",20.2,514.8,0.4,"2014-08-05","2014-08-19","UNDE.2014.34",14,"Y","UNDE_008.E.20140819","Ok","Ok","Ok","NEON.DOC.014050vE","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",
"ae6ffa39-033a-4665-b4e5-5c697ac18390","UNDE_003.basePlot.bet","D05","UNDE","UNDE_003","E","distributed","woodyWetlands",46.256247,-89.536090,"WGS84",20.2,504.8,0.3,"2014-08-05","2014-08-19","UNDE.2014.34",14,"Y","UNDE_003.E.20140819","Ok","Ok","Ok","NEON.DOC.014050vE","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",
"43dc0509-9afe-4b72-8fe6-7fa50ab858da","UNDE_017.basePlot.bet","D05","UNDE","UNDE_017","E","distributed","mixedForest",46.237960,-89.496339,"WGS84",20.2,523.8,0.3,"2014-08-05","2014-08-19","UNDE.2014.34",14,"Y","UNDE_017.E.20140819","Ok","Ok","Ok","NEON.DOC.014050vE","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",
"a4202f4e-5e39-41b0-8e64-c427b3cb6ba0","UNDE_007.basePlot.bet","D05","UNDE","UNDE_007","E","distributed","deciduousForest",46.248703,-89.536134,"WGS84",20.1,518.7,0.2,"2014-08-05","2014-08-19","UNDE.2014.34",14,"Y","UNDE_007.E.20140819","Ok","Ok","Ok","NEON.DOC.014050vE","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",
"85433341-0824-4edf-9aca-e8c10b91108f","UNDE_010.basePlot.bet","D05","UNDE","UNDE_010","E","distributed","woodyWetlands",46.237778,-89.541857,"WGS84",20.3,512.8,0.4,"2014-08-05","2014-08-19","UNDE.2014.34",14,"Y","UNDE_010.E.20140819","Ok","Ok","Ok","NEON.DOC.014050vE","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",
"41cfc5d4-1f10-4c12-9a0d-34d7a80e0fb0","UNDE_012.basePlot.bet","D05","UNDE","UNDE_012","E","distributed","woodyWetlands",46.236979,-89.504463,"WGS84",20.1,515.0,0.1,"2014-08-05","2014-08-19","UNDE.2014.34",14,"Y","UNDE_012.E.20140819","Ok","Ok","High","NEON.DOC.014050vE","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",
"ff569b28-64aa-4784-96c6-4e14140faf08","UNDE_006.basePlot.bet","D05","UNDE","UNDE_006","E","distributed","deciduousForest",46.254613,-89.512657,"WGS84",20.2,530.0,0.2,"2014-08-05","2014-08-19","UNDE.2014.34",14,"Y","UNDE_006.E.20140819","Ok","Disturbed","Ok","NEON.DOC.014050vE","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",
"2e1e9816-613b-4839-befa-86938561183a","UNDE_002.basePlot.bet","D05","UNDE","UNDE_002","E","distributed","woodyWetlands",46.243103,-89.544804,"WGS84",20.1,504.2,0.1,"2014-08-05","2014-08-19","UNDE.2014.34",14,"Y","UNDE_002.E.20140819","Ok","Ok","Ok","NEON.DOC.014050vE","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",
