uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"847a4ca8-2539-4e43-8faa-98fe869782fb","UNDE_012.basePlot.bet","D05","UNDE","UNDE_012","2015-05-26","2015-06-08","2015-07-09","+v0vuVmyR4CIkd7rDYGbT72Xn/lI48gzn3nEptCSNexVQccRDHI9KyjB3DnDjafIaY7W43BnqbtIzhU+QV4RaSX8CZk6i0yqa5qDu3QQJBM=","+v0vuVmyR4C0hdPNL01KRFKc1G4z9pXe",,,
"53b3b2ed-dd9b-46d4-9b3d-6ffd198fd0c4","UNDE_001.basePlot.bet","D05","UNDE","UNDE_001","2015-05-26","2015-06-08","2015-07-09","kh3xmoTmJnBOmO2jgFxxyb0HstufnrDjnCZIzvasfC5iTjdDS85mNA8ujJSN6Ax/zN+MAky5dia2xrQI3qHzX4rrJqiRmEjuYAtReFdZAdyKdFRByO1gMWRYZokmoiK3boiAw5NGUtc=","kh3xmoTmJnCLpb/1FjmPZFFODt+YXm1G",,,
"dd185516-a7b1-4ec2-916b-02dd669a79fc","UNDE_003.basePlot.bet","D05","UNDE","UNDE_003","2015-05-26","2015-06-08","2015-07-09","UKgrtiGQYSDE7Wv8PWCVB7uXevjNbHCt4+ozwRRtCGdzKjuxygYXRD5mfrHJUxGj3ZkWA9PI3TH8xdWXoEFYkZeueHvZPzoyeRT119CSClE=","UKgrtiGQYSAfvBrQaAZ+PzuVFkST2vKo",,,
"e765f82f-66b0-4b43-9286-a17a0486ac2e","UNDE_002.basePlot.bet","D05","UNDE","UNDE_002","2015-05-26","2015-06-08","2015-07-09","JrVNSI+TG1IR5eAVg3TRTfMlcglT4215TzMdnPMRiukvdrumkEd7RasS4x062P+nFNQGH9pusg+ruXc8wBVapCRZw0d68+1Tqw9vRdPlgG3NsV1b2qX6OG7rbFIUCcQ9/AuJb+1w8Ig=","JrVNSI+TG1KGTc2m9f1uQfEIvbxZ1jxm",,,
"34e51062-2ca4-4305-a83c-963a4f1a789b","UNDE_006.basePlot.bet","D05","UNDE","UNDE_006","2015-05-26","2015-06-08","2015-07-09","izIYmtFoQUiVOEIRqtIFZIT+JER8Vvt7a0YyJ9cjs7PUrJH6WAQGyB4r98YQz7YPM7vGTbfq4iw=","izIYmtFoQUgFYiDn0cuLrXB9oUZgODZW",,,
"ac16209a-842b-4df4-a712-330733a0694c","UNDE_006.basePlot.bet","D05","UNDE","UNDE_006","2015-05-26","2015-06-08","2015-07-09","izIYmtFoQUincgda/qaeEq78Uxv0pBiCuFmDFn7JMJxqPjFVH9FGmQi5ahUR5BcPZUSbLIJGu/I=","izIYmtFoQUgFYiDn0cuLrS2Ivcn3PukT",,,
"106a2285-30fe-4d20-ba6d-d66925ca4c73","UNDE_007.basePlot.bet","D05","UNDE","UNDE_007","2015-05-26","2015-06-08","2015-07-09","sj+sxzQpSGBowuXeQO717Hf9Xl/nppv9O6d/EXXoClg23HsXvPCNkjJYznel+PNoJJ3dolF9cvdPghOjRfFb+DbR+ItGNEQdODB1lNKvcDJULkGJ7+Mnqa70Y7x6cGQFNwOisWb+mVE=","sj+sxzQpSGAd1IqZcbMH2HwU8KoDNEgp",,,
"f9fbee5d-8ee2-4dbd-8653-cc8cee833f7a","UNDE_008.basePlot.bet","D05","UNDE","UNDE_008","2015-05-26","2015-06-08","2015-07-09","MjA7sUqH2Cau71Ud/qCQ7OTeMfqw1OLBp23uqDpam+vIAxhaGnhEKbJjdoIGhDShv1Msm46+lAU=","MjA7sUqH2CYsdUEbX9+sywTLpEu846M0",,,
"74ffd68e-4cce-44b3-bb8f-095f73329049","UNDE_017.basePlot.bet","D05","UNDE","UNDE_017","2015-05-26","2015-06-08","2015-07-09","xHY1KmNCr23nhIQ3WiWhMCX6oOa/+9KPxL5F51DKd+4hI/+p0fEo/TW6sLBeo8ipFEFSqvtmZmdHZT3f0IbeYsxKWITekztIs/VUci8JhBkB6y3IGnVHfWlg6ljsyWGHTw/paGumDxQ=","xHY1KmNCr21aodi0r6bFVeP/9lGGNQNr",,,
"cf2496ac-23b1-4fa3-b44a-3599dfadc276","UNDE_010.basePlot.bet","D05","UNDE","UNDE_010","2015-05-26","2015-06-08","2015-07-09","hQDJ3TYDfowchf80HEbqrG/PGW0oE/A5ovrSqGp+1h37z7gKqQrP2jMJJLTdznREKFobI5CBZWBruXssIagq6btKr/63h+uyGhJpogO3ffk=","hQDJ3TYDfoy6a3ZCGF0PLb6F5unEMrCN",,,
"282898cc-fe4b-4f71-9a7f-ec433848cacd","UNDE_010.basePlot.bet","D05","UNDE","UNDE_010","2015-05-26","2015-06-08","2015-07-09","hQDJ3TYDfoxCoxtjFHMyZ+dMX6rIX828MFtYqoQtXGVPSF43a4up6636YiBD7vv+Cu6/dNShcYGVyWVehZdaUDe7wWoQaJRBMbZXmqPlZfAY5cpx6ATUXLKSlekVWUjT","hQDJ3TYDfoy6a3ZCGF0PLaRR4uUp95H3wHkv9m6n2dA=","Carabus nemoralis nemoralis",,
"b1542a01-78a7-45c3-8081-77cfc121f877","UNDE_011.basePlot.bet","D05","UNDE","UNDE_011","2015-05-26","2015-06-08","2015-07-09","0Ya1AWR2lPjLjN29ViQVJoTtih20/u5REUboSD7LTHhwbueWzgJoFX3I2oX2JRnguOPoiPO3IX8fXzisaGlkO/lTwnA63NNJPusiW0M1/Zbximd9hUgw8paQgT35CGbo0flgc7hstNM=","0Ya1AWR2lPhkr8k04YFHgqBLheErCCUe",,,
"e0a6f351-a2e6-4d66-8d9d-3ab043ff4a9f","UNDE_008.basePlot.bet","D05","UNDE","UNDE_008","2015-05-26","2015-06-08","2015-07-09","MjA7sUqH2Ca0m+Es0SGwOao8dV85dzE4Ucm0iIGhZiDeLqGPouMfcx0mx3iC8oTFOU6KMC9sYFQ=","MjA7sUqH2CYsdUEbX9+syyr933AWHPeg",,,
"25ac7a3e-552e-45f2-859d-67ad0b31b84e","UNDE_001.basePlot.bet","D05","UNDE","UNDE_001","2015-06-08","2015-06-22","2015-08-06","kh3xmoTmJnDEdDDgC6O3Vvr/dgiwqd0PgjG5dq0353+Qgn2an2FG/R3yCVB2DovQArh3IPmkQ1h/tqf7rCCZe6/II3HNawXGrfRd/Eo9S5qNrztmJPqpl8ZHZJX1OYqT8cpQy7ySx98=","kh3xmoTmJnD0Qc1HBf6pryYxfXrS/K/O",,,
"214f084c-bf81-41c5-9953-f86757624a9d","UNDE_003.basePlot.bet","D05","UNDE","UNDE_003","2015-06-08","2015-06-22","2015-08-05","UKgrtiGQYSDE7Wv8PWCVB2s4UJAqQnr5gqbsWZ6W9FsG+pvQsI9jY3l2Wxcb+HxFxZvnTUXI8C0mmUxBisf0huEvBDuD79Ib+LV+GCTx/bEtNcL/q4sQQ66rXbN7jY8yLu/rf5L+KLQ=","UKgrtiGQYSCayxRtjUkmRk9cyO3ulTFe",,,
"c83ad8d7-be17-4ece-a178-9ecbd1d780a4","UNDE_007.basePlot.bet","D05","UNDE","UNDE_007","2015-06-08","2015-06-22","2015-08-05","sj+sxzQpSGD1HzFiTYVmCvx94/hCsrq+ajzJDHrnSu45V0PSYJvIF56yClurS5JmlBv36H4nxg/MPHOqhQ6qT9wPoAlgzfsy+oxvPg6ry5c=","sj+sxzQpSGB7kSBj40vHjrp7d0dejHiH",,,
"0ef7b874-67aa-47ec-9133-0277820a2f79","UNDE_008.basePlot.bet","D05","UNDE","UNDE_008","2015-06-08","2015-06-22","2015-08-05","MjA7sUqH2CbTzc7rq9n5rpsDgWIJe9MbRmuD+KODGhzCk/OCC8E/ndMVsBetsO4muQ6EwDZ7AYY=","MjA7sUqH2CZrkvIg+TYs96KuRgZ8HW6o",,,
