uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"9038402f-457f-41ef-ac8d-b83e6d02bde1","UNDE_006.basePlot.bet","D05","UNDE","UNDE_006","E","2015-06-22","2015-07-06","2015-11-05","2015-09-25","izIYmtFoQUjYvdCG/eJV16AEw048zoUZaBWoJfL9Kkg=","NEON.BET.D05.000681","NOTAEN","Notiophilus aeneus","species",,"Herbst",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"b49f4f8f-4186-4973-89e3-2be0762e944c","UNDE_001.basePlot.bet","D05","UNDE","UNDE_001","W","2015-06-22","2015-07-06","2015-11-04","2015-10-26","kh3xmoTmJnDe9rFmDlBXbfncv+JNS2l95neBzXoeh6E=","NEON.BET.D05.000559","SYNIMP","Synuchus impunctatus","species",,"Say",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"d1bb4793-1b6b-472a-a911-7b048858cd5a","UNDE_017.basePlot.bet","D05","UNDE","UNDE_017","E","2015-06-22","2015-07-06","2015-11-04","2015-10-08","xHY1KmNCr21DrRJn5PYxf/CCt2ft29uxam8pTwcSOt4=","NEON.BET.D05.000625","PLADEC","Platynus decentis","species",,"Say",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"5d3e7a8e-3f01-4d05-a3c8-738df6ca700f","UNDE_007.basePlot.bet","D05","UNDE","UNDE_007","E","2015-06-22","2015-07-06","2015-11-04","2015-10-08","sj+sxzQpSGBowuXeQO717KGnz6+EjFcPoyayTGKqt8k=","NEON.BET.D05.000527","PTEMEL","Pterostichus melanarius melanarius","subspecies",,"Illiger",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"703182c6-6193-45a8-b335-a0f6179d31b4","UNDE_017.basePlot.bet","D05","UNDE","UNDE_017","E","2015-06-22","2015-07-06","2015-11-04","2015-10-08","xHY1KmNCr21DrRJn5PYxf/CCt2ft29uxam8pTwcSOt4=","NEON.BET.D05.000624","PLADEC","Platynus decentis","species",,"Say",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"b248047c-6f8d-4d87-86a9-669a6b2fe0ba","UNDE_006.basePlot.bet","D05","UNDE","UNDE_006","E","2015-06-22","2015-07-06","2015-10-29","2015-09-29","izIYmtFoQUjYvdCG/eJV11eJMan67bAyFAytPQ4Jj4M=","NEON.BET.D05.000325","SYNIMP","Synuchus impunctatus","species","cf. species","Say",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","lLQBQVfayhr3D1tZaVTYCAmpRMui4lXg/r98CgvafXs=",
"e93f9013-6f8a-4fed-8740-83963886aae5","UNDE_008.basePlot.bet","D05","UNDE","UNDE_008","E","2015-06-22","2015-07-06","2015-10-29","2015-10-26","MjA7sUqH2Ca0m+Es0SGwOR3p+HkeGmE//UjutWSiKio=","NEON.BET.D05.000244","PTEPEN","Pterostichus pensylvanicus","species","cf. species","LeConte",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt",
"0d55bc77-c2fd-4038-a6b9-125cf49c7a72","UNDE_011.basePlot.bet","D05","UNDE","UNDE_011","E","2015-06-22","2015-07-06","2015-11-02","2015-09-25","0Ya1AWR2lPiVqJfHQh+4u77OwAfi0tiM2OCBC7YJN14=","NEON.BET.D05.000389","PTECOR1","Pterostichus coracinus","species","cf. species","Newman",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"ef8ce992-18bf-4dc7-b3ba-a34ce7ab0c28","UNDE_007.basePlot.bet","D05","UNDE","UNDE_007","N","2015-06-22","2015-07-06","2015-11-02","2015-10-08","sj+sxzQpSGChK6h/mW6WHgwlZlY3ZAKx90NsgmHxA8M=","NEON.BET.D05.000433","AGORET","Agonum retractum","species",,"LeConte",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"19710651-d7f4-47fe-8dc4-dc6591f58141","UNDE_006.basePlot.bet","D05","UNDE","UNDE_006","N","2015-06-22","2015-07-06","2015-11-03","2015-09-30","izIYmtFoQUjEi58UfW/1UeHyMdA6LFdBiCvKQk0e4BQ=","NEON.BET.D05.000462","PTEMEL","Pterostichus melanarius melanarius","subspecies",,"Illiger",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
