uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,individualID,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationQualifier,sex,morphospeciesID,identificationReferences,identifiedBy,laboratoryName,identificationRemarks,sampleCondition,dnaBarcoded,geneticSampleID,remarks
"20683727-edc8-4510-8749-73cb558490a1","KONZ_001.basePlot.bet","D06","KONZ","KONZ_001","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000817","PASELO","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","elongatus",,"Pasimachus elongatus","LeConte","species",,"M",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"f477137f-c42a-4ea0-82cb-a28827b61f0d","KONZ_025.basePlot.bet","D06","KONZ","KONZ_025","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000943","GALATR","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Galeritini","Galerita","Progaleritina","atripes",,"Galerita atripes","LeConte","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"2882b25e-af56-4d20-a799-86759e5fcf81","KONZ_001.basePlot.bet","D06","KONZ","KONZ_001","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000811","PASCAL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","californicus",,"Pasimachus californicus","Chaudoir","species",,"F",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"fa5b3016-65ca-418b-b2ab-bc57ba2336f0","KONZ_002.basePlot.bet","D06","KONZ","KONZ_002","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000837","PASCAL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","californicus",,"Pasimachus californicus","Chaudoir","species",,"M",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"e3f24102-deac-49dc-9ebe-abe204d46cdb","KONZ_002.basePlot.bet","D06","KONZ","KONZ_002","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000835","CARSYL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini","Carabus","Tanaocarabus","sylvosus",,"Carabus sylvosus","Say","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"7348bb21-c688-44f9-802f-aa7143c7d277","KONZ_005.basePlot.bet","D06","KONZ","KONZ_005","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000800","HELTEX","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini","Helluomorphoides",,"texanus",,"Helluomorphoides texanus","LeConte","species",,"F",,"Ball, G. E. 1956. A revision of the North American species of the genus Helluomorphoides Ball, 1951. Proceedings of the Entomological Society of Washington 58:67-91.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"4c54f749-131b-42ab-8317-de197460f27d","KONZ_005.basePlot.bet","D06","KONZ","KONZ_005","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000810","PASCAL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","californicus",,"Pasimachus californicus","Chaudoir","species",,"F",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"033cb45f-3be8-454c-a476-5a1456d82569","KONZ_025.basePlot.bet","D06","KONZ","KONZ_025","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000924","BRAALT","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachininae","Brachinini","Brachinus","Neobrachinus","alternans",,"Brachinus alternans","Dejean","species",,"F",,"Erwin, T. L. 1970a. A Reclassification of Bombardier Beetles and a Taxonomic Revision of the North and Middle American Species (Carabidae: Brachinida). Quaestiones Entomologicae 6:4-215.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"245b7263-e30c-4658-97e5-5ea239816232","KONZ_025.basePlot.bet","D06","KONZ","KONZ_025","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000944","GALATR","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Galeritini","Galerita","Progaleritina","atripes",,"Galerita atripes","LeConte","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"50ea125a-c79a-4d61-8e6e-1f2d35bde95f","KONZ_025.basePlot.bet","D06","KONZ","KONZ_025","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000917","GALJAN","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Galeritini","Galerita","Progaleritina","janus",,"Galerita janus","Fabricius","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"5295c016-eb7a-4e81-a584-ca3ad4502158","KONZ_025.basePlot.bet","D06","KONZ","KONZ_025","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000945","POELUC","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Poecilus","Poecilus","lucublandus",,"Poecilus lucublandus","Say","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"9c82ad18-2eac-4389-96e3-38c774040893","KONZ_025.basePlot.bet","D06","KONZ","KONZ_025","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000919","GALATR","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Galeritini","Galerita","Progaleritina","atripes",,"Galerita atripes","LeConte","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"da1ecd0f-635a-4c85-a035-4be731302d66","KONZ_025.basePlot.bet","D06","KONZ","KONZ_025","2015-07-06","2015-07-20","2017-01-15","NEON.BET.D06.000921","DICELO","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini","Dicaelus","Paradicaelus","elongatus",,"Dicaelus elongatus","Bonelli","species",,"F",,"Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
