uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"6a73271d-80b7-48b3-aef7-7959618aa675","KONZ_001.basePlot.bet","D06","KONZ","KONZ_001","2015-07-20","2015-08-03","2015-08-05","HFNPNHS/o8XPUZEVZnyshLWS1FFXLcR/gGg6WcW852ml4RfHNaXeS4QZwTAbw+DyZVKbduwLY8aZKU90gt+CKSf4lnwfpMcFhoFGxQPU/aw=","HFNPNHS/o8W6+0r33+QVISWf7wRQ6KST",,,
"74bf11da-852e-4547-ac5d-8b2728d2e612","KONZ_005.basePlot.bet","D06","KONZ","KONZ_005","2015-07-20","2015-08-03","2015-08-06","sLTlFxIy7/g0zvwXmK6S+deLh/GGkEywvkmKfQxIyi7fxufe9hWFLsfM7nYyLEr+XLu0p1eKJXA=","sLTlFxIy7/gRFqX6PkcAztEs8OlizanV",,,
"1b489250-4493-49b2-b340-8720ee7616b3","KONZ_005.basePlot.bet","D06","KONZ","KONZ_005","2015-07-20","2015-08-03","2015-08-06","sLTlFxIy7/i5wcKdTwyJQE2QWNVa6132ONu+e+5hTeqthOkQyQZKOIR07ItrXLmxG5RXsZV8sOM=","sLTlFxIy7/gRFqX6PkcAzhSoq7O84PGm",,,
"7c257af9-60fd-4744-96d8-06a8250b3b4d","KONZ_006.basePlot.bet","D06","KONZ","KONZ_006","2015-07-20","2015-08-03","2015-08-10","eO41eOee7nhRvbi34S5VOYHCQHl3tijDk6vq+Pz97TMy98Y/euIYuSG4gMOLb8FRm4EPhwZigS4eqRVq1IGL/kYMP3Z3IcIt8OIOQNMpqvmmZ4NoXm5ol3zj1w+JaA4Gqpt2k2QvV/Y=","eO41eOee7ngjcGbrrvOh1s6KG5Nt69hH",,,
"1f5d3b5b-b423-4ca1-9fa5-ad916ecb2a96","KONZ_003.basePlot.bet","D06","KONZ","KONZ_003","2015-07-20","2015-08-03","2015-08-06","KsyoFpuhSbKT5wZId01de7rnUe/mbUwZ6vD5c3xrHBVRJ8gMcHawK7WL5KaqGniEHMuh+eQqBTTQZ1yawogUPjwtb7kzBaGUIySgpK/3JGkFvo2DH/z1n0Q9Bhe6Wb1PBOTPxPBPVzg=","KsyoFpuhSbLPD0lZR3n9ezo4Lt53W2XP",,,
"cfc5b618-8987-4a58-869f-bf7676aee3a1","KONZ_007.basePlot.bet","D06","KONZ","KONZ_007","2015-07-20","2015-08-03","2015-08-05","f11juJKcl7KitB47Ycg3OTNlCHNe1RBBiMVPcrEY3cFwX6VTPHSNjFLxd7AzU6XXSOPe2CofFnA=","f11juJKcl7K5vEKVrSMzJlbgB0fGRTNI",,,
"4cbe6504-5c4b-4376-a2d5-239050eaed8c","KONZ_009.basePlot.bet","D06","KONZ","KONZ_009","2015-07-20","2015-08-03","2015-08-05","80BkEGzwD8Z+hvN73eG7CU6yCqkNU6H3UujuIYQTNcubuXk+KTy9JOqYtaZ09iE6bTRPPLGh+5lOzm7X0/G9EK/4V1pW3PwHRlpqU+VX1YN2WS0YsTDZL9tyHCClY0esqx9Wx4HDw7o=","80BkEGzwD8Zvv/tOQw+g4oVzng86PcMB",,,
"b3bb4eb7-f411-4406-84cc-7005cd69c5d5","KONZ_008.basePlot.bet","D06","KONZ","KONZ_008","2015-07-20","2015-08-03","2015-08-10","R/i9Sy8Froum124ywlVYUP4gVP8fX+f0KLuFnHxDaFphFfgv5NFg6K3PxB2C4GCZuCcfqpjNkGq8ySmZZLzR/DCzrsaaqY1A+h68v+8PaFVt2PZQe0s8boz1GBHk1WYnsvc0YPSkXbU=","R/i9Sy8Frov1tPYUF0y3900xoVjthIgW",,,
"9c222e38-cd07-4d45-bd8b-255764c44c75","KONZ_025.basePlot.bet","D06","KONZ","KONZ_025","2015-07-20","2015-08-03","2015-08-04","dZsQaO9YC654UGzAtr7R4UBqDUO7ZlYBm8KQVRX5xVWAXXNy7YaHAq6wPg3k++biCEfOhnF2u7q9d2Kso3uOXoAZiSsZ83xMOJSqfo2N2BZk9o25Oj03QCIN+ll1IHNYNt4M7fyv464=","dZsQaO9YC67u3PzGXEeo7lUXrbR/JSZS",,,
"9c7cd4e6-9fba-4adf-9b7a-ed61ba37bbeb","KONZ_007.basePlot.bet","D06","KONZ","KONZ_007","2015-07-20","2015-08-03","2015-08-05","f11juJKcl7Ld05dxbwkLyMoaqK8yAFWuGgMxh7C71aRuKJrzKMQJjL21Xur6MNWqCQmlaM3sto8=","f11juJKcl7K5vEKVrSMzJogw+Qlt0epm",,,
"1369ab1e-96e6-46b9-9289-42259417c922","KONZ_006.basePlot.bet","D06","KONZ","KONZ_006","2015-08-03","2015-08-17","2015-08-20","eO41eOee7nj3AyWZUK6dxuiyEVOK6G/72wwCeDjMmDD+1PF6iQGKYobfxLfgqt20kL2V47H5045oD0ia4m4dBRWmFft/iwI60AIm2IQc1UIzovKZB4CasjQEzwsxirPq85TjLGrAuvk=","eO41eOee7nhfAysQjls81tNbfKFRj6EG",,,
"047ac9e8-e2c1-4221-9c07-c4d4772a887e","KONZ_001.basePlot.bet","D06","KONZ","KONZ_001","2015-08-03","2015-08-17","2015-08-18","HFNPNHS/o8XPUZEVZnyshFFUKmjW4ypNios/2d2bFcNZuC6/sxdQk53I3NtUAhk15WYQg5RVptg=","HFNPNHS/o8VZ9PXPh5fvuukRE60hQTPh",,,
