uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"b22a356b-ec1b-4816-8db6-e6b4dd6304bb","KONZ_009.basePlot.bet","D06","KONZ","KONZ_009","S","distributed","grasslandHerbaceous",39.107316,-96.585982,"WGS84",20.1,373.1,0.1,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_009.S.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN","Lid present but warped from fire"
"175874d4-9123-4071-8e85-59f33b6bb41f","KONZ_025.basePlot.bet","D06","KONZ","KONZ_025","S","distributed","deciduousForest",39.103999,-96.596164,"WGS84",20.3,339.1,0.2,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_025.S.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN",
"bab31549-036b-4464-abc2-f9012370ec88","KONZ_004.basePlot.bet","D06","KONZ","KONZ_004","S","distributed","grasslandHerbaceous",39.110568,-96.550148,"WGS84",20.0,375.1,0.0,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_004.S.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","VtK34V8hMvSAN7vSWVIm9QY1ximcsJ/y",
"98fe6e2c-4cf5-4df3-943f-499a6420d026","KONZ_008.basePlot.bet","D06","KONZ","KONZ_008","S","distributed","grasslandHerbaceous",39.108081,-96.545369,"WGS84",20.0,383.3,0.0,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_008.S.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","VtK34V8hMvSAN7vSWVIm9QY1ximcsJ/y",
"743e5524-a64c-4fc6-ba89-a1d27e66ce0a","KONZ_001.basePlot.bet","D06","KONZ","KONZ_001","S","distributed","grasslandHerbaceous",39.075067,-96.555875,"WGS84",20.1,437.7,0.1,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_001.S.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","VtK34V8hMvSAN7vSWVIm9QY1ximcsJ/y",
"5fcbd121-c540-4e81-8a47-a1c973048cfd","KONZ_007.basePlot.bet","D06","KONZ","KONZ_007","S","distributed","grasslandHerbaceous",39.086977,-96.544717,"WGS84",20.1,422.6,0.1,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_007.S.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","VtK34V8hMvSAN7vSWVIm9QY1ximcsJ/y",
"ca45d11b-a96a-46bd-b231-b4db2c877a0c","KONZ_007.basePlot.bet","D06","KONZ","KONZ_007","W","distributed","grasslandHerbaceous",39.086977,-96.544717,"WGS84",20.1,422.6,0.1,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_007.W.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","VtK34V8hMvSAN7vSWVIm9QY1ximcsJ/y",
"9eb28fe7-9593-4f03-8b41-3aa4637a2d23","KONZ_006.basePlot.bet","D06","KONZ","KONZ_006","W","distributed","grasslandHerbaceous",39.071160,-96.588942,"WGS84",20.1,409.5,0.1,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_006.W.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN",
"af88af5b-42ae-4366-ad23-b08b3de7b0cb","KONZ_005.basePlot.bet","D06","KONZ","KONZ_005","W","distributed","grasslandHerbaceous",39.082563,-96.566705,"WGS84",20.0,424.1,0.0,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_005.W.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN",
"ab619d3c-394e-467d-8549-cd86a029b727","KONZ_003.basePlot.bet","D06","KONZ","KONZ_003","W","distributed","grasslandHerbaceous",39.088076,-96.570347,"WGS84",20.0,404.2,0.0,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_003.W.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN",
"b5856fdd-fa34-43d2-b79f-2d72a880904f","KONZ_009.basePlot.bet","D06","KONZ","KONZ_009","W","distributed","grasslandHerbaceous",39.107316,-96.585982,"WGS84",20.1,373.1,0.1,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_009.W.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN",
"d24b3aaf-fc7a-4a7d-9035-2dbb6aa3b757","KONZ_025.basePlot.bet","D06","KONZ","KONZ_025","W","distributed","deciduousForest",39.103999,-96.596164,"WGS84",20.3,339.1,0.2,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_025.W.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN",
"b4b06530-8e95-4e1a-85a7-a3db57f65f35","KONZ_004.basePlot.bet","D06","KONZ","KONZ_004","W","distributed","grasslandHerbaceous",39.110568,-96.550148,"WGS84",20.0,375.1,0.0,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_004.W.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","VtK34V8hMvSAN7vSWVIm9QY1ximcsJ/y",
"ad4589cc-d7f8-44a1-84a3-33e37cf55f53","KONZ_001.basePlot.bet","D06","KONZ","KONZ_001","W","distributed","grasslandHerbaceous",39.075067,-96.555875,"WGS84",20.1,437.7,0.1,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_001.W.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","VtK34V8hMvSAN7vSWVIm9QY1ximcsJ/y",
"aeb6afda-facd-4b73-8e43-a15b3d9c3e41","KONZ_008.basePlot.bet","D06","KONZ","KONZ_008","W","distributed","grasslandHerbaceous",39.108081,-96.545369,"WGS84",20.0,383.3,0.0,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_008.W.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","VtK34V8hMvSAN7vSWVIm9QY1ximcsJ/y",
"54834c36-9c6a-49d2-a2e9-f846d424b9d0","KONZ_002.basePlot.bet","D06","KONZ","KONZ_002","W","distributed","grasslandHerbaceous",39.119993,-96.546016,"WGS84",20.0,399.9,0.0,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_002.W.20160405","Ok","Ok","Low","NEON.DOC.014050vH","VtK34V8hMvSAN7vSWVIm9QY1ximcsJ/y",
"ce200b2d-a55d-4e9c-ac89-c8decc18fba5","KONZ_009.basePlot.bet","D06","KONZ","KONZ_009","E","distributed","grasslandHerbaceous",39.107316,-96.585982,"WGS84",20.1,373.1,0.1,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_009.E.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN",
"6e951a6f-937b-422d-8d7f-03376f2b56d9","KONZ_007.basePlot.bet","D06","KONZ","KONZ_007","E","distributed","grasslandHerbaceous",39.086977,-96.544717,"WGS84",20.1,422.6,0.1,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_007.E.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","VtK34V8hMvSAN7vSWVIm9QY1ximcsJ/y",
"255a249e-61fb-45ad-b186-40494edaec91","KONZ_008.basePlot.bet","D06","KONZ","KONZ_008","E","distributed","grasslandHerbaceous",39.108081,-96.545369,"WGS84",20.0,383.3,0.0,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_008.E.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","VtK34V8hMvSAN7vSWVIm9QY1ximcsJ/y",
"1bc35911-ea0d-4ddf-94aa-b09175537b95","KONZ_002.basePlot.bet","D06","KONZ","KONZ_002","E","distributed","grasslandHerbaceous",39.119993,-96.546016,"WGS84",20.0,399.9,0.0,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_002.E.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","VtK34V8hMvSAN7vSWVIm9QY1ximcsJ/y",
"382c159e-d19c-4f54-8752-a2b2992e1cb1","KONZ_006.basePlot.bet","D06","KONZ","KONZ_006","E","distributed","grasslandHerbaceous",39.071160,-96.588942,"WGS84",20.1,409.5,0.1,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_006.E.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN",
"08d53822-7ee1-4c4b-8ba5-b12430655856","KONZ_005.basePlot.bet","D06","KONZ","KONZ_005","E","distributed","grasslandHerbaceous",39.082563,-96.566705,"WGS84",20.0,424.1,0.0,"2016-03-22","2016-04-05","KONZ.2016.14",14,"Y","KONZ_005.E.20160405","Ok","Ok","Ok","NEON.DOC.014050vH","Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN",
