uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"db83780f-3852-48ce-8cd1-ecf96404958c","KONZ_007.basePlot.bet","D06","KONZ","KONZ_007","E","2016-06-28","2016-07-12","2016-07-12","2016-07-13",,"KONZ_007.E.20160712","f11juJKcl7K2rjWX9na1O2VCgNX34eLpwsjBRON6UGw=","invert bycatch",,,,,,,,,,"UiQJ6NC02X5uZEcYqJAeU1eiGY+Ji5h+",
"f9f51c48-6c99-44f9-9317-5d4d2e59ce9c","KONZ_008.basePlot.bet","D06","KONZ","KONZ_008","E","2016-06-28","2016-07-12","2016-07-12","2016-07-13",,"KONZ_008.E.20160712","R/i9Sy8Frosif/ugitlydoFmBK2YvS/MlekG/ifBI4Q=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"8185a641-c109-4fdb-ac47-f33c6c20ac42","KONZ_001.basePlot.bet","D06","KONZ","KONZ_001","E","2016-06-28","2016-07-12","2016-07-12","2016-07-14",,"KONZ_001.E.20160712","HFNPNHS/o8WElxkLoZTBDnt0boWeHnyFQhtm3wkQXt8=","invert bycatch",,,,,,,,,,"lX3vzM5VjEiL5o0+CewjLCbxe6oT8o7B",
"24d9c216-8b3b-4ad3-865c-f5268571f1b3","KONZ_004.basePlot.bet","D06","KONZ","KONZ_004","E","2016-06-28","2016-07-12","2016-07-12","2016-07-13",,"KONZ_004.E.20160712","7tcdU9lcb1jAGZSb0tCo6jGVPcCtUKvS3ETQM3+pU2Q=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"316b9ed6-ac59-437b-871e-fde90dcf0d40","KONZ_025.basePlot.bet","D06","KONZ","KONZ_025","E","2016-06-28","2016-07-12","2016-07-12","2016-07-14",,"KONZ_025.E.20160712","dZsQaO9YC66NIg/Jy0UbcCcktoT+YoFDgAF44O1bkNM=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"40d93a68-fe45-4d7f-b6b5-5fb4a055f26c","KONZ_003.basePlot.bet","D06","KONZ","KONZ_003","E","2016-06-28","2016-07-12","2016-07-12","2016-07-13",,"KONZ_003.E.20160712","KsyoFpuhSbJP6E9i258fGDiPPDKVHBIXAwAbEmZsdT0=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"48a17fad-5f73-4878-b230-b5a5310a03d4","KONZ_009.basePlot.bet","D06","KONZ","KONZ_009","E","2016-06-28","2016-07-12","2016-07-12","2016-07-14",,"KONZ_009.E.20160712","80BkEGzwD8ZShCBUyfyr5bo17Y+3xGJVjGT0zTVzwx8=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"5868caa8-48ee-4bc4-80ed-26fa16535cf4","KONZ_005.basePlot.bet","D06","KONZ","KONZ_005","E","2016-06-28","2016-07-12","2016-07-12","2016-07-14",,"KONZ_005.E.20160712","sLTlFxIy7/jLbTGbAvjkGXxtawFXZgy0CNaxr6m8PWA=","invert bycatch",,,,,,,,,,"6pgJy9jRv9PHSDcoyJBm0rFfP22LwuLl",
"3ed64663-177b-4384-8e78-9b39de74f9c7","KONZ_002.basePlot.bet","D06","KONZ","KONZ_002","E","2016-06-28","2016-07-12","2016-07-12","2016-07-12",,"KONZ_002.E.20160712","hd4HYDqAwpLAqFrNmTvwrZWdA6IReEKlXJCo1Y9aILQ=","invert bycatch",,,,,,,,,,"29ijMy9MQrajCm2JLZzgC4i1O6XKx/yF",
"4a8b4e94-c7e4-4793-bbbf-c12279051100","KONZ_006.basePlot.bet","D06","KONZ","KONZ_006","E","2016-06-28","2016-07-12","2016-07-12","2016-07-13",,"KONZ_006.E.20160712","eO41eOee7ng0EfrC2t/zEht0t4Kv5910sWCP7qi7SLs=","invert bycatch",,,,,,,,,,"UiQJ6NC02X5uZEcYqJAeU1eiGY+Ji5h+",
"d2a38b83-d805-40a7-ba71-52a0307800ba","KONZ_007.basePlot.bet","D06","KONZ","KONZ_007","N","2016-06-28","2016-07-12","2016-07-12","2016-07-13",,"KONZ_007.N.20160712","f11juJKcl7K36KgbTWWIf7rgTliCSmbhN63CWZ0sUEc=","invert bycatch",,,,,,,,,,"UiQJ6NC02X5uZEcYqJAeU1eiGY+Ji5h+",
"4e5a60c7-1b59-4bbe-8e50-c8aab441b046","KONZ_008.basePlot.bet","D06","KONZ","KONZ_008","N","2016-06-28","2016-07-12","2016-07-12","2016-07-13",,"KONZ_008.N.20160712","R/i9Sy8FrotkJIl/Rb7+d1/7fzcawCn40Dy482BkFN8=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"8099f3f2-49d0-4375-ab9c-01e6afb572f4","KONZ_004.basePlot.bet","D06","KONZ","KONZ_004","N","2016-06-28","2016-07-12","2016-07-12","2016-07-13",,"KONZ_004.N.20160712","7tcdU9lcb1jWE2Q+/p6cJ3d9fWBvAnIEromGTzd1d3o=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"4d5abee2-a6ea-434b-b630-df2d7bc764fb","KONZ_001.basePlot.bet","D06","KONZ","KONZ_001","N","2016-06-28","2016-07-12","2016-07-12","2016-07-14",,"KONZ_001.N.20160712","HFNPNHS/o8VRvr50X8hpoZgtyufmBlxoXRvmH3Sn7ho=","invert bycatch",,,,,,,,,,"lX3vzM5VjEiL5o0+CewjLCbxe6oT8o7B",
"8462043d-a2d9-4143-b04d-8eaf82fd82ea","KONZ_025.basePlot.bet","D06","KONZ","KONZ_025","N","2016-06-28","2016-07-12","2016-07-12","2016-07-14",,"KONZ_025.N.20160712","dZsQaO9YC65q/Gpjlidq4Oh0AMGNXbPJlIkxtHibYdI=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"bad1ffc9-05f6-4b46-9817-bdb0d185a0f5","KONZ_003.basePlot.bet","D06","KONZ","KONZ_003","N","2016-06-28","2016-07-12","2016-07-12","2016-07-13",,"KONZ_003.N.20160712","KsyoFpuhSbKtrj4BRiKE+9RZ92+GgAU57nhWYvwLCTw=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
