uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,individualID,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationQualifier,sex,morphospeciesID,identificationReferences,identifiedBy,laboratoryName,identificationRemarks,sampleCondition,dnaBarcoded,geneticSampleID,remarks
"c0ab50da-e624-4c75-bd24-970506e84022","UKFS_001.basePlot.bet","D06","UKFS","UKFS_001","2015-07-28","2015-08-11","2017-01-15","NEON.BET.D06.000137","DICELO","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini","Dicaelus","Paradicaelus","elongatus",,"Dicaelus elongatus","Bonelli","species",,"F",,"Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"5418a3e3-99e5-4aff-b272-544598477d67","UKFS_004.basePlot.bet","D06","UKFS","UKFS_004","2015-07-28","2015-08-11","2017-01-15","NEON.BET.D06.000371","DICPUR2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini","Dicaelus","Dicaelus","purpuratus","splendidus","Dicaelus purpuratus splendidus","Say","subspecies",,"F",,"Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"9cdf27c9-8a65-42a6-a1c2-5a8419b60086","UKFS_008.basePlot.bet","D06","UKFS","UKFS_008","2015-07-28","2015-08-11","2017-01-15","NEON.BET.D06.000352","GALATR","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Galeritini","Galerita","Progaleritina","atripes",,"Galerita atripes","LeConte","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"7c1273fc-8290-4a91-bd59-d032c5d395ba","UKFS_005.basePlot.bet","D06","UKFS","UKFS_005","2015-07-28","2015-08-11","2017-01-15","NEON.BET.D06.000467","SCASUB2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Scaritini","Scarites","Scarites","subterraneus",,"Scarites subterraneus","Fabricius","species",,"U",,"Bousquet, Y. and P. E. Skelley. 2010. Description of a New Species of Scarites Fabricius (Coleoptera: Carabidae) from Florida. The Coleopterists Bulletin 64(1): 45-49.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"8e62db3c-a032-498a-b488-2be48201e1ae","UKFS_008.basePlot.bet","D06","UKFS","UKFS_008","2015-07-28","2015-08-11","2017-01-15","NEON.BET.D06.000354","BRAALT","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachininae","Brachinini","Brachinus","Neobrachinus","alternans",,"Brachinus alternans","Dejean","species",,"M",,"Erwin, T. L. 1970a. A Reclassification of Bombardier Beetles and a Taxonomic Revision of the North and Middle American Species (Carabidae: Brachinida). Quaestiones Entomologicae 6:4-215.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"0d8d4558-be63-4c3a-9ca4-d99771f95094","UKFS_008.basePlot.bet","D06","UKFS","UKFS_008","2015-07-28","2015-08-11","2017-01-15","NEON.BET.D06.000350","DICSCU2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini","Dicaelus","Paradicaelus","sculptilis","sculptilis","Dicaelus sculptilis sculptilis","Say","subspecies",,"F",,"Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"0e96a526-f2f1-4411-9490-6ba484a00385","UKFS_006.basePlot.bet","D06","UKFS","UKFS_006","2015-07-28","2015-08-11","2017-01-15","NEON.BET.D06.000334","GALATR","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Galeritini","Galerita","Progaleritina","atripes",,"Galerita atripes","LeConte","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"ca0168dc-00d3-4022-8e9c-a4bc7465206d","UKFS_008.basePlot.bet","D06","UKFS","UKFS_008","2015-07-28","2015-08-11","2017-01-15","NEON.BET.D06.000171","CYCSOD2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","sodalis","sodalis","Cyclotrachelus sodalis sodalis","LeConte","subspecies",,"M",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"7ba42dc5-fedc-4b62-9c82-90c0001e1120","UKFS_008.basePlot.bet","D06","UKFS","UKFS_008","2015-07-28","2015-08-11","2017-01-15","NEON.BET.D06.000175","HARVAG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Harpalus","Pseudoophonus","vagans",,"Harpalus vagans","LeConte","species",,"F",,"Ball, G. E., and J. N. Anderson. 1962. The taxonomy and speciation of Pseudophonus (a subgenus of Harpalus: Haralini: Carabidae, known to occur in North America). The Catholic University of America Press, Washington 17, D. C.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"3eaa19c1-b9db-4020-be6c-859b3fa7d5b2","UKFS_010.basePlot.bet","D06","UKFS","UKFS_010","2015-07-28","2015-08-11","2017-01-15","NEON.BET.D06.000188","CHLNEM","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini","Chlaenius","Chlaeniellus","nemoralis",,"Chlaenius nemoralis","Say","species",,"F",,"Bell, R. T. 1960. A Revision of the Genus Chlaenius Bonelli (Coleoptera, Carabidae) in North America. Miscellaneous Publications of the Entomological Society of America 1:98-166.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
