uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"71da7b11-39a3-412d-9911-6dc8c246de88","UKFS_008.basePlot.bet","D06","UKFS","UKFS_008","E","2015-07-28","2015-08-11","2015-09-30","2015-09-30","5GU/wTV57IUADZuiX4ZHqcUuAExMMAdZlCBVqHVQFO8=","NEON.BET.D06.000483","CARSP14","Carabidae sp.","family",,"Latreille","D06.2015.MorphA","Other",,"77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","Dicaelus with wavy elytra pattern. All black."
"eaf5f56d-5899-4b44-973e-97794685f826","UKFS_005.basePlot.bet","D06","UKFS","UKFS_005","E","2015-07-28","2015-08-11","2015-09-30","2015-09-30","U/hiAoS2t8wcH1I0HKSVBUNivmeXrupf3EJdKtEI5Qo=","NEON.BET.D06.000466","CARSP14","Carabidae sp.","family",,"Latreille","D06.2015.MorphB","Other",,"77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","Cyclotrachelus sp. Black oval pronotum. Notches on the posterolateral angles."
"0f55b93d-468d-43ad-8bd8-1d182de5e9e3","UKFS_009.basePlot.bet","D06","UKFS","UKFS_009","E","2015-07-28","2015-08-11","2015-09-30","2015-09-30","MMz820nXMkl9BrpXOPF+VFZdtJ2WivYSM9jArMAKCA8=","NEON.BET.D06.000488","CARSP14","Carabidae sp.","family",,"Latreille","D06.2015.MorphG","Other",,"77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","Metallic green big headed tiger beetle. Megacephala sp."
"bdaedadc-6fd6-4cda-9dfa-4751526b7a42","UKFS_010.basePlot.bet","D06","UKFS","UKFS_010","E","2015-07-28","2015-08-11","2015-09-30","2015-09-30","26ylXNgyPLyROz6pS2nu9cCHPc4kHGrPuliK5x3eHEE=","NEON.BET.D06.000473","BRAALT","Brachinus alternans","species",,"Dejean",,"Other",,"/sVzRO01Fu+91IQNMsKeUEFazyktd0rY","77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh",
"1be4b67f-2d11-46c8-b2df-d230817229f1","UKFS_006.basePlot.bet","D06","UKFS","UKFS_006","E","2015-07-28","2015-08-11","2015-09-30","2015-09-28","B2YMmw2rf0dJ+PFjWSEvBU8A7LExrAN9kHIlzRzgrak=","NEON.BET.D06.000334","GALATR","Galerita atripes","species",,"LeConte",,"Other",,"77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh",
"5b2991d9-0c34-4ef2-ac18-deaaa3e2b934","UKFS_006.basePlot.bet","D06","UKFS","UKFS_006","E","2015-07-28","2015-08-11","2015-09-30","2015-09-29","B2YMmw2rf0dJ+PFjWSEvBU8A7LExrAN9kHIlzRzgrak=","NEON.BET.D06.000333","GALATR","Galerita atripes","species",,"LeConte",,"Other",,"77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh",
"63c91630-9f5e-4f39-a6ab-11dc81e5d679","UKFS_001.basePlot.bet","D06","UKFS","UKFS_001","E","2015-07-28","2015-08-11","2015-09-30","2015-09-30","W8lw52JMhqCf3upy0dCzjTAS+5ve6fy4D0IDwCqNh/k=","NEON.BET.D06.000135","CARSP14","Carabidae sp.","family",,"Latreille","D06.2015.MorphB","Other",,"77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","Cyclotrachelus sp. Black oval pronotum. Notches on the posterolateral angles."
"e22daca1-7bd7-47fb-9f12-d0377c949e64","UKFS_001.basePlot.bet","D06","UKFS","UKFS_001","E","2015-07-28","2015-08-11","2015-09-30","2015-09-30","W8lw52JMhqCf3upy0dCzjTAS+5ve6fy4D0IDwCqNh/k=","NEON.BET.D06.000136","CARSP14","Carabidae sp.","family",,"Latreille","D06.2015.MorphA","Other",,"77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","Dicaelus with wavy elytra pattern. All black."
"f0651524-233f-4cc3-a24f-8d3d24e107b5","UKFS_001.basePlot.bet","D06","UKFS","UKFS_001","E","2015-07-28","2015-08-11","2015-09-30","2015-09-30","W8lw52JMhqCf3upy0dCzjTJrJRKACbudTSVC8B0Vo5I=","NEON.BET.D06.000137","DICFUR","Dicaelus furvus","species",,"Dejean",,"Other",,"77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh",
"9f839942-18c2-497c-8330-ee0a4f44a414","UKFS_001.basePlot.bet","D06","UKFS","UKFS_001","N","2015-07-28","2015-08-11","2015-09-30","2015-09-30","W8lw52JMhqCv0mgp+Tx3Kd9HBYE9luevMfF+yEK09Rs=","NEON.BET.D06.000487","CARSP14","Carabidae sp.","family",,"Latreille","D06.2015.MorphB","Other",,"77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","77todYjt/jkEGWUHO3SI0BRlGpUHn9Xh","Cyclotrachelus sp. Black oval pronotum. Notches on the posterolateral angles."
