uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"9bd1e71b-5694-4c0b-9c8b-28cc8a3a1851","UKFS_009.basePlot.bet","D06","UKFS","UKFS_009","2016-03-15","2016-03-29","2016-04-01","MMz820nXMkkDZW8IbhB+tR1w3PVIM8zIs5deVNrW/dIae1tOyqgzzZrtEMp657X3mh55lBag3R58P6EfFpeqZeCbejCN2U2WJycwOnXaShd2SCGpaQvxtt8L/ismE0v8RKFobMGS5BE=","MMz820nXMkmX6o4nRbieF2EO2y8XjDJ9",,,
"216a4b58-b2b5-4ebb-9074-49e583830484","UKFS_010.basePlot.bet","D06","UKFS","UKFS_010","2016-03-15","2016-03-29","2016-03-30","26ylXNgyPLz2/v7Yo+EC850RnuNkKX0rd22Hpfc94MltyEMiMPG8uWfCmFG5uNRryw96+Cf/dnV724B8QlsdzIKOmH5Exrlf4FnhR0YoElgUlDENAgtNl0UDGw05lXEg5gnwQROHvE4=","26ylXNgyPLzY02jHh9xGUbwsi4ceUwMj",,,
"e97996dd-d3fe-49a0-9ba8-395224dbaac7","UKFS_007.basePlot.bet","D06","UKFS","UKFS_007","2016-03-15","2016-03-29","2016-03-31","PlyNduRc44SIqYb7paWbbqvQhEew0S+MXcwD3bca9LCynpnvptZB6qDvkz/1zm+2yNeEG2lmjlhBgmKEVnpTzBSQMmYge/PJnA3tK9KL8NL9oW5In7hHWqc8AB9FxofQsGoRfLmvBTo=","PlyNduRc44QVz2hSRWM6qKNyF2h31nmW",,,
"68f3fa95-9009-4f99-aea6-557379ee030c","UKFS_008.basePlot.bet","D06","UKFS","UKFS_008","2016-03-15","2016-03-29","2016-03-31","5GU/wTV57IVEKLA9Z+xT3ngM2kH7YDMpttQXzgXSC6gSz38iyRIPwaJJZDfVq5hq0v9E6xnCL6mDleztnQZVt9/43oeHoRRKosxCoti8fU0cFqupnjHi1KlP/CV2I2xrcMFrpFLgvBs=","5GU/wTV57IVDnyGx2r0TSVm81LY1LcKv",,,
"ec66b3e2-8418-49bb-b0f9-67ba863923f9","UKFS_001.basePlot.bet","D06","UKFS","UKFS_001","2016-03-15","2016-03-29","2016-04-01","W8lw52JMhqDl7BMqk06pwO61EDXaOI9gqo2CV/U/nvfCTqCQjtwGO9Whmu0p5uwGyZPtoPboDxB+ZNXY50ETiJvUOGRq0lSy0Bwtv8D+0SmiNzN4bWug90kD7JNL3wpg16zpu+d0YDY=","W8lw52JMhqBHxhr3z2k72DW8brBQyamL",,,
"73eedf24-6794-4cd3-985b-8dab21932eb2","UKFS_005.basePlot.bet","D06","UKFS","UKFS_005","2016-03-15","2016-03-29","2016-04-01","U/hiAoS2t8yY8eyO0H2Wcdlm548UXXR9VATijUy4YQ1jTEP236VJOwH/nn/9KDFVXmexg7eSMgM4XizPKsqMzpZrEnpNQNCEr4NZgQORLUewtfZPAJKjWvWWcrpIyBCRP2ekOOCL914=","U/hiAoS2t8w9YVLIghbE8TA+N7s2BQ7s",,,
"4ad91a8d-8a05-4ae7-b6a0-642d1546e069","UKFS_004.basePlot.bet","D06","UKFS","UKFS_004","2016-03-15","2016-03-29","2016-03-31","luQoN84IPtF4YntE6fvRT4Iv5tiRqLiCaezfkvKZvqaC9dk1DKxRhRevK65nJ4xyUWcOoQz+TlQh1VUoKE0rIgPvFjEKMZBXDSIVtl2yQstiBSCIUke2owd+T0B92XGLaBsVwueqpp0=","luQoN84IPtEo9mKmhgUmIC/DhSL07wRv",,,
"a40eda71-810a-45ec-892f-e76a40c93bb6","UKFS_002.basePlot.bet","D06","UKFS","UKFS_002","2016-03-15","2016-03-29","2016-04-01","ThLXd3W736+K++ythxWlc1Wdqd6DGAEfdthktZFysDIIxpSY9qd4DKTg3CmODkooBtLpVk/k/9GkWhII2Chaj5m1o0+Bl1tGJsoWGmm77myVI2OC3iTyMsR5OXM4oa6CzqGOY8JA5Tk=","ThLXd3W736+Ic0+uJibyvrs0Ne5OZ7aO",,,
"f6d0819f-f1dc-419c-992e-78566a0d168b","UKFS_003.basePlot.bet","D06","UKFS","UKFS_003","2016-03-15","2016-03-29","2016-03-31","Vl3mTlloYQS3K93B3hhrTB/7RAcpFlbeaOyEfLcY/3NgHTuomJnMcAzHtzv07JAmk1mmAXYt26jlqkmjQNT9euzPc3ZP0rFz4gqjmvxM3pSBIF8zHNSApq8Km6K+mDCrUZB0nbHiK8M=","Vl3mTlloYQTC9cS42FRGwWVjY+GQfvaV",,,
"9f723f47-e200-4836-8ab4-ab0b277f3687","UKFS_006.basePlot.bet","D06","UKFS","UKFS_006","2016-03-15","2016-03-29","2016-04-01","B2YMmw2rf0fKqJoR5iLVqWKrqvSp5IJjXTHMx3/4He3/o16G8hGoHG8w67mxvMQjy7QMk0AbLRF+oFFk+2emlFPlzU0bsIkYOS/c9Wws8WF5xbciU14KUkSjbH2swpNGBYd8No8WHTM=","B2YMmw2rf0crMGpohAq5zOgtOxz7cQSW",,,
