uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"ce8f7e84-3a88-45b3-88ee-4411a0eac51a","UKFS_004.basePlot.bet","D06","UKFS","UKFS_004","E","2016-07-19","2016-08-02","2016-08-03","2016-08-03",,"UKFS_004.E.20160802","luQoN84IPtHCaYA6VZMVVIcsR8fYETTlk08bvipFYZg=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"0968f0ce-70df-473a-a7f5-a04d072f3f40","UKFS_006.basePlot.bet","D06","UKFS","UKFS_006","E","2016-07-19","2016-08-02","2016-08-02","2016-08-02",,"UKFS_006.E.20160802","B2YMmw2rf0fKqJoR5iLVqbepvU2672q0NYU8uzSqEGI=","invert bycatch",,,,,,,,,,"Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN",
"28598cd4-0d83-4b0e-b682-9850c8f4f7b1","UKFS_010.basePlot.bet","D06","UKFS","UKFS_010","E","2016-07-19","2016-08-02","2016-08-03","2016-08-03",,"UKFS_010.E.20160802","26ylXNgyPLz0CvYim5G+Lm6VZZj1A3jcEZyp9kcJunM=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"ee7f4aa4-a198-479a-8f4d-94d097850b4f","UKFS_005.basePlot.bet","D06","UKFS","UKFS_005","E","2016-07-19","2016-08-02","2016-08-02","2016-08-03",,"UKFS_005.E.20160802","U/hiAoS2t8yuXSJQDSN1F/iTS7qqhpyDYCCcYWDkQPQ=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"bae6e3f6-14c0-498c-842a-93013a683b48","UKFS_008.basePlot.bet","D06","UKFS","UKFS_008","E","2016-07-19","2016-08-02","2016-08-02","2016-08-03",,"UKFS_008.E.20160802","5GU/wTV57IVEKLA9Z+xT3nSjXIq6/tENpzdf1i8oioI=","invert bycatch",,,,,,,,,,"sYrV+BI+v9kHEwoFL57IDVz9AwQUWLqs",
"01f12de8-0cc5-4bfe-924a-cea2e0df1be1","UKFS_007.basePlot.bet","D06","UKFS","UKFS_007","E","2016-07-19","2016-08-02","2016-08-02","2016-08-04",,"UKFS_007.E.20160802","PlyNduRc44RhCqvxPKrHNIgE93JwwLZ277p99B8zhI4=","invert bycatch",,,,,,,,,,"Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN",
"862760b6-b1ba-49a9-ad12-2778a667194f","UKFS_001.basePlot.bet","D06","UKFS","UKFS_001","E","2016-07-19","2016-08-02","2016-08-02","2016-08-03",,"UKFS_001.E.20160802","W8lw52JMhqA76wP7DD9mLgYmGyHQlctoeRpErKf5huE=","invert bycatch",,,,,,,,,,"lX3vzM5VjEiL5o0+CewjLCbxe6oT8o7B",
"66618dbf-6cca-4de4-addd-a7cb8f064e20","UKFS_009.basePlot.bet","D06","UKFS","UKFS_009","E","2016-07-19","2016-08-02","2016-08-02","2016-08-02",,"UKFS_009.E.20160802","MMz820nXMknuMjLRf/3LEzVhSDUZSIoc5MkXxIxW2bI=","invert bycatch",,,,,,,,,,"sYrV+BI+v9kHEwoFL57IDVz9AwQUWLqs",
"97ca671e-9e0f-460c-886e-fb0267cdc4b2","UKFS_003.basePlot.bet","D06","UKFS","UKFS_003","E","2016-07-19","2016-08-02","2016-08-03","2016-08-03",,"UKFS_003.E.20160802","Vl3mTlloYQSYGh3PxWCIJATE9vs2v5taiPIOHQu22Tk=","invert bycatch",,,,,,,,,,"sYrV+BI+v9kHEwoFL57IDVz9AwQUWLqs",
"d7317dca-964d-4e32-bd6f-d4851a4ecde5","UKFS_002.basePlot.bet","D06","UKFS","UKFS_002","E","2016-07-19","2016-08-02","2016-08-03","2016-08-03",,"UKFS_002.E.20160802","ThLXd3W736+K++ythxWlcxDp5Oyq1ZRL9hh3iDelYYs=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"3ece5dd4-d6c8-42e5-8b93-e9e1fe3af236","UKFS_002.basePlot.bet","D06","UKFS","UKFS_002","N","2016-07-19","2016-08-02","2016-08-03","2016-08-03",,"UKFS_002.N.20160802","ThLXd3W736/4nvTlmjD8ChXvfa38fVoB9e79IxJkR44=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"a1782b71-f75d-474a-a377-683caa4812c0","UKFS_010.basePlot.bet","D06","UKFS","UKFS_010","N","2016-07-19","2016-08-02","2016-08-03","2016-08-03",,"UKFS_010.N.20160802","26ylXNgyPLzjh7kwqLICByWYw+gcc6N891KxdgAH/5U=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"f39504e4-5661-4947-b0f7-0d0abd1435a7","UKFS_005.basePlot.bet","D06","UKFS","UKFS_005","N","2016-07-19","2016-08-02","2016-08-02","2016-08-03",,"UKFS_005.N.20160802","U/hiAoS2t8w7GjBVfR1oz1Y4jVdWFvAAUO2ltV9Ui9E=","invert bycatch",,,,,,,,,,"BzXmPCNcOOHl9ws4JG7MP7BkkCvctwH+",
"06dadeae-9146-4e8c-9196-6a5f3ec88c17","UKFS_006.basePlot.bet","D06","UKFS","UKFS_006","N","2016-07-19","2016-08-02","2016-08-02","2016-08-02",,"UKFS_006.N.20160802","B2YMmw2rf0cV6f5WOnCoIC44J/DWqCj1WCDedub3gsU=","invert bycatch",,,,,,,,,,"Oad2LKJFK3B2dDlh7YO8Pa8zgFdkkUNN",
