uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"4259ac28-b9c5-4284-bd19-f870e8ecb135","GRSM_013.basePlot.bet","D07","GRSM","GRSM_013","2015-06-29","2015-07-13","2015-07-30","OHmA+Hh/KK5ILbwHoai9POoIuLEerzJXXv0sSFNoDGzr3ceP4rTlvVwLygrGNllcborx1ayvpOlk8vsTYlkVmG4KN4kjYRsrGfLfX3dZZcLPyslhgZNiME4WJc4/Sgb6kPZaV+o4yc4=","OHmA+Hh/KK7EagY0vDrM0oaMstBy7hm9",,,
"6b427027-fef8-4ff0-90df-20063e634ac2","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","2015-06-29","2015-07-13","2015-07-30","lkd2xjHtfy4YKQaZjscCP0TQ67IlFKmSRcwtwUH55FwpwvSScUUNg9dyVt2JmKrCqrwIn02Q+3iI6T8/hf4eBVIUWJB9IMr9j1ANya3WIg88y4F99ZmNDEluBKsyHxsvWxPOqr9lpck=","lkd2xjHtfy5w5UR4Om8qcn4Gv/N3F4nq",,,
"d07f566b-129d-4974-be4e-45d4939f57df","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","2015-06-29","2015-07-13","2015-07-27","oYrZWOmGwleiXjRuq/6PN1oeRyykithc/8mY9LtomZXHcCSiDz+Rv8S0FO63Paetcdd6bpTNQLs=","oYrZWOmGwlfbz3G4KeGcAIaItUaTX8fu",,,
"b6f22c8f-6571-4d6a-a585-f67422da9b57","GRSM_002.basePlot.bet","D07","GRSM","GRSM_002","2015-06-29","2015-07-13","2015-07-27","PXHhN5Qnn1lzIDA4ySahUKTeKTEXnpSWUv7CoHRyMp5aCfIh8kXnrVuIADHGpLiajrghwgkGmiT5nfuDoxQJu/pTqEny6Afr1atb2UYizmNXPRBIf8JKriBdxFz3iNpzUWGxI3Fm5MQ=","PXHhN5Qnn1nlkJGciDAzKHBaEQdWEygQ",,,
"a9107f26-1cd9-42a1-af32-5c33571456f7","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","2015-06-29","2015-07-13","2015-07-27","oYrZWOmGwlecKaQqGXU7tUNx0Q3oiMS5MMiOxtDvWG+tLZXj9kOEjlrx6Ysdwc6jy+9CaG+ZF/k=","oYrZWOmGwlfbz3G4KeGcAINxlsBaKo6o",,,
"52bbfda5-13e8-4345-8f39-685af4e356df","GRSM_009.basePlot.bet","D07","GRSM","GRSM_009","2015-06-30","2015-07-14","2015-07-27","tvtrj6Hle5HnQJo2NYugymuimBNCWI7Lg8rI6Pm5hPyuSH2+tLUYnB++7lkdtNrGrJ7rRLBWebPtwRKUHHPoh3pw+bXVzVk4HLaFoTDhdJ0=","tvtrj6Hle5FQq65da1Gnth1Y3Q4KtwfT",,,
"e4d31e8e-fddb-49e8-a59e-eca0f5131dca","GRSM_008.basePlot.bet","D07","GRSM","GRSM_008","2015-06-30","2015-07-14","2015-10-23","yuRwaxqH2GtqXO/QEoemTBDfupH3mlZvoAG/PDDo0vz6WfmPvajYhEGaXWM9blBkecrCuBtVjCw3uN9eqSYIDXpJuzL4yyCut6mrQn78P83IsHn2FrGA39NWWXDilQoi","yuRwaxqH2GuSDXuhgLjdpdo/CgeLtxJ41OX7JrjzBak=","Carabus goryi",,
"e05e71cc-23c5-441d-9f97-77158b6ac70a","GRSM_012.basePlot.bet","D07","GRSM","GRSM_012","2015-06-30","2015-07-14","2015-07-30","JDiKFzN43ro1fJDP+5Z89pgDk9MAKcq8dM79WDNX60UNXtVvtlr7IVhBoxqF0ecD/3fOmkybjTRIiI4yCRmshNZGph1wGwQzQg2TlCGQIaf/1ROr+9ZUNJ8nGytP8zlgj/E27ndddMk=","JDiKFzN43rqxGgyQGZRMpXM7cemrTXFb",,,
"aec711e1-75d1-45e1-aaec-0292c590990e","GRSM_008.basePlot.bet","D07","GRSM","GRSM_008","2015-06-30","2015-07-14","2015-07-27","yuRwaxqH2GsGncKT59DdoaNGLK5tk1ad5+VkK8LizOpBGtf//nH8p+/7F9fNDQv2PAkcicknZ/5hTJfnaWzD6xRBTtN6ZPvyhDrIWp4DF/EN1zCQq9Xi9PlUJXQG7DuE6XzHGln3qqM=","yuRwaxqH2GuSDXuhgLjdpToSHcfUlmyP",,,
"94688b09-ef43-42b8-9b5a-e1afbbe49e0b","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","2015-07-13","2015-07-27","2015-10-23","oYrZWOmGwlf6oYmqYM+wgwWX5M22beZK46OMg5T4ggDXgDt46QNESLLcvtUVos3XpNRHG8kXR5tzqWmftCQPOw==","oYrZWOmGwlc1iHvUQr/ck/1Y9PHND2KqsJqHQKxPQtE=","Carabus goryi",,
