uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,individualID,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationQualifier,sex,morphospeciesID,identificationReferences,identifiedBy,laboratoryName,identificationRemarks,sampleCondition,dnaBarcoded,geneticSampleID,remarks
"140565c5-8682-4075-9fca-6b925bbd8c02","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","2015-06-29","2015-07-13","2017-01-15","NEON.BET.D07.000738","DICTET","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini","Dicaelus","Paradicaelus","teter",,"Dicaelus teter","Bonelli","species",,"F",,"Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"9f45f6f5-6f94-4742-b379-a5df0f2c7f25","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","2015-06-29","2015-07-13","2017-01-15","NEON.BET.D07.000812","CYCSIG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","sigillatus",,"Cyclotrachelus sigillatus","Say","species",,"M",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"e3a57b5f-7fe1-4d69-92fc-aaa7d79de666","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","2015-06-29","2015-07-13","2017-01-15","NEON.BET.D07.000750","CYCFRE","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Cyclotrachelus","freitagi",,"Cyclotrachelus freitagi","Bousquet","species",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"c2fef328-baa2-4729-9799-b966d0dd2878","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","2015-06-29","2015-07-13","2017-01-15","NEON.BET.D07.000776","PTEACU","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Pterostichus","Cylindrocharis","acutipes",,"Pterostichus acutipes","Barr","species",,"M",,"Barr Jr., T. C. 1971c. The North American Pterostichus of the Subgenus Cylindrocharis Casey (Coleoptera, Carabidae). American Museum Novitates:1-14.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"2ca7f8dc-e190-47b6-b88a-d1e0e3b55f4f","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","2015-06-29","2015-07-13","2017-01-15","NEON.BET.D07.000747","DICDIL1","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini","Dicaelus","Paradicaelus","dilatatus","dilatatus","Dicaelus dilatatus dilatatus","Say","subspecies",,"M",,"Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"ff813f06-c9cb-4ef5-bc3a-b477ceb36b0b","GRSM_013.basePlot.bet","D07","GRSM","GRSM_013","2015-06-29","2015-07-13","2017-01-15","NEON.BET.D07.000767","PTEMOE","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Pterostichus","Eosteropus","moestus",,"Pterostichus moestus","Say","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"32ca5f8f-dac0-4dc8-a8cd-3ffffe4a5cbe","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","2015-06-29","2015-07-13","2017-01-15","NEON.BET.D07.000748","CYCFRE","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Cyclotrachelus","freitagi",,"Cyclotrachelus freitagi","Bousquet","species",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"f0773249-f5ca-4bf8-a90f-9c49a3667026","GRSM_013.basePlot.bet","D07","GRSM","GRSM_013","2015-06-29","2015-07-13","2017-01-15","NEON.BET.D07.000757","CYCFRE","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Cyclotrachelus","freitagi",,"Cyclotrachelus freitagi","Bousquet","species",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"8b3b0c4e-2d11-459a-8a12-a840dfa81d3c","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","2015-06-29","2015-07-13","2017-01-15","NEON.BET.D07.000765","PTEMOE","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Pterostichus","Eosteropus","moestus",,"Pterostichus moestus","Say","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"3ccc578d-ed9f-4bbb-a70b-e5ac8b97751f","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","2015-06-29","2015-07-13","2017-01-15","NEON.BET.D07.000756","CYCFRE","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Cyclotrachelus","freitagi",,"Cyclotrachelus freitagi","Bousquet","species",,"M",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
