uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"1224d7d7-d780-4432-b2b7-d47943361a0e","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","E","2015-06-29","2015-07-13","2015-12-03","2015-12-03","oYrZWOmGwleiXjRuq/6PN2I5FBImoK/cNosJ3qVTWKc=","NEON.BET.D07.000810","CYCSIG","Cyclotrachelus sigillatus","species","cf. species","Say",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"74eefca4-2b24-4e29-a1df-fc647d0e69ca","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","W","2015-06-29","2015-07-13","2015-12-03","2015-12-03","oYrZWOmGwlfydFlBa45kMO1Cd0lNrj85RrqqAtkCMms=","NEON.BET.D07.000803","CYCSIG","Cyclotrachelus sigillatus","species",,"Say",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"56066348-de88-401f-b219-c95c144cfa77","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","E","2015-06-29","2015-07-13","2015-12-02","2015-12-02","lkd2xjHtfy4TEGG0hcsj4IORpbd8bQbB+NBgP7DkW00=","NEON.BET.D07.000752","CYCFRE","Cyclotrachelus freitagi","species",,"Bousquet",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"de638841-945e-4ce1-8aad-da35a590d726","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","E","2015-06-29","2015-07-13","2015-12-02","2015-12-02","lkd2xjHtfy4TEGG0hcsj4IORpbd8bQbB+NBgP7DkW00=","NEON.BET.D07.000748","CYCFRE","Cyclotrachelus freitagi","species",,"Bousquet",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"923c2d72-1aa6-4130-b2ad-28beb84f5d12","GRSM_013.basePlot.bet","D07","GRSM","GRSM_013","E","2015-06-29","2015-07-13","2015-12-02","2015-12-02","OHmA+Hh/KK5wc8KGH7jD3ez3kzJddcp3QHO0D+DsDHM=","NEON.BET.D07.000757","CYCFRE","Cyclotrachelus freitagi","species",,"Bousquet",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"71513dc8-5e1c-4ecd-bc90-cebca6b51228","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","N","2015-06-29","2015-07-13","2015-12-01","2015-12-01","oYrZWOmGwlf6oYmqYM+wgwbXW0O3S8XfMsy22MCVmT4=","NEON.BET.D07.000747","DICDIL5","Dicaelus dilatatus","species",,"Say",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"f9acaaf1-8f8e-4b74-9162-dcc794c43488","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","N","2015-06-29","2015-07-13","2015-12-03","2015-12-03","oYrZWOmGwlf6oYmqYM+wg3fg6rCyu6r+rQwqPeFeJps=","NEON.BET.D07.000812","CYCSIG","Cyclotrachelus sigillatus","species","cf. species","Say",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"7e08097d-9ff8-4466-99ce-4807365bf987","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","N","2015-06-29","2015-07-13","2015-12-03","2015-12-03","oYrZWOmGwlf6oYmqYM+wgwyiNeEmoEJUVcY+RzNjsz0=","NEON.BET.D07.000776","PTEACU","Pterostichus acutipes","species",,"Barr",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"1bd3300b-4af5-4468-bc48-00af6759c1ba","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","N","2015-06-29","2015-07-13","2015-12-01","2015-12-01","lkd2xjHtfy4qoGbbCXCUyiVRD4LzvWetwXNLsVl39fg=","NEON.BET.D07.000738","DICAMB","Dicaelus ambiguus","species",,"LaFerte-Senectere",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"07dda7da-23c4-4628-998c-e4a55992c7e2","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","N","2015-06-29","2015-07-13","2015-12-02","2015-12-02","lkd2xjHtfy4qoGbbCXCUyi7ZHN9l6FUBd8g3J2Ip4I8=","NEON.BET.D07.000765","PTEMOE","Pterostichus moestus","species",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
