uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"38763087-9d60-4dd8-9bfb-9194d195c79a","GRSM_013.basePlot.bet","D07","GRSM","GRSM_013","E","distributed","deciduousForest",35.683381,-83.638146,"WGS84",20.2,561.3,0.3,"2015-10-08","2015-10-22","GRSM.2015.43",14,"Y","GRSM_013.E.20151022","Ok","Ok","Ok","NEON.DOC.014050vH","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON.DOC.014050vH| bout conducted as part of electric fence prototyping"
"a8934f00-b9b5-42a4-af04-c4b0a3d89cb8","GRSM_001.basePlot.bet","D07","GRSM","GRSM_001","E","distributed","deciduousForest",35.684584,-83.532113,"WGS84",20.2,467.0,0.2,"2015-10-08","2015-10-22","GRSM.2015.43",14,"Y","GRSM_001.E.20151022","Ok","Ok","Ok","NEON.DOC.014050vH","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON.DOC.014050vH| bout conducted as part of electric fence prototyping"
"c7cd8688-782b-4acd-917c-c3de02281a53","GRSM_013.basePlot.bet","D07","GRSM","GRSM_013","W","distributed","deciduousForest",35.683381,-83.638146,"WGS84",20.2,561.3,0.3,"2015-10-08","2015-10-22","GRSM.2015.43",14,"Y","GRSM_013.W.20151022","Ok","Ok","Ok","NEON.DOC.014050vH","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON.DOC.014050vH| bout conducted as part of electric fence prototyping"
"3d44ad66-1a3b-433c-8c64-39719df63e25","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","W","distributed","deciduousForest",35.678899,-83.645322,"WGS84",20.2,527.1,0.2,"2015-10-08","2015-10-22","GRSM.2015.43",14,"Y","GRSM_006.W.20151022","Ok","Ok","Ok","NEON.DOC.014050vH","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON.DOC.014050vH| bout conducted as part of electric fence prototyping"
"11df28af-2226-4cda-bc83-8f1ed54e0f89","GRSM_001.basePlot.bet","D07","GRSM","GRSM_001","W","distributed","deciduousForest",35.684584,-83.532113,"WGS84",20.2,467.0,0.2,"2015-10-08","2015-10-22","GRSM.2015.43",14,"Y","GRSM_001.W.20151022","Ok","Ok","Ok","NEON.DOC.014050vH","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON.DOC.014050vH| bout conducted as part of electric fence prototyping"
"edebfb73-9c86-46a9-b579-f90c5626776b","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","E","distributed","deciduousForest",35.678899,-83.645322,"WGS84",20.2,527.1,0.2,"2015-10-08","2015-10-22","GRSM.2015.43",14,"Y","GRSM_006.E.20151022","Ok","Ok","Ok","NEON.DOC.014050vH","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON.DOC.014050vH| bout conducted as part of electric fence prototyping"
"965a0dc0-4350-4927-ad8b-f82a4fbf187a","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","S","distributed","deciduousForest",35.678899,-83.645322,"WGS84",20.2,527.1,0.2,"2015-10-08","2015-10-22","GRSM.2015.43",14,"Y","GRSM_006.S.20151022","Ok","Ok","Ok","NEON.DOC.014050vH","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON.DOC.014050vH| bout conducted as part of electric fence prototyping"
"55f122a1-a32e-4f6f-aae0-77ea29b755de","GRSM_001.basePlot.bet","D07","GRSM","GRSM_001","S","distributed","deciduousForest",35.684584,-83.532113,"WGS84",20.2,467.0,0.2,"2015-10-08","2015-10-22","GRSM.2015.43",14,"Y","GRSM_001.S.20151022","Ok","Ok","Ok","NEON.DOC.014050vH","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON.DOC.014050vH| bout conducted as part of electric fence prototyping"
"bdb40d65-65de-49aa-ba08-086260494539","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","N","distributed","deciduousForest",35.678899,-83.645322,"WGS84",20.2,527.1,0.2,"2015-10-08","2015-10-22","GRSM.2015.43",14,"Y","GRSM_006.N.20151022","Ok","Ok","Ok","NEON.DOC.014050vH","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON.DOC.014050vH| bout conducted as part of electric fence prototyping"
"39d7bec8-2adb-4f3b-91a0-30a19e286444","GRSM_013.basePlot.bet","D07","GRSM","GRSM_013","N","distributed","deciduousForest",35.683381,-83.638146,"WGS84",20.2,561.3,0.3,"2015-10-08","2015-10-22","GRSM.2015.43",14,"Y","GRSM_013.N.20151022","Ok","Ok","Ok","NEON.DOC.014050vH","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON.DOC.014050vH| bout conducted as part of electric fence prototyping"
"749d0a81-e18a-40fa-80eb-85468127a91c","GRSM_001.basePlot.bet","D07","GRSM","GRSM_001","N","distributed","deciduousForest",35.684584,-83.532113,"WGS84",20.2,467.0,0.2,"2015-10-08","2015-10-22","GRSM.2015.43",14,"Y","GRSM_001.N.20151022","Ok","Ok","Ok","NEON.DOC.014050vH","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON.DOC.014050vH| bout conducted as part of electric fence prototyping"
"3b5fac3e-b7e9-475c-861c-5d1c60f8cc8e","GRSM_013.basePlot.bet","D07","GRSM","GRSM_013","S","distributed","deciduousForest",35.683381,-83.638146,"WGS84",20.2,561.3,0.3,"2015-10-08","2015-10-22","GRSM.2015.43",14,"Y","GRSM_013.S.20151022","Ok","Ok","Ok","NEON.DOC.014050vH","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON.DOC.014050vH| bout conducted as part of electric fence prototyping"
