uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"31635570-1997-4db2-a2a3-950e92105249","GRSM_008.basePlot.bet","D07","GRSM","GRSM_008","E","2016-05-31","2016-06-14","2016-06-15","2016-07-05",,"GRSM_008.E.20160614","yuRwaxqH2GskIbeSh8cKQ1iiKSEw9GS5lOOoldTV4+o=","invert bycatch",,,,,,,,,,"B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"aa686eae-1e97-4ebb-8b8b-2f8d09787bd5","GRSM_008.basePlot.bet","D07","GRSM","GRSM_008","N","2016-05-31","2016-06-14","2016-06-15","2016-07-05",,"GRSM_008.N.20160614","yuRwaxqH2GvaUEAI7NPqOCR7OfHk2b2GJg2HkQkFDkM=","invert bycatch",,,,,,,,,,"B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"ca79b69e-2dee-47c5-b25f-23a76eb4eff6","GRSM_008.basePlot.bet","D07","GRSM","GRSM_008","S","2016-05-31","2016-06-14","2016-06-15","2016-09-30","2016-09-30","GRSM_008.S.20160614","yuRwaxqH2GtLRkfGd2xUsfaZRfFTiKbYuUnSAe4GDCI=","carabid","CARGOR","Carabus goryi","species",,"Dejean",,2,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","C/RpfPKb8HTaiQJE7Yod+06R2cjuJOBA","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn","2 Female"
"c0cc266e-04f4-4825-9a6a-86794e6e4bcc","GRSM_008.basePlot.bet","D07","GRSM","GRSM_008","E","2016-05-31","2016-06-14","2016-06-15","2016-09-30","2016-09-30","GRSM_008.E.20160614","yuRwaxqH2GskIbeSh8cKQ6SKsOg7kXLoVPzqhImTVJg=","carabid","CARGOR","Carabus goryi","species",,"Dejean",,6,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","C/RpfPKb8HTaiQJE7Yod+06R2cjuJOBA","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn","3 Male; 3 Female"
"1bfc4931-62d5-4a6b-b5e5-acb4e81fb757","GRSM_020.basePlot.bet","D07","GRSM","GRSM_020","W","2016-05-31","2016-06-14","2016-06-15","2016-07-05",,"GRSM_020.W.20160614","J3ho7XBwJd6CK7eEmLPG9OKzzP1TEH97CZMzdM3JB1E=","invert bycatch",,,,,,,,,,"B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"48823402-8f14-453f-bf95-0fb574b25c63","GRSM_020.basePlot.bet","D07","GRSM","GRSM_020","W","2016-05-31","2016-06-14","2016-06-15","2016-09-30","2016-09-30","GRSM_020.W.20160614","J3ho7XBwJd6CK7eEmLPG9K/NE7KT1HwOm09yCrLzjG0=","carabid","DICTET","Dicaelus teter","species",,"Bonelli",,3,"Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.","C/RpfPKb8HTaiQJE7Yod+06R2cjuJOBA","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn","2 Male; 1 Female"
"735ec1c1-dfc7-4da4-bba8-199ca41bdf77","GRSM_020.basePlot.bet","D07","GRSM","GRSM_020","W","2016-05-31","2016-06-14","2016-06-15","2016-10-05","2016-10-05","GRSM_020.W.20160614","J3ho7XBwJd6CK7eEmLPG9MnRwvkCCubPaSMZppcmPZU=","carabid","APELUC2","Apenes lucidula","species",,"Dejean",,1,"Horn, G. H. 1883. Synopsis of the species of the tribe Lebiini. Transactions of the American Entomological Society and Proceedings of the Entomological Section of the Academy of Natural Sciences 10:126-164.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn","1 Female"
"b7595ba8-b1bc-4bc7-999f-069e5b2d3b93","GRSM_012.basePlot.bet","D07","GRSM","GRSM_012","W","2016-05-31","2016-06-14","2016-06-15","2016-07-05",,"GRSM_012.W.20160614","JDiKFzN43rpLI1Vq0HjqxXDSqk8ZnCN/kUgqHUZ66WI=","invert bycatch",,,,,,,,,,"B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"7623a2ae-f443-4df6-a29d-a47380bd28bb","GRSM_020.basePlot.bet","D07","GRSM","GRSM_020","W","2016-05-31","2016-06-14","2016-06-15","2016-09-30","2016-09-30","GRSM_020.W.20160614","J3ho7XBwJd6CK7eEmLPG9A1VF8No/iW1vMNIC+nsHQE=","carabid","CARGOR","Carabus goryi","species",,"Dejean",,5,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","C/RpfPKb8HTaiQJE7Yod+06R2cjuJOBA","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn","3 Male; 2 Female"
"c6a7a6c7-5c83-4112-a15b-76c6c61e50ba","GRSM_012.basePlot.bet","D07","GRSM","GRSM_012","E","2016-05-31","2016-06-14","2016-06-15","2016-09-30","2016-09-30","GRSM_012.E.20160614","JDiKFzN43roZVsIPJsqVcCkKSB+WBsokKgqFi8IlnwU=","carabid","SPHBIC","Sphaeroderus bicarinatus","species",,"LeConte",,1,"Barr Jr., T. C. 1974a. Key to species and subspecies of Sphaeroderus Dejean.","C/RpfPKb8HTaiQJE7Yod+06R2cjuJOBA","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn","1 Male"
