uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"ea767768-e82b-4c33-ba39-a478ebeb5be6","GRSM_024.basePlot.bet","D07","GRSM","GRSM_024","S","distributed","deciduousForest",35.707281,-83.387956,"WGS84",20.2,624.2,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_024.S.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"3b15d02c-a8ac-4eef-bc86-8cabd9e790e6","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","S","distributed","deciduousForest",35.678899,-83.645322,"WGS84",20.2,527.1,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_006.S.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"f69dc5fc-ce50-42fd-be6b-62a0ba271738","GRSM_001.basePlot.bet","D07","GRSM","GRSM_001","S","distributed","deciduousForest",35.684584,-83.532113,"WGS84",20.2,467.0,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_001.S.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"a1cbea7b-e20b-4bcd-8084-f38638fb4de5","GRSM_008.basePlot.bet","D07","GRSM","GRSM_008","S","distributed","deciduousForest",35.679123,-83.482267,"WGS84",20.2,784.4,0.4,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_008.S.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"8452faf5-bd70-49bd-ac97-3d6194ef2798","GRSM_022.basePlot.bet","D07","GRSM","GRSM_022","S","distributed","deciduousForest",35.685732,-83.397952,"WGS84",20.2,694.4,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_022.S.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"3b1917d4-5110-45c8-bab4-0ce094496eed","GRSM_013.basePlot.bet","D07","GRSM","GRSM_013","S","distributed","deciduousForest",35.683381,-83.638146,"WGS84",20.2,561.3,0.3,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_013.S.20160906","Ok","Disturbed","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn","The trap lid was pulled up but the catch cup was undisturbed."
"33b624ae-ddfa-49a3-a74b-30f0cbf8ca0d","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","W","distributed","deciduousForest",35.664489,-83.524234,"WGS84",20.3,545.3,0.4,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_014.W.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"cc0ccaf8-30a4-43e1-aa6a-fd17b4f13373","GRSM_020.basePlot.bet","D07","GRSM","GRSM_020","W","distributed","deciduousForest",35.703464,-83.361009,"WGS84",20.3,608.4,0.4,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_020.W.20160906","Ok","Ok","Low","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"0054b165-5cd8-4376-857e-1470c4e907c5","GRSM_012.basePlot.bet","D07","GRSM","GRSM_012","W","distributed","deciduousForest",35.670776,-83.481656,"WGS84",20.2,894.2,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_012.W.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"adb709de-f98a-4358-81f4-4f7984265e9f","GRSM_024.basePlot.bet","D07","GRSM","GRSM_024","W","distributed","deciduousForest",35.707281,-83.387956,"WGS84",20.2,624.2,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_024.W.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn","Fence between North and West trap was broken."
"79f41076-e1e0-457f-96ce-af6c66d67d83","GRSM_021.basePlot.bet","D07","GRSM","GRSM_021","W","distributed","deciduousForest",35.719694,-83.403281,"WGS84",20.2,587.9,0.3,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_021.W.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"c5abd833-0638-4e0c-bfa8-b44a68cfe273","GRSM_001.basePlot.bet","D07","GRSM","GRSM_001","W","distributed","deciduousForest",35.684584,-83.532113,"WGS84",20.2,467.0,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_001.W.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"f3123ca7-184f-4960-9a8d-6c7d4a086742","GRSM_008.basePlot.bet","D07","GRSM","GRSM_008","W","distributed","deciduousForest",35.679123,-83.482267,"WGS84",20.2,784.4,0.4,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_008.W.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"f5c4ad26-be76-4830-b6bb-24bff27b8f8e","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","W","distributed","deciduousForest",35.678899,-83.645322,"WGS84",20.2,527.1,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_006.W.20160906","Ok","Disturbed","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn","The west trap lid was partially closed due to large piece of wood falling onto it."
"c1d64df4-7367-4c49-aaa2-526474290184","GRSM_022.basePlot.bet","D07","GRSM","GRSM_022","W","distributed","deciduousForest",35.685732,-83.397952,"WGS84",20.2,694.4,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_022.W.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"9828fb30-9ba7-427a-b325-8ddcb0d04c6f","GRSM_013.basePlot.bet","D07","GRSM","GRSM_013","W","distributed","deciduousForest",35.683381,-83.638146,"WGS84",20.2,561.3,0.3,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_013.W.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"8c472c1c-fd93-4ada-b0b9-f6bf91ad3f3d","GRSM_001.basePlot.bet","D07","GRSM","GRSM_001","E","distributed","deciduousForest",35.684584,-83.532113,"WGS84",20.2,467.0,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_001.E.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"60909828-f92e-47c5-895f-a2e6df95094d","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","E","distributed","deciduousForest",35.678899,-83.645322,"WGS84",20.2,527.1,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_006.E.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"13e5952f-3731-4f9a-9553-ab65d9ac549c","GRSM_008.basePlot.bet","D07","GRSM","GRSM_008","E","distributed","deciduousForest",35.679123,-83.482267,"WGS84",20.2,784.4,0.4,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_008.E.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"658dd7db-5d50-495a-bf85-c556bf142eb2","GRSM_022.basePlot.bet","D07","GRSM","GRSM_022","E","distributed","deciduousForest",35.685732,-83.397952,"WGS84",20.2,694.4,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_022.E.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"68fe1d0f-22ee-435e-b0ac-cd591ba88b31","GRSM_013.basePlot.bet","D07","GRSM","GRSM_013","E","distributed","deciduousForest",35.683381,-83.638146,"WGS84",20.2,561.3,0.3,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_013.E.20160906","Ok","Disturbed","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn","Trap lid was pulled up but the catch cup was undisturbed."
"d4a63148-5534-40bb-8aa6-2200e62d2708","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","E","distributed","deciduousForest",35.664489,-83.524234,"WGS84",20.3,545.3,0.4,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_014.E.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"febf4666-d381-4ecb-ba92-79967f469f6e","GRSM_020.basePlot.bet","D07","GRSM","GRSM_020","E","distributed","deciduousForest",35.703464,-83.361009,"WGS84",20.3,608.4,0.4,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_020.E.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"cad9d490-c293-4e48-83a6-7ca9c8420818","GRSM_012.basePlot.bet","D07","GRSM","GRSM_012","E","distributed","deciduousForest",35.670776,-83.481656,"WGS84",20.2,894.2,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_012.E.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"f516366d-bd09-40fe-9919-7e1b969e6783","GRSM_024.basePlot.bet","D07","GRSM","GRSM_024","E","distributed","deciduousForest",35.707281,-83.387956,"WGS84",20.2,624.2,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_024.E.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"6faf8259-d54b-4820-b1f7-6ba5759fa763","GRSM_021.basePlot.bet","D07","GRSM","GRSM_021","E","distributed","deciduousForest",35.719694,-83.403281,"WGS84",20.2,587.9,0.3,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_021.E.20160906","Ok","Ok","High","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"6f1b9353-1275-424c-b88d-16a6a237bbc8","GRSM_021.basePlot.bet","D07","GRSM","GRSM_021","N","distributed","deciduousForest",35.719694,-83.403281,"WGS84",20.2,587.9,0.3,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_021.N.20160906","Ok","Ok","High","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"ed019f87-dbe4-4dcd-8d64-6e6a2b8198d7","GRSM_001.basePlot.bet","D07","GRSM","GRSM_001","N","distributed","deciduousForest",35.684584,-83.532113,"WGS84",20.2,467.0,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_001.N.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"d8a239d2-7891-4655-9dbf-8b87f8a3ff31","GRSM_006.basePlot.bet","D07","GRSM","GRSM_006","N","distributed","deciduousForest",35.678899,-83.645322,"WGS84",20.2,527.1,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_006.N.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"b1dfacf1-e7f8-4e44-9343-3767c215d6a1","GRSM_013.basePlot.bet","D07","GRSM","GRSM_013","N","distributed","deciduousForest",35.683381,-83.638146,"WGS84",20.2,561.3,0.3,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_013.N.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"48a09fa4-72ac-4ef9-bda9-48e5ca4e4380","GRSM_014.basePlot.bet","D07","GRSM","GRSM_014","N","distributed","deciduousForest",35.664489,-83.524234,"WGS84",20.3,545.3,0.4,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_014.N.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"131897a5-a3bc-455f-9dd3-5fc98af633a8","GRSM_012.basePlot.bet","D07","GRSM","GRSM_012","N","distributed","deciduousForest",35.670776,-83.481656,"WGS84",20.2,894.2,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_012.N.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"01018888-996b-408b-b92a-346a39a8efad","GRSM_008.basePlot.bet","D07","GRSM","GRSM_008","N","distributed","deciduousForest",35.679123,-83.482267,"WGS84",20.2,784.4,0.4,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_008.N.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"d721f2b8-9a4c-4fa8-9287-45cb05ebcd9d","GRSM_024.basePlot.bet","D07","GRSM","GRSM_024","N","distributed","deciduousForest",35.707281,-83.387956,"WGS84",20.2,624.2,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_024.N.20160906","Ok","Disturbed","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"55f080db-a1d5-492c-baaa-95fdeea49c8f","GRSM_022.basePlot.bet","D07","GRSM","GRSM_022","N","distributed","deciduousForest",35.685732,-83.397952,"WGS84",20.2,694.4,0.2,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_022.N.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"f51287ca-c3b7-4960-bb28-dc796786ea19","GRSM_020.basePlot.bet","D07","GRSM","GRSM_020","N","distributed","deciduousForest",35.703464,-83.361009,"WGS84",20.3,608.4,0.4,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_020.N.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"14b7c0de-70e7-4f5e-b5b6-c4aef8d04fb7","GRSM_020.basePlot.bet","D07","GRSM","GRSM_020","S","distributed","deciduousForest",35.703464,-83.361009,"WGS84",20.3,608.4,0.4,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_020.S.20160906","Ok","Ok","Ok","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
"94af4806-3091-460a-a891-36e16d69a8a1","GRSM_021.basePlot.bet","D07","GRSM","GRSM_021","S","distributed","deciduousForest",35.719694,-83.403281,"WGS84",20.2,587.9,0.3,"2016-08-23","2016-09-06","GRSM.2016.36",14,"Y","GRSM_021.S.20160906","Ok","Ok","High","NEON.DOC.014050vH","B89Z/IeBZxVUVqkZavcPJo3avqhPk8Rn",
