uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"367953bc-ffa0-4ed5-9a07-1a6bc9c310fb","ORNL_003.basePlot.bet","D07","ORNL","ORNL_003","E","2015-04-14","2015-04-28","2015-04-29","2015-04-29",,"ORNL_003.E.20150428","952sL8sB3/h2TT0K/Ylt7/J/wo6r2UhVpBO5WOpNE3M=","invert bycatch",,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"4fb5aa39-c9d6-4955-9209-679719b6d0db","ORNL_006.basePlot.bet","D07","ORNL","ORNL_006","E","2015-04-14","2015-04-28","2015-04-29","2015-09-22","2015-12-01","ORNL_006.E.20150428","XUOG9+A5sINoJKEYMg8kZyQ5bmxL8rJAPQooRCtFxAo=","carabid","CYCFUC","Cyclotrachelus fucatus","species",,"Freitag",,2,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"f83d52c7-c4e2-4c9f-a088-0f12110499a8","ORNL_001.basePlot.bet","D07","ORNL","ORNL_001","E","2015-04-14","2015-04-28","2015-04-29","2015-04-30",,"ORNL_001.E.20150428","1iGudFvILgm0UcmM/Z77UavlAtgom5K66Wbr1BvpQVk=","invert bycatch",,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"d4af3576-bb88-4ed4-b547-6edbf048c031","ORNL_006.basePlot.bet","D07","ORNL","ORNL_006","E","2015-04-14","2015-04-28","2015-04-29","2015-05-04",,"ORNL_006.E.20150428","XUOG9+A5sINoJKEYMg8kZxg0XPn0ZEZAHmHu8Nto/Bg=","invert bycatch",,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"ca98911a-b165-4826-b53b-67d64ce01238","ORNL_002.basePlot.bet","D07","ORNL","ORNL_002","E","2015-04-14","2015-04-28","2015-04-29","2015-05-04",,"ORNL_002.E.20150428","FcwZvbWDjdh2nEV81XXsFPwCKbalXCZfuCFJk04usTc=","invert bycatch",,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"985a8f18-a78c-4642-8494-e0de8a185b6c","ORNL_021.basePlot.bet","D07","ORNL","ORNL_021","E","2015-04-14","2015-04-28","2015-04-29","2015-04-29",,"ORNL_021.E.20150428","LlqcsvOjN4AKh2eXWBoiFx5JPDf8q5V9Jw+EFd6uk5c=","invert bycatch",,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"171c6509-163f-4dca-8e9f-3581002c8763","ORNL_031.basePlot.bet","D07","ORNL","ORNL_031","E","2015-04-14","2015-04-28","2015-04-29","2015-04-29",,"ORNL_031.E.20150428","G1V5MttZ4JKiz4rd8C+YpJrFqimVaYaAKg/S65YpbrY=","invert bycatch",,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"9b9fbb47-5187-4b5d-8b33-9ae51dc8f19a","ORNL_031.basePlot.bet","D07","ORNL","ORNL_031","E","2015-04-14","2015-04-28","2015-04-29","2015-09-23","2015-12-01","ORNL_031.E.20150428","G1V5MttZ4JKiz4rd8C+YpJ93Cekiqp+kXQs2yexuRhA=","carabid","AGOCON","Agonoleptus conjunctus","species","cf. species","Say",,1,"Bousquet, Y., and P. W. Messer. 2010. Redescription of Stenolophus thoracicus Casey (Coleoptera, Carabidae, Harpalini), a valid species. ZooKeys 53:25-31.","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"877ea243-fe06-4b60-9b1a-1a679e278272","ORNL_032.basePlot.bet","D07","ORNL","ORNL_032","N","2015-04-14","2015-04-28","2015-04-29","2015-05-01",,"ORNL_032.N.20150428","DcTblkLRhleTJXUw9utJ+j5ajY0CahMFHFkzgKU61LU=","invert bycatch",,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"4e9b27cc-0c67-404c-b039-00595b505f1c","ORNL_006.basePlot.bet","D07","ORNL","ORNL_006","N","2015-04-14","2015-04-28","2015-04-29","2015-05-04",,"ORNL_006.N.20150428","XUOG9+A5sINkxfsCut298bTMJnRdkc46ndWNdj2sU54=","invert bycatch",,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
