uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"ce3683ba-8dd2-4153-a502-72d847c877ee","ORNL_001.basePlot.bet","D07","ORNL","ORNL_001","S","distributed","deciduousForest",35.930250,-84.270110,"WGS84",20.2,244.6,0.3,"2015-05-26","2015-06-09","ORNL.2015.24",14,"Y","ORNL_001.S.20150609","Ok","Ok","High","NEON.DOC.014050vG","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON. DOC.014050vF"
"67e347d8-d3c3-4f25-9954-683237d9ea4a","ORNL_029.basePlot.bet","D07","ORNL","ORNL_029","S","distributed","evergreenForest",35.957646,-84.261838,"WGS84",20.1,272.5,0.2,"2015-05-26","2015-06-09","ORNL.2015.24",14,"Y","ORNL_029.S.20150609","Disturbed","Ok","Ok","NEON.DOC.014050vG","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke","used NEON. DOC.014050vF. Cup had large gaps around it in the ground, as if the soil had been dug out. Cup fixed and reset."
"25c54055-4b27-411e-8c04-8549f44bf21a","ORNL_002.basePlot.bet","D07","ORNL","ORNL_002","W","distributed","deciduousForest",35.982205,-84.212754,"WGS84",20.2,306.9,0.4,"2015-05-26","2015-06-09","ORNL.2015.24",14,"Y","ORNL_002.W.20150609","Ok","Ok","High","NEON.DOC.014050vG","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke","used NEON. DOC.014050vF"
"13de2bfa-0c02-492e-ab5b-13863a5dc496","ORNL_006.basePlot.bet","D07","ORNL","ORNL_006","W","distributed","deciduousForest",35.938232,-84.323686,"WGS84",20.2,283.6,0.2,"2015-05-26","2015-06-09","ORNL.2015.24",14,"Y","ORNL_006.W.20150609","Ok","Ok","High","NEON.DOC.014050vG","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON. DOC.014050vF"
"01a546f5-fcad-4971-9a0b-1b2c7af2dd4d","ORNL_004.basePlot.bet","D07","ORNL","ORNL_004","W","distributed","deciduousForest",35.907947,-84.275213,"WGS84",20.2,296.1,0.2,"2015-05-26","2015-06-09","ORNL.2015.24",14,"Y","ORNL_004.W.20150609","Ok","Ok","Ok","NEON.DOC.014050vG","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON. DOC.014050vF"
"e4a23c94-0dc7-469e-8680-4e25985146f4","ORNL_031.basePlot.bet","D07","ORNL","ORNL_031","W","distributed","pastureHay",35.948607,-84.221913,"WGS84",20.1,266.7,0.1,"2015-05-26","2015-06-09","ORNL.2015.24",14,"Y","ORNL_031.W.20150609","Ok","Ok","Ok","NEON.DOC.014050vG","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke","used NEON. DOC.014050vF"
"eb1d8ffb-dfad-4273-a355-a5abf19b41ca","ORNL_021.basePlot.bet","D07","ORNL","ORNL_021","W","distributed","pastureHay",35.955641,-84.221347,"WGS84",20.1,277.6,0.1,"2015-05-26","2015-06-09","ORNL.2015.24",14,"Y","ORNL_021.W.20150609","Ok","Ok","Ok","NEON.DOC.014050vG","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke","used NEON. DOC.014050vF"
"978d68bd-fb13-434e-928b-d89ca612808f","ORNL_027.basePlot.bet","D07","ORNL","ORNL_027","W","distributed","evergreenForest",35.916311,-84.263280,"WGS84",20.3,245.6,0.3,"2015-05-26","2015-06-09","ORNL.2015.24",14,"Y","ORNL_027.W.20150609","Ok","Ok","Ok","NEON.DOC.014050vG","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON. DOC.014050vF"
"1d3b08eb-cf17-4e3c-a5f8-241840484e10","ORNL_032.basePlot.bet","D07","ORNL","ORNL_032","W","distributed","evergreenForest",35.944516,-84.326492,"WGS84",20.2,263.1,0.2,"2015-05-26","2015-06-09","ORNL.2015.24",14,"Y","ORNL_032.W.20150609","Ok","Ok","Ok","NEON.DOC.014050vG","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ","used NEON. DOC.014050vF"
"6c44ccaa-9ac8-4b62-859a-17c6f1a53605","ORNL_003.basePlot.bet","D07","ORNL","ORNL_003","W","distributed","deciduousForest",35.965869,-84.230640,"WGS84",20.2,262.0,0.3,"2015-05-26","2015-06-09","ORNL.2015.24",14,"Y","ORNL_003.W.20150609","Ok","Ok","Ok","NEON.DOC.014050vG","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke","used NEON. DOC.014050vF. Large blow-down of trees in the plot. Traps not reset due to safety hazard."
