uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,individualID,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationQualifier,sex,morphospeciesID,identificationReferences,identifiedBy,laboratoryName,identificationRemarks,sampleCondition,dnaBarcoded,geneticSampleID,remarks
"edfa62f8-d44d-4efb-a21d-c8c6ccbd4fdb","ORNL_032.basePlot.bet","D07","ORNL","ORNL_032","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000534","CYLUNI","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini","Cylindera","Cylindera","unipunctata",,"Cylindera unipunctata","Fabricius","species",,"F",,"Pearson, D., C. B. Knisley, and C. J. Kazilek. 2006. A Field Guide to the Tiger Beetles of the United States and Canada: Identification, Natural History, and Distribution of the Cicindelidae. Oxford University Press, New York.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"2c8934f6-e314-432e-a827-3d1c7fab22fc","ORNL_027.basePlot.bet","D07","ORNL","ORNL_027","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000695","PTESTY","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Pterostichus","Euferonia","stygicus",,"Pterostichus stygicus","Say","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"fd4d5b51-4a32-480a-87c7-24c6cac817df","ORNL_021.basePlot.bet","D07","ORNL","ORNL_021","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000723","AGOTHO1","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Agonoleptus",,"thoracicus",,"Agonoleptus thoracicus","Casey","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"e6b004eb-e885-4733-b4b4-4339c4b88591","ORNL_031.basePlot.bet","D07","ORNL","ORNL_031","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000721","TRIFUL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Trichotichnus","Iridessus","fulgens",,"Trichotichnus fulgens","Csiki","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"0064578d-3de4-48db-8646-c2c08c76913a","ORNL_021.basePlot.bet","D07","ORNL","ORNL_021","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000720","TRIFUL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Trichotichnus","Iridessus","fulgens",,"Trichotichnus fulgens","Csiki","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"c8397280-6d4b-47d1-b3f6-cec1c6c1b490","ORNL_031.basePlot.bet","D07","ORNL","ORNL_031","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000710","HARPEN","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Harpalus","Pseudoophonus","pensylvanicus",,"Harpalus pensylvanicus","DeGeer","species",,"F",,"Ball, G. E., and J. N. Anderson. 1962. The taxonomy and speciation of Pseudophonus (a subgenus of Harpalus: Haralini: Carabidae, known to occur in North America). The Catholic University of America Press, Washington 17, D. C.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"2fedb7ed-9fa3-4774-843e-139decf9ef54","ORNL_027.basePlot.bet","D07","ORNL","ORNL_027","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000664","CYCSIG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","sigillatus",,"Cyclotrachelus sigillatus","Say","species",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"e419f40a-4fb0-47ae-b722-54db4225b313","ORNL_006.basePlot.bet","D07","ORNL","ORNL_006","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000673","CYCSIG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","sigillatus",,"Cyclotrachelus sigillatus","Say","species",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"88f925e2-b583-49e7-9be4-2d0383ed9fd2","ORNL_031.basePlot.bet","D07","ORNL","ORNL_031","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000637","ANIMER2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Anisodactylus","Gynandrotarsus","merula",,"Anisodactylus merula","Germar","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology","lacks elytral humeral denticle","No known compromise","N",,
"4873af00-6577-48e6-8f74-6c04e702d036","ORNL_031.basePlot.bet","D07","ORNL","ORNL_031","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000653","ANIMER2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Anisodactylus","Gynandrotarsus","merula",,"Anisodactylus merula","Germar","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology","lacks elytral humeral denticle","No known compromise","N",,
"5345926d-568f-4a6b-8240-87ab5b81adc8","ORNL_031.basePlot.bet","D07","ORNL","ORNL_031","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000652","ANIMER2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Anisodactylus","Gynandrotarsus","merula",,"Anisodactylus merula","Germar","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology","lacks elytral humeral denticle","No known compromise","N",,
"5d3484ac-7bb9-4d1f-9d75-7c13cf8fd793","ORNL_031.basePlot.bet","D07","ORNL","ORNL_031","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000654","ANIMER2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Anisodactylus","Gynandrotarsus","merula",,"Anisodactylus merula","Germar","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology","lacks elytral humeral denticle","No known compromise","N",,
"9eee3f1f-8c3b-4492-bd5d-dc9549f9b592","ORNL_031.basePlot.bet","D07","ORNL","ORNL_031","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000649","ANIMER2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Anisodactylus","Gynandrotarsus","merula",,"Anisodactylus merula","Germar","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology","lacks elytral humeral denticle","No known compromise","N",,
"8c9d431c-367f-484e-9f99-e959689e146a","ORNL_029.basePlot.bet","D07","ORNL","ORNL_029","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000668","CYCSIG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","sigillatus",,"Cyclotrachelus sigillatus","Say","species",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"ec96ff92-bdf8-4512-b12d-54393edbb9d4","ORNL_002.basePlot.bet","D07","ORNL","ORNL_002","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000669","CYCSIG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","sigillatus",,"Cyclotrachelus sigillatus","Say","species",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"29b96b91-0124-4dad-b33c-9a96c4ec04d3","ORNL_031.basePlot.bet","D07","ORNL","ORNL_031","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000636","ANIMER2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Anisodactylus","Gynandrotarsus","merula",,"Anisodactylus merula","Germar","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology","lacks elytral humeral denticle","No known compromise","N",,
"c03bed71-cf2d-4505-b96e-8a663d32b853","ORNL_032.basePlot.bet","D07","ORNL","ORNL_032","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000618","CYCFUC","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Cyclotrachelus","fucatus",,"Cyclotrachelus fucatus","Freitag","species",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"fd90472d-fbf8-45a3-bd48-b8d4391c1563","ORNL_029.basePlot.bet","D07","ORNL","ORNL_029","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000633","CYCSOD2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","sodalis","sodalis","Cyclotrachelus sodalis sodalis","LeConte","subspecies",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"9847d1dc-6a96-4780-b951-ce53d49db98c","ORNL_002.basePlot.bet","D07","ORNL","ORNL_002","2015-06-23","2015-07-07","2017-01-15","NEON.BET.D07.000602","MYACOR","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Myas","Trigonognatha","coracinus",,"Myas coracinus","Say","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
