uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"701fdba2-7e5a-477e-b3cb-0d9e316980c4","ORNL_029.basePlot.bet","D07","ORNL","ORNL_029","W","2015-08-18","2015-09-01","2015-10-20","2015-12-01","7LdWMHVTMyRBOv5F1sgxPx9RQxic9mMDhiiZ1VxH7Cs=","NEON.BET.D07.000680","CYCSIG","Cyclotrachelus sigillatus","species","cf. species","Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","Used NEON.DOC.014050vJ"
"8f6e1abc-e46c-483c-b996-2d79b0d6b4a8","ORNL_029.basePlot.bet","D07","ORNL","ORNL_029","W","2015-08-18","2015-09-01","2015-10-20","2015-12-01","7LdWMHVTMyRBOv5F1sgxPx9RQxic9mMDhiiZ1VxH7Cs=","NEON.BET.D07.000679","CYCSIG","Cyclotrachelus sigillatus","species","cf. species","Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","Used NEON.DOC.014050vJ"
"95dacb5e-76cf-42d2-8fc0-7522e561ae07","ORNL_027.basePlot.bet","D07","ORNL","ORNL_027","W","2015-08-18","2015-09-01","2015-10-20","2015-12-01","di/gYcSB3uAZjZtXyGfB77RvKdESvXSd3j8Ha3biTK0=","NEON.BET.D07.000686","CYCSIG","Cyclotrachelus sigillatus","species","cf. species","Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","Used NEON.DOC.014050vJ"
"54c177b8-dc7c-4212-905e-e8906c10ee70","ORNL_027.basePlot.bet","D07","ORNL","ORNL_027","W","2015-08-18","2015-09-01","2015-10-20","2015-12-01","di/gYcSB3uAZjZtXyGfB7/NrqLSOE86mT0vcQ/Bo7Ok=","NEON.BET.D07.000729","CALGRE","Calathus gregarius","species","cf. species","Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"0ea0208f-b877-4ca3-ae18-e868b34b0572","ORNL_003.basePlot.bet","D07","ORNL","ORNL_003","S","2015-08-18","2015-09-01","2015-10-18","2015-12-01","952sL8sB3/gUsTX8RzkXgeptDnqi/IBpc9UbBxUU6qQ=","NEON.BET.D07.000529","GALBIC","Galerita bicolor","species",,"Drury",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"91cac51d-8bf5-4e27-98d6-c9fe26ff30a3","ORNL_032.basePlot.bet","D07","ORNL","ORNL_032","S","2015-08-18","2015-09-01","2015-10-20","2015-12-01","DcTblkLRhldYsz9PzbD5PL4HX0ZOegBx0YrxA/hfbW8=","NEON.BET.D07.000674","CYCSIG","Cyclotrachelus sigillatus","species",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","Used NEON.DOC.014050vJ"
"889a3e18-05ef-46bb-be50-2ef3c027c68a","ORNL_032.basePlot.bet","D07","ORNL","ORNL_032","S","2015-08-18","2015-09-01","2015-10-20","2015-12-01","DcTblkLRhldYsz9PzbD5PHjCNTtdM+SaY+J5mwgyDhc=","NEON.BET.D07.000692","PTESTY","Pterostichus stygicus","species",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","Used NEON.DOC.014050vJ"
"1b8b0d6c-a659-426c-9611-419f59dbe416","ORNL_002.basePlot.bet","D07","ORNL","ORNL_002","S","2015-08-18","2015-09-01","2015-10-18","2015-12-01","FcwZvbWDjdiBGB4cwukFnZj6X685wpgNKZl6G1GvaQU=","NEON.BET.D07.000573","PASPUN","Pasimachus punctulatus","species",,"Haldeman",,"Purrington, F., and C. J. Drake. 2005. A key to adult Nearctic Pasimachus (Pasimachus) Bonelli (Coleoptera: Carabidae: Scaritini), with comments on their functional mouthpart morphology. Entomological News 116:253-262.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
"a0176263-a4ef-4cc2-a920-f5e850eb6def","ORNL_006.basePlot.bet","D07","ORNL","ORNL_006","N","2015-08-18","2015-09-01","2015-10-20","2015-12-01","XUOG9+A5sINkxfsCut298W92MvJP/TVYv9MG4UPkmqw=","NEON.BET.D07.000671","CYCSIG","Cyclotrachelus sigillatus","species",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","Used NEON.DOC.014050vJ"
"0cabe09d-f39c-42a2-bf18-752104ef5072","ORNL_002.basePlot.bet","D07","ORNL","ORNL_002","N","2015-08-18","2015-09-01","2015-10-18","2015-12-01","FcwZvbWDjdhVJ2nKBeEZ8d/bXohNCwzErbBPuBtyGcw=","NEON.BET.D07.000581","DICDIL5","Dicaelus dilatatus","species",,"Say",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","used NEON.DOC.014050vJ"
