uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"d3208c73-c9e4-4283-a70e-c7eeca07a42d","DELA_004.basePlot.bet","D08","DELA","DELA_004","N","2015-06-24","2015-07-08","2015-07-09","2015-07-10",,"DELA_004.N.20150708","kLBVbtba3oCpWhWGkB7vLWN/YymSoOJ8PJp97/MWMPY=","invert bycatch",,,,,,,,,,"zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt",
"e39e2ed5-143b-4292-a2fa-8b656577422e","DELA_007.basePlot.bet","D08","DELA","DELA_007","N","2015-06-24","2015-07-08","2015-07-09","2015-07-10",,"DELA_007.N.20150708","GZ/vvgwSrsD4AhdtPU/Hf9msXco/menLdMaDmCG+mYA=","invert bycatch",,,,,,,,,,"zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt",
"4e3db38c-7416-4b93-90e3-85c7a2489046","DELA_002.basePlot.bet","D08","DELA","DELA_002","S","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-11-17","DELA_002.S.20150708","6LcBYkvTypQV4VlYwiMSRT+1TfJgcLY6phb5P3aFdPo=","carabid","BRAALT","Brachinus alternans","species","cf. species","Dejean",,1,"Erwin, T. L. 1970b. The Nearctic Species of the Genus Leistus Frolich. Pan Pacific Entomologist 46:111-119.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt",
"76f65437-0829-4730-a136-b50a9705d173","DELA_007.basePlot.bet","D08","DELA","DELA_007","S","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-11-17","DELA_007.S.20150708","GZ/vvgwSrsDocZlGVQA1fR6Cn58cGjrDi/+8aBmihF8=","carabid","CHLERY","Chlaenius erythropus","species",,"Germar",,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","A similar species, C. fuscicornis exists in this region and is known to be sympatric with C. erythropus. The lighter colored antenna and tarsi, as well as the aedeagus indicated C. erythropus. All specimens exhibited a highly sinuate pronotum."
"1b6f6919-67a8-4bca-8c70-52193607ac5a","DELA_002.basePlot.bet","D08","DELA","DELA_002","S","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-11-17","DELA_002.S.20150708","6LcBYkvTypQV4VlYwiMSRX+pukAOJ9r8KCrY6o8oaG0=","carabid","LOXERR","Loxandrus erraticus","species","cf. species","Dejean",,1,"Allen, R. T. 1972. A revision of the genus Loxandrus Leconte (Coleoptera: Carabidae) in North America. Entomologica Americana 46:1-184.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt",
"8829806f-78eb-4e8c-9223-3bb6315a4a7e","DELA_007.basePlot.bet","D08","DELA","DELA_007","S","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-11-17","DELA_007.S.20150708","GZ/vvgwSrsDocZlGVQA1fRgzD+AuiOBmYROpal4BVeg=","carabid","BRAALT","Brachinus alternans","species","cf. species","Dejean",,2,"Erwin, T. L. 1970b. The Nearctic Species of the Genus Leistus Frolich. Pan Pacific Entomologist 46:111-119.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","Similar species B. virdipennis, exists in this range. Within a trap colors rang from blue to green, and many inbetween. The aedeagus provided few clues, while the broad stylus of females (in both green and blue variations) indicate B. alternans."
"db3cfd5d-fb29-49e4-96f2-e249b1fb2b3b","DELA_002.basePlot.bet","D08","DELA","DELA_002","S","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-11-17","DELA_002.S.20150708","6LcBYkvTypQV4VlYwiMSReXp7fkJPbSMe5+BFgP2TtE=","carabid","CARSP14","Carabidae sp.","family","cf. species","Latreille","D08.2015.MorphAF",1,"Will, K. W. 1999. Systematics and zoogeography of the genus Lophoglossus Leconte (Coleoptera Carabidae Pterostichini). Pages 259-276 in A. Zamotajlov and R. Sciaky, editors. Advances in Carabidology. MUISO Publishers.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","Possibly Lophoglossus haldemanni. One specimen depicted the typical traits of L. haldemanni in it's large size and features in the aedeagus. The other specimens have not been further examined, but are likely also L. haldemanni."
"42ac9839-c927-4fcb-b80a-a72ace21ac22","DELA_002.basePlot.bet","D08","DELA","DELA_002","S","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-11-17","DELA_002.S.20150708","6LcBYkvTypQV4VlYwiMSRYgIj9fJA/+RawhZpB/2WDY=","carabid","CHLERY","Chlaenius erythropus","species",,"Germar",,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt",
"5cf0846f-57d1-4b19-9445-d86f2aa15839","DELA_009.basePlot.bet","D08","DELA","DELA_009","S","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-11-17","DELA_009.S.20150708","eBGatXMaS/fjZIw0XapQ/KyvNF9sXaJawtSewd4vBdw=","carabid","SEMPUN","Semiardistomis puncticollis","species",,"Dejean",,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt",
"9148f326-60d1-4791-8c21-1494026ae134","DELA_014.basePlot.bet","D08","DELA","DELA_014","S","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-11-17","DELA_014.S.20150708","KHTO3U6H8sqV7xWy8OMV0onoXbfkmljQ3+K3onOGOuI=","carabid","DICFUR1","Dicaelus furvus carinatus","subspecies",,"Dejean",,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt",
"54de4e0f-f82f-4c6f-a397-73939c130ebc","DELA_005.basePlot.bet","D08","DELA","DELA_005","W","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-11-17","DELA_005.W.20150708","2SnNEOw2TDKd9E3k3YMEKFOIw4jTwjrqSZ421ya0ORg=","carabid","CHLAES","Chlaenius aestivus","species",,"Say",,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt",
"b422d27c-85e7-47f5-bbae-7fc51b82b5fc","DELA_004.basePlot.bet","D08","DELA","DELA_004","W","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-11-17","DELA_004.W.20150708","kLBVbtba3oCtSl5LVryuB1hSaXrR5iDRDsWVZ7tmLFQ=","carabid","SCASUB2","Scarites subterraneus","species",,"Fabricius",,1,"Bousquet, Y. and P. E. Skelley. 2010. Description of a New Species of Scarites Fabricius (Coleoptera: Carabidae) from Florida. The Coleopterists Bulletin 64(1): 45-49.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt",
"30e6f30c-5691-4c44-ad12-f3869b17822b","DELA_006.basePlot.bet","D08","DELA","DELA_006","W","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-11-17","DELA_006.W.20150708","TJ0QPMK4AIwK7ytcnTZjlUUfxHHssmaCiNpxFbvR2yQ=","carabid","DICFUR1","Dicaelus furvus carinatus","subspecies",,"Dejean",,2,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt",
"3429f4e2-3afb-4531-8ab3-462582f17b3a","DELA_002.basePlot.bet","D08","DELA","DELA_002","W","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-11-17","DELA_002.W.20150708","6LcBYkvTypSx/hXWOvyqB4mImyPDMrFmvt/lOLTeSPI=","carabid","CHLERY","Chlaenius erythropus","species",,"Germar",,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt",
"5ffcc600-56fd-4abb-8845-ef412fb94483","DELA_001.basePlot.bet","D08","DELA","DELA_001","W","2015-06-24","2015-07-08","2015-07-09","2015-07-10","2015-09-01","DELA_001.W.20150708","O/AjyhGAxzAthpSiIw8Wsy3PcAaZGLZzhkAklmrUShA=","carabid","CARSP14","Carabidae sp.","family","cf. species","Latreille","D08.2015.MorphX",1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","Most likely Amara impuncticollis. A similar species, A. littoralis, has similar features. The pronounced front angles, the partially testaceous maxillary palpomere 3, and posterolateral setae situated more basally than laterally indicate this species."
