uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"c664b8ba-e776-4db3-9529-f8c1534c3268","DELA_008.basePlot.bet","D08","DELA","DELA_008","E","distributed","woodyWetlands",32.540079,-87.814097,"WGS84",20.1,21.5,0.1,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_008.E.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"c72a8de4-6767-4ce9-8d6b-e085ec793abf","DELA_002.basePlot.bet","D08","DELA","DELA_002","E","distributed","woodyWetlands",32.532488,-87.818528,"WGS84",20.2,28.5,0.3,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_002.E.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"921d8fa4-34ab-44d0-837e-aa0ab796e682","DELA_006.basePlot.bet","D08","DELA","DELA_006","E","distributed","woodyWetlands",32.533914,-87.803841,"WGS84",20.1,26.9,0.1,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_006.E.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"5c563412-2397-4cd8-98e2-cff7c0001617","DELA_004.basePlot.bet","D08","DELA","DELA_004","E","distributed","woodyWetlands",32.531985,-87.814345,"WGS84",20.2,26.1,0.3,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_004.E.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"a71ece82-051d-406c-82f7-806e2f790d88","DELA_009.basePlot.bet","D08","DELA","DELA_009","E","distributed","woodyWetlands",32.534097,-87.816944,"WGS84",20.2,26.7,0.2,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_009.E.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"3293dbb5-8b37-47c1-a5aa-1171889f227c","DELA_003.basePlot.bet","D08","DELA","DELA_003","E","distributed","woodyWetlands",32.534935,-87.815030,"WGS84",20.2,25.0,0.2,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_003.E.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"ad9fe60f-217e-4f3c-b6b5-b0f14bf04610","DELA_005.basePlot.bet","D08","DELA","DELA_005","E","distributed","woodyWetlands",32.523344,-87.814623,"WGS84",20.2,29.7,0.2,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_005.E.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"4bf75bdd-374b-4b89-aa88-90e2cd41d52f","DELA_014.basePlot.bet","D08","DELA","DELA_014","N","distributed","evergreenForest",32.529787,-87.818196,"WGS84",20.2,27.5,0.3,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_014.N.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"6f6e5705-092f-41f0-9589-4b9f5aa64a4b","DELA_004.basePlot.bet","D08","DELA","DELA_004","N","distributed","woodyWetlands",32.531985,-87.814345,"WGS84",20.2,26.1,0.3,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_004.N.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"3a97b04b-951b-4787-b4b9-225fc9abe61b","DELA_003.basePlot.bet","D08","DELA","DELA_003","N","distributed","woodyWetlands",32.534935,-87.815030,"WGS84",20.2,25.0,0.2,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_003.N.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"a6766540-89a5-4651-a3a3-c7d175f6ea6e","DELA_006.basePlot.bet","D08","DELA","DELA_006","N","distributed","woodyWetlands",32.533914,-87.803841,"WGS84",20.1,26.9,0.1,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_006.N.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"965a89db-be5a-4966-ab0b-f09a44b70859","DELA_009.basePlot.bet","D08","DELA","DELA_009","N","distributed","woodyWetlands",32.534097,-87.816944,"WGS84",20.2,26.7,0.2,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_009.N.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"3e25ab2c-6fbf-4c91-a9d0-a2bf41933328","DELA_001.basePlot.bet","D08","DELA","DELA_001","N","distributed","woodyWetlands",32.532061,-87.805436,"WGS84",20.2,35.8,0.4,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_001.N.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"f9d8bd2c-8a55-45b9-9273-05f121811565","DELA_007.basePlot.bet","D08","DELA","DELA_007","N","distributed","woodyWetlands",32.538023,-87.801000,"WGS84",20.2,29.5,0.3,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_007.N.20160913","Ok","Ok","High","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"e64ea977-ab4c-4fff-97b2-b55d7e97df4c","DELA_002.basePlot.bet","D08","DELA","DELA_002","N","distributed","woodyWetlands",32.532488,-87.818528,"WGS84",20.2,28.5,0.3,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_002.N.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"031d404c-1386-4f6c-be74-f968bb574e15","DELA_008.basePlot.bet","D08","DELA","DELA_008","N","distributed","woodyWetlands",32.540079,-87.814097,"WGS84",20.1,21.5,0.1,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_008.N.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"9ce04bed-7909-413f-a614-86ae1bfa77b2","DELA_005.basePlot.bet","D08","DELA","DELA_005","N","distributed","woodyWetlands",32.523344,-87.814623,"WGS84",20.2,29.7,0.2,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_005.N.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"429433ba-f1b9-489a-8254-51c3396b6c86","DELA_007.basePlot.bet","D08","DELA","DELA_007","S","distributed","woodyWetlands",32.538023,-87.801000,"WGS84",20.2,29.5,0.3,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_007.S.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"a303738f-69ee-4212-82f5-0d3c71b39cb6","DELA_003.basePlot.bet","D08","DELA","DELA_003","S","distributed","woodyWetlands",32.534935,-87.815030,"WGS84",20.2,25.0,0.2,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_003.S.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"1da76cb3-23e0-4a34-a02f-ed8f934b037c","DELA_002.basePlot.bet","D08","DELA","DELA_002","S","distributed","woodyWetlands",32.532488,-87.818528,"WGS84",20.2,28.5,0.3,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_002.S.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"e604d77a-14c1-49bb-82eb-0a1217b7961e","DELA_001.basePlot.bet","D08","DELA","DELA_001","S","distributed","woodyWetlands",32.532061,-87.805436,"WGS84",20.2,35.8,0.4,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_001.S.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"63ab5730-94c4-49d7-b4a6-3a5c90547cbc","DELA_009.basePlot.bet","D08","DELA","DELA_009","S","distributed","woodyWetlands",32.534097,-87.816944,"WGS84",20.2,26.7,0.2,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_009.S.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"335be81e-3e84-45dd-989c-de0a44f55ab3","DELA_008.basePlot.bet","D08","DELA","DELA_008","S","distributed","woodyWetlands",32.540079,-87.814097,"WGS84",20.1,21.5,0.1,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_008.S.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"c6cb117b-b203-4625-bf24-21df3f798e86","DELA_014.basePlot.bet","D08","DELA","DELA_014","S","distributed","evergreenForest",32.529787,-87.818196,"WGS84",20.2,27.5,0.3,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_014.S.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"a8a21069-7052-40ec-a3e7-7108de92256b","DELA_004.basePlot.bet","D08","DELA","DELA_004","S","distributed","woodyWetlands",32.531985,-87.814345,"WGS84",20.2,26.1,0.3,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_004.S.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"8579a6e4-fac3-472d-a473-df8d4500a78d","DELA_006.basePlot.bet","D08","DELA","DELA_006","S","distributed","woodyWetlands",32.533914,-87.803841,"WGS84",20.1,26.9,0.1,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_006.S.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"8b0c083c-db94-49d4-80ea-c680e0032d25","DELA_005.basePlot.bet","D08","DELA","DELA_005","S","distributed","woodyWetlands",32.523344,-87.814623,"WGS84",20.2,29.7,0.2,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_005.S.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"1a80fdde-b50c-4774-98c5-1e0e030a7582","DELA_001.basePlot.bet","D08","DELA","DELA_001","W","distributed","woodyWetlands",32.532061,-87.805436,"WGS84",20.2,35.8,0.4,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_001.W.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ty5ktdGiRSp05LT6y3oRIJX9t8YK1JGMhptSFXGHZWc=",
"6f2c8f03-a302-4bae-ab0e-954ca672631f","DELA_003.basePlot.bet","D08","DELA","DELA_003","W","distributed","woodyWetlands",32.534935,-87.815030,"WGS84",20.2,25.0,0.2,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_003.W.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"c4da9617-e574-44b9-8b9f-5259231fe2ea","DELA_014.basePlot.bet","D08","DELA","DELA_014","W","distributed","evergreenForest",32.529787,-87.818196,"WGS84",20.2,27.5,0.3,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_014.W.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"d7d96456-134d-4fbe-b12c-703695de9f72","DELA_004.basePlot.bet","D08","DELA","DELA_004","W","distributed","woodyWetlands",32.531985,-87.814345,"WGS84",20.2,26.1,0.3,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_004.W.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
"04d272b8-b15f-4ce1-9fa3-e6a463d6c68a","DELA_009.basePlot.bet","D08","DELA","DELA_009","W","distributed","woodyWetlands",32.534097,-87.816944,"WGS84",20.2,26.7,0.2,"2016-08-30","2016-09-13","DELA.2016.37",14,"Y","DELA_009.W.20160913","Ok","Ok","Ok","NEON.DOC.014050vH","Ec+cMQWmrZ6oUw8Lk421QEcKgRrZc//E",
