uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,individualID,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationQualifier,sex,morphospeciesID,identificationReferences,identifiedBy,laboratoryName,identificationRemarks,sampleCondition,dnaBarcoded,geneticSampleID,remarks
"68d5ebc2-7974-4b28-8af2-d63a8e0f9372","TALL_009.basePlot.bet","D08","TALL","TALL_009","2014-07-30","2014-08-13","2017-01-15","NEON.BET.D08.000202","DICFUR2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini","Dicaelus","Paradicaelus","furvus","furvus","Dicaelus furvus furvus","Dejean","subspecies",,"F",,"Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"6b82d724-523f-4070-8753-cab90a466a5b","TALL_003.basePlot.bet","D08","TALL","TALL_003","2014-07-30","2014-08-13","2017-01-15","NEON.BET.D08.000191","CYCCON2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","convivus",,"Cyclotrachelus convivus","LeConte","species",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"93f2a55e-35cd-45be-9d33-6cccd1aff05b","TALL_009.basePlot.bet","D08","TALL","TALL_009","2014-07-30","2014-08-13","2017-01-15","NEON.BET.D08.000205","CYCCON2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","convivus",,"Cyclotrachelus convivus","LeConte","species",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"d3c0b83b-6cc6-4b1e-b43a-af7a7d010675","TALL_009.basePlot.bet","D08","TALL","TALL_009","2014-07-30","2014-08-13","2017-01-15","NEON.BET.D08.000204","CYCCON2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","convivus",,"Cyclotrachelus convivus","LeConte","species",,"M",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"f3e3d1a9-50a3-40f2-b41c-5867eee06021","TALL_009.basePlot.bet","D08","TALL","TALL_009","2014-07-30","2014-08-13","2017-01-15","NEON.BET.D08.000206","DICFUR2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini","Dicaelus","Paradicaelus","furvus","furvus","Dicaelus furvus furvus","Dejean","subspecies",,"M",,"Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"8aaafd70-9927-4e21-ab90-c3858ec06580","TALL_002.basePlot.bet","D08","TALL","TALL_002","2014-07-30","2014-08-13","2017-01-15","NEON.BET.D08.000188","CYCCON2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","convivus",,"Cyclotrachelus convivus","LeConte","species",,"M",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"56f5f4da-2c12-4cfc-aa71-c9d0c487eee9","TALL_009.basePlot.bet","D08","TALL","TALL_009","2014-07-30","2014-08-13","2017-01-15","NEON.BET.D08.000203","DICDIL1","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini","Dicaelus","Paradicaelus","dilatatus","dilatatus","Dicaelus dilatatus dilatatus","Say","subspecies",,"M",,"Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"2a1c123d-07bc-464f-9089-da479723182b","TALL_002.basePlot.bet","D08","TALL","TALL_002","2014-07-30","2014-08-13","2017-01-15","NEON.BET.D08.000190","DICAMB","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini","Dicaelus","Paradicaelus","ambiguus",,"Dicaelus ambiguus","LaFerte-Senectere","species",,"F",,"Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"19421a13-146f-4c09-b60d-7650fc3c8972","TALL_002.basePlot.bet","D08","TALL","TALL_002","2014-07-30","2014-08-13","2017-01-15","NEON.BET.D08.000189","CYCCON2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Evarthrus","convivus",,"Cyclotrachelus convivus","LeConte","species",,"M",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"252d32ad-0eee-43a1-88f5-406a12a64a42","TALL_007.basePlot.bet","D08","TALL","TALL_007","2014-07-30","2014-08-13","2017-01-15","NEON.BET.D08.000194","CYCFRE","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini","Cyclotrachelus","Cyclotrachelus","freitagi",,"Cyclotrachelus freitagi","Bousquet","species",,"F",,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
