uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"814d4f38-e9a7-4458-aa14-ba5904a6e60c","TALL_005.basePlot.bet","D08","TALL","TALL_005","E","2015-07-24","2015-08-06","2015-08-07","2015-08-17","2015-11-09","TALL_005.E.20150806","t0MQRG9cttlWAvPg/OdQ2v37P9XVZEzqXnnHXZMoD58=","carabid","CYCCON2","Cyclotrachelus convivus","species",,"LeConte",,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","0ygyTA3URVoNp+waZjN2Lu+zP0lNl3v9","This specimen is pinned. A very similar species, C. sigillatus is known to occur in East Alabama. Upon dissection of a male aedeagus, it was apparent that it was C. convivus. This assumption is assumed for all subsequent specimens."
"5cab5efa-697c-4a14-9664-7c8438f1febf","TALL_001.basePlot.bet","D08","TALL","TALL_001","W","2015-07-24","2015-08-06","2015-08-07","2015-08-17","2015-11-09","TALL_001.W.20150806","oBD9lvhf20lFhhG69GCdXdn0JUKa/mbuocjzaVx3REc=","carabid","CYCFRE","Cyclotrachelus freitagi","species",,"Bousquet",,1,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","0ygyTA3URVoNp+waZjN2Lu+zP0lNl3v9","Pinned. A similar species, C. laevipennis, is known to occur in AL. Two male specimens were dissected and the extracted aedeagus depicted the features of C. freitagi."
"7e1d2e6b-8fdd-4152-90b3-1251686094c2","TALL_003.basePlot.bet","D08","TALL","TALL_003","N","2015-07-24","2015-08-06","2015-08-07","2015-08-17",,"TALL_003.N.20150806","M7Kgwa5WKWqrWesoq5mPgbnomoGV5fe/u7O9RGqyQEQ=","invert bycatch",,,,,,,,,,"0ygyTA3URVoNp+waZjN2Lu+zP0lNl3v9",
"953b9ac6-0c47-49cb-bd5f-4ffc642f4c69","TALL_013.basePlot.bet","D08","TALL","TALL_013","N","2015-07-24","2015-08-06","2015-08-07","2015-08-17",,"TALL_013.N.20150806","636VT4a85rByZVuvIkUOuAe4Qop/cWX97zjI7w+Omfs=","invert bycatch",,,,,,,,,,"0ygyTA3URVoNp+waZjN2Lu+zP0lNl3v9",
"f4c242e5-8d21-4ffd-96cd-e92dbfe37657","TALL_009.basePlot.bet","D08","TALL","TALL_009","N","2015-07-24","2015-08-06","2015-08-07","2015-08-17",,"TALL_009.N.20150806","l/M16YIQdhkjfHLwd1M2tzuJNuloYhGBMAF9zfL8ukA=","invert bycatch",,,,,,,,,,"0ygyTA3URVoNp+waZjN2Lu+zP0lNl3v9",
"1a465637-84d9-4482-b1a2-3ba552f1504d","TALL_002.basePlot.bet","D08","TALL","TALL_002","N","2015-07-24","2015-08-06","2015-08-07","2015-08-17",,"TALL_002.N.20150806","GD+N/FshctxrM/XTGDjXE81awVvIouEKMHF6vLBVxiM=","invert bycatch",,,,,,,,,,"0ygyTA3URVoNp+waZjN2Lu+zP0lNl3v9",
"5d721db4-420a-4546-a134-425096c28c77","TALL_001.basePlot.bet","D08","TALL","TALL_001","N","2015-07-24","2015-08-06","2015-08-07","2015-08-17","2015-11-09","TALL_001.N.20150806","oBD9lvhf20kuEYnqQksvDV95DwTUjzhvb4MwzC8fQGY=","carabid","PASDEP","Pasimachus depressus","species",,"Fabricius",,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.","zAuTdQ8TLTOCAVE+XhtWnklq56XAz8bt","0ygyTA3URVoNp+waZjN2Lu+zP0lNl3v9","Pinned. Males readily identified by smooth mandibles. Females similar to P. punctulatus. A flatter frontal ridge, duller colors, and less arcuate mandibles define females of this species."
"5eddcc1a-4e68-443a-b694-e4ce3df507e5","TALL_005.basePlot.bet","D08","TALL","TALL_005","N","2015-07-24","2015-08-06","2015-08-07","2015-08-17",,"TALL_005.N.20150806","t0MQRG9cttmC7a0kHca4UiaDX0PMhoreE8M54r85MwE=","invert bycatch",,,,,,,,,,"0ygyTA3URVoNp+waZjN2Lu+zP0lNl3v9",
"b108dd9e-fbdb-4a61-8fa1-c5a2dd989acd","TALL_008.basePlot.bet","D08","TALL","TALL_008","N","2015-07-24","2015-08-06","2015-08-07","2015-08-17",,"TALL_008.N.20150806","ohyOCuNZZNEb35yS3TL2tRYEJaRZ3XY++jIDQE7OSys=","invert bycatch",,,,,,,,,,"0ygyTA3URVoNp+waZjN2Lu+zP0lNl3v9",
"efa3c2db-244d-42a3-aaf4-aa7008c8b87d","TALL_007.basePlot.bet","D08","TALL","TALL_007","N","2015-07-24","2015-08-06","2015-08-07","2015-08-17",,"TALL_007.N.20150806","dCnpKCfrHjPPrSW+/U+bZ7Muwr0ipxhEcrfTXx/DTww=","invert bycatch",,,,,,,,,,"0ygyTA3URVoNp+waZjN2Lu+zP0lNl3v9",
