uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"5389b155-e111-4a29-ac1a-8c4ec9566a04","TALL_005.basePlot.bet","D08","TALL","TALL_005","S","distributed","mixedForest",32.897128,-87.397349,"WGS84",20.2,119.9,0.2,"2015-08-20","2015-09-03","TALL.2015.36",14,"Y","TALL_005.S.20150903","Ok","Disturbed","Ok","NEON.DOC.014050vG","LL/gXdi67CgOxDk89BiEoiy0+ICVjEP4",
"2f2f479c-5f82-4105-96a0-0b08151443f4","TALL_003.basePlot.bet","D08","TALL","TALL_003","S","distributed","mixedForest",32.893530,-87.415341,"WGS84",20.2,122.8,0.2,"2015-08-20","2015-09-03","TALL.2015.36",14,"Y","TALL_003.S.20150903","Ok","Ok","Ok","NEON.DOC.014050vG","LL/gXdi67CgOxDk89BiEoiy0+ICVjEP4",
"bbf25fda-ec42-4ab2-9f51-59206c2f764c","TALL_004.basePlot.bet","D08","TALL","TALL_004","S","distributed","evergreenForest",32.957884,-87.432613,"WGS84",20.1,132.0,0.1,"2015-08-20","2015-09-03","TALL.2015.36",14,"Y","TALL_004.S.20150903","Ok","Ok","Ok","NEON.DOC.014050vG","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",
"9e3fbe26-7ee6-4464-b309-d686497caab1","TALL_013.basePlot.bet","D08","TALL","TALL_013","S","distributed","evergreenForest",32.884749,-87.454396,"WGS84",20.1,117.6,0.2,"2015-08-20","2015-09-03","TALL.2015.36",14,"Y","TALL_013.S.20150903","Ok","Ok","Ok","NEON.DOC.014050vG","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",
"da2508ae-0f9a-4117-989d-c0650a0882dc","TALL_001.basePlot.bet","D08","TALL","TALL_001","S","distributed","deciduousForest",32.977667,-87.432716,"WGS84",20.3,98.6,0.4,"2015-08-20","2015-09-03","TALL.2015.36",14,"Y","TALL_001.S.20150903","Ok","Ok","Ok","NEON.DOC.014050vG","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",
"309dc4a4-e439-4dac-8807-70e51fce9a0e","TALL_008.basePlot.bet","D08","TALL","TALL_008","S","distributed","deciduousForest",32.921617,-87.433388,"WGS84",20.3,113.0,0.3,"2015-08-20","2015-09-03","TALL.2015.36",14,"Y","TALL_008.S.20150903","Ok","Ok","Ok","NEON.DOC.014050vG","LL/gXdi67CgOxDk89BiEoiy0+ICVjEP4",
"92ee3dbb-5f7c-4a25-b311-4f7ddac240d1","TALL_007.basePlot.bet","D08","TALL","TALL_007","W","distributed","deciduousForest",32.974429,-87.426940,"WGS84",20.3,82.5,0.3,"2015-08-20","2015-09-03","TALL.2015.36",14,"Y","TALL_007.W.20150903","Ok","Ok","Ok","NEON.DOC.014050vG","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",
"bb581b5d-257a-4a26-b625-96bcf73e5f52","TALL_005.basePlot.bet","D08","TALL","TALL_005","W","distributed","mixedForest",32.897128,-87.397349,"WGS84",20.2,119.9,0.2,"2015-08-20","2015-09-03","TALL.2015.36",14,"Y","TALL_005.W.20150903","Ok","Ok","Ok","NEON.DOC.014050vG","LL/gXdi67CgOxDk89BiEoiy0+ICVjEP4",
"9eb24579-ae7a-4a0a-9ed2-0300219a8959","TALL_009.basePlot.bet","D08","TALL","TALL_009","W","distributed","evergreenForest",32.899796,-87.406679,"WGS84",20.2,105.1,0.4,"2015-08-20","2015-09-03","TALL.2015.36",14,"Y","TALL_009.W.20150903","Ok","Disturbed","Ok","NEON.DOC.014050vG","LL/gXdi67CgOxDk89BiEoiy0+ICVjEP4",
"8d13a6e8-3d6a-4721-b219-1dabd966fa06","TALL_002.basePlot.bet","D08","TALL","TALL_002","W","distributed","mixedForest",32.922158,-87.428893,"WGS84",20.2,118.3,0.4,"2015-08-20","2015-09-03","TALL.2015.36",14,"Y","TALL_002.W.20150903","Ok","Ok","Ok","NEON.DOC.014050vG","LL/gXdi67CgOxDk89BiEoiy0+ICVjEP4",
"4206e447-00a9-4f07-a00b-678c76694042","TALL_006.basePlot.bet","D08","TALL","TALL_006","W","distributed","evergreenForest",32.898843,-87.446128,"WGS84",20.3,97.8,0.4,"2015-08-20","2015-09-03","TALL.2015.36",14,"Y","TALL_006.W.20150903","Ok","Ok","Ok","NEON.DOC.014050vG","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",
"3f1865b7-770d-47d6-9072-031614a97b66","TALL_001.basePlot.bet","D08","TALL","TALL_001","W","distributed","deciduousForest",32.977667,-87.432716,"WGS84",20.3,98.6,0.4,"2015-08-20","2015-09-03","TALL.2015.36",14,"Y","TALL_001.W.20150903","Ok","Ok","Ok","NEON.DOC.014050vG","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",
