uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"efeaf301-4312-4303-834f-7386079ac917","NOGP_003.basePlot.bet","D09","NOGP","NOGP_003","E","2016-05-10","2016-05-24","2016-05-25","2016-06-17","2016-11-01","NOGP_003.E.20160524","hQR4MdIqPN992qQKIvoB0rJk49TCsdUzpAsGNAZS8mA=","carabid","CYCTOR","Cyclotrachelus torvus","species",,"LeConte",,4,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","rNgBtKT5eEIjJFkUm8lOX/WDkbi4oFGW",
"32c2a9c4-b58c-4914-96b1-75c20e92678a","NOGP_010.basePlot.bet","D09","NOGP","NOGP_010","E","2016-05-10","2016-05-24","2016-05-25","2016-06-17","2016-11-01","NOGP_010.E.20160524","pM/HvH3yCGAygbLe7HfXL9hZnNfn2ZYUxyGXTk+R+PQ=","carabid","CYCTOR","Cyclotrachelus torvus","species",,"LeConte",,1,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","dknMugO8eJKLR2eRK74as9p5hMN2rvmV",
"17200a42-e3b4-4a20-87e2-40874934d103","NOGP_010.basePlot.bet","D09","NOGP","NOGP_010","W","2016-05-10","2016-05-24","2016-05-25","2016-06-17",,"NOGP_010.W.20160524","pM/HvH3yCGC9ZKBWbTOLcpIzyCbtPl1RTwOAwzg6gUA=","invert bycatch",,,,,,,,,,"dknMugO8eJKLR2eRK74as9p5hMN2rvmV",
"3a5302ed-7fb7-48c6-8676-0bd2b2323983","NOGP_003.basePlot.bet","D09","NOGP","NOGP_003","E","2016-05-10","2016-05-24","2016-05-25","2016-06-17",,"NOGP_003.E.20160524","hQR4MdIqPN992qQKIvoB0rLqJOrzScdJaVR/0ZbUz2o=","invert bycatch",,,,,,,,,,"rNgBtKT5eEIjJFkUm8lOX/WDkbi4oFGW",
"e5a9b044-88c6-4fdb-9069-8cb04fc9bfba","NOGP_010.basePlot.bet","D09","NOGP","NOGP_010","E","2016-05-10","2016-05-24","2016-05-25","2016-06-17",,"NOGP_010.E.20160524","pM/HvH3yCGAygbLe7HfXL5opRZ61Sa5M30TyKvlj3S0=","invert bycatch",,,,,,,,,,"dknMugO8eJKLR2eRK74as9p5hMN2rvmV",
"f5644833-c7a8-4f0e-b37a-9366af07f098","NOGP_010.basePlot.bet","D09","NOGP","NOGP_010","N","2016-05-10","2016-05-24","2016-05-25","2016-06-17",,"NOGP_010.N.20160524","pM/HvH3yCGAUny2MBmJC61kIbucTcvm2IOrB5/ttY7k=","invert bycatch",,,,,,,,,,"dknMugO8eJKLR2eRK74as9p5hMN2rvmV",
"7245078f-7787-4369-9cc2-923c66cfca0a","NOGP_009.basePlot.bet","D09","NOGP","NOGP_009","N","2016-05-10","2016-05-24","2016-05-25","2016-06-17","2016-11-01","NOGP_009.N.20160524","VCr1VsCG4kHtRJGQHSzPwcW8L7wp8ZPO+qagj9pz4qo=","carabid","CHLTOM","Chlaenius tomentosus","species",,"Say",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","rNgBtKT5eEIjJFkUm8lOX/WDkbi4oFGW",
"527789d3-c0a2-44f5-88bb-c8810e4c1889","NOGP_009.basePlot.bet","D09","NOGP","NOGP_009","E","2016-05-10","2016-05-24","2016-05-25","2016-06-17",,"NOGP_009.E.20160524","VCr1VsCG4kFc3XkbG6vBiCuuMfcMmJBek2+Kw/VJFE8=","invert bycatch",,,,,,,,,,"rNgBtKT5eEIjJFkUm8lOX/WDkbi4oFGW",
"149a79df-2b5f-4e51-bed9-d33aa9f91b82","NOGP_009.basePlot.bet","D09","NOGP","NOGP_009","N","2016-05-10","2016-05-24","2016-05-25","2016-06-17","2016-11-01","NOGP_009.N.20160524","VCr1VsCG4kHtRJGQHSzPwXKmnr6cgqaD7slz+GGog2I=","carabid","CYCTOR","Cyclotrachelus torvus","species",,"LeConte",,3,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","rNgBtKT5eEIjJFkUm8lOX/WDkbi4oFGW",
"7b024cd9-8bf0-4c82-9c5f-a4274c09f819","NOGP_009.basePlot.bet","D09","NOGP","NOGP_009","W","2016-05-10","2016-05-24","2016-05-25","2016-06-17",,"NOGP_009.W.20160524","VCr1VsCG4kFOzTOtByzmDuOnh94Fh6DKbbceBFJQyzk=","invert bycatch",,,,,,,,,,"rNgBtKT5eEIjJFkUm8lOX/WDkbi4oFGW",
