uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"76bc5e43-19a2-485e-848c-60e723dbfca8","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_023.N.20140604","HkhQBNKo1QBqCKqKUXV6PwdSi2IPlLnt4PSA5VYuTm4=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,3,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"f05028b9-46c9-4eb5-bb55-0993198a54c3","WOOD_004.basePlot.bet","D09","WOOD","WOOD_004","N","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_004.N.20140604","tVkCk1nh7tE28lJL7FyXHQhFNXmXxiZ2/mNpdLZQa50=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"bbc66aeb-23de-4814-898c-673825105897","WOOD_006.basePlot.bet","D09","WOOD","WOOD_006","N","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_006.N.20140604","WY3Zl9EyMifynNEAFRb+YTBZzqhrYN5+yXyZpbiveGw=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"bed31a68-3b25-4756-941c-f0ff0eada7af","WOOD_005.basePlot.bet","D09","WOOD","WOOD_005","N","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_005.N.20140604","Q/pjwyhQ09w3gbpA5THbKEMmtIv0WUsQfCBiCiu0g44=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"d8352aa9-d4cf-4b1e-8fc8-f982ff0998f1","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_023.N.20140604","HkhQBNKo1QBqCKqKUXV6P8Gu82pAA9yydZUdHQU2eIs=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"e6953bbd-0dcc-426c-bdc2-dc7ce41ed3cc","WOOD_003.basePlot.bet","D09","WOOD","WOOD_003","N","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.N.20140604","gVhx7bcr2vMTLe1H6MP3kdH6jBz9om1dvKux2EG1Wpw=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"8409a88c-8d86-41e3-b4c1-0548a21e94ee","WOOD_007.basePlot.bet","D09","WOOD","WOOD_007","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_007.S.20140604","5mkFtj0S+gg0a2xCp7wQfGEark3HmgNX0+T+bCK4koE=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"50c97448-ab21-4c67-9f00-680629086af2","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_023.S.20140604","HkhQBNKo1QBcW+aqjFtpiGUPmx2IPCA+8lWFv/8SgSA=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,7,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"e73e1961-4175-48dd-af11-4f573b37b339","WOOD_001.basePlot.bet","D09","WOOD","WOOD_001","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_001.S.20140604","vZVALStcGzcsjDNtnU4ax6ZQElLNz7KvE3HQ35RnXtg=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"15524298-6cd2-4f66-bd4c-111fb514773d","WOOD_003.basePlot.bet","D09","WOOD","WOOD_003","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.S.20140604","gVhx7bcr2vNO9BM+IMQoScTYkOSofkWzsaVIq/KZXrI=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,2,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"24830a68-0742-4a75-9d94-72774d15e1ef","WOOD_004.basePlot.bet","D09","WOOD","WOOD_004","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_004.S.20140604","tVkCk1nh7tFXJarjS3K7dj8QEUkqSJe2+U08eQGdDm0=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"76bb1943-390f-4b17-b735-61393275b6c1","WOOD_003.basePlot.bet","D09","WOOD","WOOD_003","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.S.20140604","gVhx7bcr2vNO9BM+IMQoSQGc5kNSYmu2I9X9r00wiY0=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"ca46c5e7-a566-4b26-991e-22d042d12f48","WOOD_004.basePlot.bet","D09","WOOD","WOOD_004","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_004.S.20140604","tVkCk1nh7tFXJarjS3K7dnpjwj+rod5Qy1J0wr20cOk=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,1,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"403b3dce-7c30-4020-a91c-0535e024acf8","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_023.S.20140604","HkhQBNKo1QBcW+aqjFtpiBYKUunL/XM4dyIXTxo/ZjU=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"44e7b1a8-659a-4a11-83ab-31e81d2c0858","WOOD_006.basePlot.bet","D09","WOOD","WOOD_006","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_006.S.20140604","WY3Zl9EyMidI05w9/bH7Kk4aguWP/ZUvIHMh8keWvc4=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"2380816b-7ac0-46bc-9a12-59be63250f2d","WOOD_006.basePlot.bet","D09","WOOD","WOOD_006","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_006.S.20140604","WY3Zl9EyMidI05w9/bH7KoRkG0Mc6b8oYdkEYbK9DLM=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,1,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"b3efdc2c-e44d-4292-9644-713445759698","WOOD_007.basePlot.bet","D09","WOOD","WOOD_007","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_007.S.20140604","5mkFtj0S+gg0a2xCp7wQfGtiXDhyUluUgawwCpE+U+Y=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,3,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"b386faf4-c2b8-4f93-be7f-0b4e0b02b170","WOOD_002.basePlot.bet","D09","WOOD","WOOD_002","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_002.S.20140604","V7nyjIgYGmPeVUxGodh0zJDAcnxhkF9awrljvy736yI=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"cc0621f9-eb8b-4409-94a0-8a1bffb2ba32","WOOD_005.basePlot.bet","D09","WOOD","WOOD_005","S","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_005.S.20140604","Q/pjwyhQ09wKA+kCZ0yp6CA77ElZ7lmWv/x668idJDg=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"f9d40cca-83cf-4e60-b8e9-8b8c29a88978","WOOD_001.basePlot.bet","D09","WOOD","WOOD_001","W","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_001.W.20140604","vZVALStcGzcpQ/3vYIf0cnD3rUhbZMe4HrxCc/+0sXk=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"aa3f9fb4-f9ed-4681-8190-22af6e2c7955","WOOD_005.basePlot.bet","D09","WOOD","WOOD_005","W","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_005.W.20140604","Q/pjwyhQ09xv/uhEMFw1+QpYHbGQXQAeG13qP5yL4gc=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"0ad96c80-4dff-456d-942c-6be72cc875ae","WOOD_003.basePlot.bet","D09","WOOD","WOOD_003","W","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.W.20140604","gVhx7bcr2vPCjGhM8IKI/SfXobBfwef2N9Hx1VVMYWM=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"d8851970-4c46-4abc-b4c9-ef671fe45a3e","WOOD_004.basePlot.bet","D09","WOOD","WOOD_004","W","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_004.W.20140604","tVkCk1nh7tHbEEWbRq16SD8ao7PGbQoeng4yN2ZGaBc=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"6db5531b-f46c-432f-91b9-c823f1a12dce","WOOD_004.basePlot.bet","D09","WOOD","WOOD_004","W","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_004.W.20140604","tVkCk1nh7tHbEEWbRq16SIxm+G1gFrnbxBocf/5ctm4=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,3,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"6652e785-ef97-4c81-a4fa-18424ed28ef1","WOOD_001.basePlot.bet","D09","WOOD","WOOD_001","W","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_001.W.20140604","vZVALStcGzcpQ/3vYIf0cqdAAnKrsSrt2/ImdvhOsWY=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,1,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"e5e2ff39-4ea1-4861-bcca-d4e433e8d1cc","WOOD_005.basePlot.bet","D09","WOOD","WOOD_005","W","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_005.W.20140604","Q/pjwyhQ09xv/uhEMFw1+SYMvMATlH1ZoiYSandrIwA=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,1,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"99170628-3022-437c-a496-345d81aab549","WOOD_006.basePlot.bet","D09","WOOD","WOOD_006","W","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_006.W.20140604","WY3Zl9EyMidz0UP/klcwZt3XkrZtpmJtEgBkw9tIA+Y=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"1b5a025c-0a67-4048-9fb2-2bc965322723","WOOD_007.basePlot.bet","D09","WOOD","WOOD_007","W","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_007.W.20140604","5mkFtj0S+giWqxhoJMUcdctxcB4J3AV6tCwS6BbPHbY=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"3b208773-1481-4cf9-985d-ef980fb47c42","WOOD_002.basePlot.bet","D09","WOOD","WOOD_002","W","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_002.W.20140604","V7nyjIgYGmPQAknOuB/BJ3whG4KhC/R41VVuwNmTC80=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"1a9428cd-c3ec-410c-a2f0-d9961130e5c0","WOOD_007.basePlot.bet","D09","WOOD","WOOD_007","W","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_007.W.20140604","5mkFtj0S+giWqxhoJMUcddCwEpQL8U74gi+cURrZP4w=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,1,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"4f9d35b0-1ec6-4d97-a103-64610adbda3a","WOOD_021.basePlot.bet","D09","WOOD","WOOD_021","E","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_021.E.20140604","WrmnCoit367WZNJvLCmj/8gGP+SJsQbHWbkQCWcW+Hc=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,14,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"148a80ae-c1df-4832-b191-7f9f7c0a7856","WOOD_005.basePlot.bet","D09","WOOD","WOOD_005","E","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_005.E.20140604","Q/pjwyhQ09zZgUA2EryrLtlOSclc2jA9LxXDIP0aoUY=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"ae5751bd-8cdc-49cf-9ee7-34cf97bb3d20","WOOD_003.basePlot.bet","D09","WOOD","WOOD_003","E","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.E.20140604","gVhx7bcr2vONNgusx786u9r22ME8dffLqC7sJXJwP98=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
"219a0fef-3db7-4ec2-933c-6047e0d877a0","WOOD_003.basePlot.bet","D09","WOOD","WOOD_003","E","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.E.20140604","gVhx7bcr2vONNgusx786uxBJThziQ+ui6F8NTmpPEjg=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,3,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"19873bbb-a164-4419-8063-ce19a4b25215","WOOD_002.basePlot.bet","D09","WOOD","WOOD_002","E","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_002.E.20140604","V7nyjIgYGmNgmt8YvrzpaTXmh63P+1xoauoTwsWA4Zw=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,4,"Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","individualCount estimated based on number of pinning records|"
"0e8c4722-8324-4265-b1a5-243aec241787","WOOD_001.basePlot.bet","D09","WOOD","WOOD_001","E","2014-05-21","2014-06-04","2014-06-05","2015-03-01",,"WOOD_001.E.20140604","vZVALStcGzff9yprho6tBJj0lqbMZPYWW3FAuwhoSvo=","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",
