uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"f2e6bf6d-55c7-44a9-9ba3-2c984cd6c388","WOOD_006.basePlot.bet","D09","WOOD","WOOD_006","N","2014-07-30","2014-08-13","2015-04-07","2015-04-07","WY3Zl9EyMifynNEAFRb+YbMQ5uzKCSi+uwY3f2FevNU=","NEON.BET.D09.000131","CARSP14","Carabidae sp.","family",,"Latreille","D09.2014.MorphA","Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","Wrinkles| medium to large sized| glossy black throughout| posterior edge of upper pronotum has several distinctive sutures"
"49f87c55-bfcd-48e1-8ce1-971051cc8744","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","2014-07-30","2014-08-13","2015-04-23","2015-04-23","HkhQBNKo1QBqCKqKUXV6P8f/Hbnbpc6jXXqk8IPosAQ=","NEON.BET.D09.000495","CARSP14","Carabidae sp.","family",,"Latreille","D09.2014.MorphAN","Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","Little-pocked-rufous| plica, setae on 3rd interstice| small size| flattened point on posterior corner of pronotum| reddish-yellow legs| rufous elytra| pocked striae"
"527632d1-5481-47f5-a366-fd23aa02cbd0","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","2014-07-30","2014-08-13","2015-04-23","2015-04-23","HkhQBNKo1QBqCKqKUXV6P8f/Hbnbpc6jXXqk8IPosAQ=","NEON.BET.D09.000493","CARSP14","Carabidae sp.","family",,"Latreille","D09.2014.MorphAN","Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","Little-pocked-rufous| plica, setae on 3rd interstice| small size| flattened point on posterior corner of pronotum| reddish-yellow legs| rufous elytra| pocked striae"
"c6ffc101-eee6-419f-a20a-2f8f7863c025","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","2014-07-30","2014-08-13","2015-04-23","2015-04-23","HkhQBNKo1QBqCKqKUXV6P8f/Hbnbpc6jXXqk8IPosAQ=","NEON.BET.D09.000492","CARSP14","Carabidae sp.","family",,"Latreille","D09.2014.MorphAN","Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","Little-pocked-rufous| plica, setae on 3rd interstice| small size| flattened point on posterior corner of pronotum| reddish-yellow legs| rufous elytra| pocked striae"
"bb15e541-331e-40ba-9bc6-90345395b2be","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","2014-07-30","2014-08-13","2015-04-23","2015-04-23","HkhQBNKo1QBqCKqKUXV6P8f/Hbnbpc6jXXqk8IPosAQ=","NEON.BET.D09.000494","CARSP14","Carabidae sp.","family",,"Latreille","D09.2014.MorphAN","Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","Little-pocked-rufous| plica, setae on 3rd interstice| small size| flattened point on posterior corner of pronotum| reddish-yellow legs| rufous elytra| pocked striae"
"44c078b6-ab94-48c7-ba8e-33425956ce86","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","2014-07-30","2014-08-13","2015-04-22","2015-04-22","HkhQBNKo1QBqCKqKUXV6P8f/Hbnbpc6jXXqk8IPosAQ=","NEON.BET.D09.000280","CARSP14","Carabidae sp.","family",,"Latreille","D09.2014.MorphF","Other",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Mini-pale-shoulders| small| similar to D09.2014.MorphE, except pale-shoulder coloration is less apparent or non-existent"
"68b3d9c1-6f7a-4c81-9d76-6cff1a3ba769","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","2014-07-30","2014-08-13","2015-04-23","2015-04-23","HkhQBNKo1QBqCKqKUXV6P8f/Hbnbpc6jXXqk8IPosAQ=","NEON.BET.D09.000491","CARSP14","Carabidae sp.","family",,"Latreille","D09.2014.MorphAN","Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","Little-pocked-rufous| plica, setae on 3rd interstice| small size| flattened point on posterior corner of pronotum| reddish-yellow legs| rufous elytra| pocked striae"
"e459e5b0-69b9-46ec-a0cf-1273aa2ce2ab","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","2014-07-30","2014-08-13","2015-04-22","2015-04-22","HkhQBNKo1QBqCKqKUXV6P8f/Hbnbpc6jXXqk8IPosAQ=","NEON.BET.D09.000298","CARSP14","Carabidae sp.","family",,"Latreille","D09.2014.MorphL","Other",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Skinny-goldilegs| medium size| plica present| setae on 3rd interstice| dark rufous to brown color on dorsal surface| nearly black ventral surface| legs golden color"
"9fcfe978-8466-4d4b-8236-8ec0199e12fc","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","2014-07-30","2014-08-13","2015-04-22","2015-04-22","HkhQBNKo1QBqCKqKUXV6P8f/Hbnbpc6jXXqk8IPosAQ=","NEON.BET.D09.000297","CARSP14","Carabidae sp.","family",,"Latreille","D09.2014.MorphL","Other",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Skinny-goldilegs| medium size| plica present| setae on 3rd interstice| dark rufous to brown color on dorsal surface| nearly black ventral surface| legs golden color"
"3d58836f-f662-42fa-8a49-cc0607ee42a0","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","2014-07-30","2014-08-13","2015-04-22","2015-04-22","HkhQBNKo1QBqCKqKUXV6P8f/Hbnbpc6jXXqk8IPosAQ=","NEON.BET.D09.000279","CARSP14","Carabidae sp.","family",,"Latreille","D09.2014.MorphF","Other",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Mini-pale-shoulders| small| similar to D09.2014.MorphE, except pale-shoulder coloration is less apparent or non-existent"
"3c0636b3-8c34-46c6-9451-58dc7c433167","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","2014-07-30","2014-08-13","2015-04-23","2015-04-23","HkhQBNKo1QBqCKqKUXV6P8f/Hbnbpc6jXXqk8IPosAQ=","NEON.BET.D09.000496","CARSP14","Carabidae sp.","family",,"Latreille","D09.2014.MorphAN","Other",,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","Little-pocked-rufous| plica, setae on 3rd interstice| small size| flattened point on posterior corner of pronotum| reddish-yellow legs| rufous elytra| pocked striae"
