uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"1a699b47-c978-461f-a7cf-f36b6eb89f6f","WOOD_001.basePlot.bet","D09","WOOD","WOOD_001","2015-07-22","2015-08-05","2015-08-07","vZVALStcGzechsnwcGltVp6/1YDnWw/iwnjm321Af97MZL/cTIXZotsc8Hzeo/bZaCLiM4PXBfmKGxmmor+S9vqdVWdVi4gi6il+gMVq4MA=","vZVALStcGze26g/7RRejadoo94aI5IUY",,,
"09da2b78-d312-4838-8232-5e5beeeea0ae","WOOD_003.basePlot.bet","D09","WOOD","WOOD_003","2015-07-22","2015-08-05","2015-08-06","gVhx7bcr2vPVxuC4MX3D7docKQl5GFwsqpu4IseYstYTOittcoa/mwp1EL68LmwyQ/KkDVJ3MLhmFAr7Aa3ebd2sW7SsFWTZ6q4uFRZ7qRxJnEMc0K0HnIm7YsdvJhAwYxiuEhuusV8=","gVhx7bcr2vNzQXcXmSUQ1aQlTkXITle9",,,
"f6edc10e-77f9-48f8-8edd-62e3f09d5530","WOOD_004.basePlot.bet","D09","WOOD","WOOD_004","2015-07-22","2015-08-05","2015-08-07","tVkCk1nh7tEzQiI23vMWyWdtLSDYeutn2UNy06cC1Td9dfAYgI8tZ3ouvl4JHaH2xsgS6DK9QrTKXLmjjx1hFQT2gK2IDZkshBIlN0jqWRUXupAPVEc12sn0cqhIGi58MkSJtrm3RXg=","tVkCk1nh7tGJzK+z8Y41PgDkYA6gD5m3",,,
"93e742ef-710c-4050-935c-9083637d93ef","WOOD_007.basePlot.bet","D09","WOOD","WOOD_007","2015-07-22","2015-08-05","2015-08-07","5mkFtj0S+ggRycJyJqYyrTbbS0xO6PDgUm9yD1r7MNmk7LVdxaSEoOo1a4rAv0ktRZmjenImKRRWlXm/g6bV3F3SjHUtOsoKHRcnUlz97Wo9TdxJ1K9mvMB2a3CWmorzNE2HsmAZa2w=","5mkFtj0S+ggYECMcMSNBAIP+D42kLnc3",,,
"c7fcedc3-405c-4887-ab0d-39b5a26f5e16","WOOD_005.basePlot.bet","D09","WOOD","WOOD_005","2015-07-22","2015-08-05","2015-08-07","Q/pjwyhQ09ycrZ7nsLw/Q4h7ClLL9I7lkqmdG1qufDdAawonJ57dlLWQluvmyOVs8MrQNzJCtSoh3sUIuaexLDbj0deU1BFhq2Rcsofo9m/al3sifLUguCPxVotyzkyU2HQx3zmLgaM=","Q/pjwyhQ09wHEDauOGXCqf7wzOX87AFF",,,
"2aed4f2d-9b71-45bc-8a17-6dd8f92f5037","WOOD_006.basePlot.bet","D09","WOOD","WOOD_006","2015-07-22","2015-08-05","2015-08-07","WY3Zl9EyMicPkFOmFhW1QrvgyTSKcFunZdL6FP4TvcvlhQkacy+xmG0gkl3WHc0Wu8PAFgWkyYsx3dsiygIRTwBuj2XitXgt7ABQpJUa3F6sf7ii6FCWdwmPA3d+HltDT43IrKqkW0s=","WY3Zl9EyMichk28JvfJ2bYhemlma52O2",,,
"743999ca-a5ee-423f-ad31-851bcc40f95f","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","2015-07-22","2015-08-05","2015-08-07","HkhQBNKo1QAlL2jarEbgAoL+DtAGVnvQ7fnQSKILkaHU5HrDTSYjII7hTEYs0PG4D+0ScJ4k2hY=","HkhQBNKo1QDGW66H5TO02qLWlC+yjKoi",,,
"fff752c2-00a6-4285-85c0-58f24fc9b644","WOOD_002.basePlot.bet","D09","WOOD","WOOD_002","2015-07-22","2015-08-05","2015-08-07","V7nyjIgYGmOq7etLsw3mo5kp0Fvbul7nd8EcDWcCrWowhU+x6iBtDCuSS37+nC92nyt0+SVXdgHshDQhtVHFI/iSciaHdVue3ozglXE317Bc84Xg60qb0QVl48IYX7x2iCVU4gSvUaI=","V7nyjIgYGmPGMatY/GaGJVRv1nmW2HwE",,,
"7562c2b3-b247-4d96-a168-456c9b4e8774","WOOD_001.basePlot.bet","D09","WOOD","WOOD_001","2015-08-05","2015-08-19","2015-08-27","vZVALStcGzemkswto4CoLQ+oIxQZlsKVgQ0HOdWIUu4CNXkc/bamSfxZXjeXMGUmdyLLH58BrZ/+pAQgYh+XHYPUO5W4GbPAcnYlcuSnXI7vxd7QbrwH/hulJKWjLQqWDDOYzij/pQ0=","vZVALStcGzcJ/xBFhuGrXhHtmnHb2213",,,
"729373cc-baed-4e61-b6f1-47102c2932fd","WOOD_002.basePlot.bet","D09","WOOD","WOOD_002","2015-08-05","2015-08-19","2015-08-26","V7nyjIgYGmPGW5RkcOYDIJSvKfV/8TaRZATut6YinT3jRZluKvc65bgll8w8zKxOWEmxra2gmm0xq2bINWcDzPtbjdChTv6JIs3YPWBU9lAp++0gOQV5tuXxi426yVJ0khYa9ZZUuAk=","V7nyjIgYGmOJZcbxXcZ7X3AqOh1mKog1",,,
