uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"85431f53-3b65-48c5-bea8-5bb3bcd721aa","WOOD_006.basePlot.bet","D09","WOOD","WOOD_006","E","distributed","grasslandHerbaceous",47.142318,-99.247173,"WGS84",20.1,590.3,0.2,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_006.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
"7a549199-bb37-427c-ba0b-3ea715904f01","WOOD_002.basePlot.bet","D09","WOOD","WOOD_002","W","distributed","grasslandHerbaceous",47.136134,-99.232896,"WGS84",20.1,573.6,0.2,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_002.W.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
"f5f24dc4-f0cf-4be6-adad-089999aed8ea","WOOD_003.basePlot.bet","D09","WOOD","WOOD_003","E","distributed","grasslandHerbaceous",47.118581,-99.239944,"WGS84",20.1,585.7,0.2,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_003.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
"f5f80e9f-d583-4723-8380-42e6fd5ec74a","WOOD_021.basePlot.bet","D09","WOOD","WOOD_021","E","distributed","emergentHerbaceousWetlands",47.146637,-99.247579,"WGS84",20.1,585.3,0.2,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_021.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr","North cup installed. South and west cups were not set."
"5e06c519-3926-4641-abf8-3dcbeb035b23","WOOD_002.basePlot.bet","D09","WOOD","WOOD_002","E","distributed","grasslandHerbaceous",47.136134,-99.232896,"WGS84",20.1,573.6,0.2,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_002.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
"7acd491e-236f-42f7-bfea-67fb186f4c87","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","E","distributed","emergentHerbaceousWetlands",47.130118,-99.267270,"WGS84",20.1,604.1,0.1,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_023.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
"015fe192-b381-401f-8dc0-bf76eb64f5d6","WOOD_001.basePlot.bet","D09","WOOD","WOOD_001","E","distributed","grasslandHerbaceous",47.128258,-99.257768,"WGS84",20.2,596.3,0.2,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_001.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
"1d6a13d4-2bb1-4ad5-9836-0a19bd2c7e81","WOOD_005.basePlot.bet","D09","WOOD","WOOD_005","E","distributed","grasslandHerbaceous",47.149339,-99.251928,"WGS84",20.1,590.3,0.2,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_005.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
"ebffd680-82dd-4d01-a07a-c01f5f8b6c63","WOOD_007.basePlot.bet","D09","WOOD","WOOD_007","E","distributed","grasslandHerbaceous",47.134755,-99.249895,"WGS84",20.1,594.7,0.1,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_007.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
"5747f1d0-cf99-4b2d-81ef-bbf84f1237d4","WOOD_002.basePlot.bet","D09","WOOD","WOOD_002","N","distributed","grasslandHerbaceous",47.136134,-99.232896,"WGS84",20.1,573.6,0.2,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_002.N.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
"8c2b6c6d-cb69-4b1d-bcb4-06287dfcbae4","WOOD_006.basePlot.bet","D09","WOOD","WOOD_006","N","distributed","grasslandHerbaceous",47.142318,-99.247173,"WGS84",20.1,590.3,0.2,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_006.N.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
"02c2a10b-1858-46fa-80b1-bc988f96d307","WOOD_004.basePlot.bet","D09","WOOD","WOOD_004","N","distributed","grasslandHerbaceous",47.125840,-99.253801,"WGS84",20.1,594.1,0.2,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_004.N.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
"ff8eabcd-341d-4ed4-a623-253a84faf777","WOOD_023.basePlot.bet","D09","WOOD","WOOD_023","N","distributed","emergentHerbaceousWetlands",47.130118,-99.267270,"WGS84",20.1,604.1,0.1,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_023.N.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
"4b5286dd-21e4-4753-84bd-acf6c9564ca1","WOOD_003.basePlot.bet","D09","WOOD","WOOD_003","N","distributed","grasslandHerbaceous",47.118581,-99.239944,"WGS84",20.1,585.7,0.2,"2016-04-19","2016-05-03","WOOD.2016.18",14,"Y","WOOD_003.N.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","49AT3csB7SNH9c2JnAOTHYMNXNZpKUYr",
