uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"eb6e6207-16ae-4639-b812-40f6a96d4a9c","CPER_004.basePlot.bet","D10","CPER","CPER_004","E","2013-08-28","2013-09-11","2013-12-10","2014-06-25","eSCyThC0ZO6dQAg554CeHDKxgOfAYewwR6RmuJ1H86w=","NEON.BET.D10.000756","PASELO","Pasimachus elongatus","species",,"LeConte",,"Other",,"GdYBANHaHq+vZZwZPIC7lz81CR/a5qEOH58hbYvjOfw=","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","processing date was added later and may not be accurate| email address for identifier is incorrect"
"803ba538-5c95-4537-a42d-a26ed5f672c1","CPER_003.basePlot.bet","D10","CPER","CPER_003","W","2013-08-28","2013-09-11","2013-12-10","2013-12-10","omCPNZnkoGSvU6Yf0Adio6FcsYLalV7eT4gVSBKIEGM=","NEON.BET.D10.000714","PASELO","Pasimachus elongatus","species",,"LeConte",,"Other",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","processing date was added later and may not be accurate| identified date was added later and may not be accurate"
"5166ede9-9331-48ca-8ab7-07607e84dc2a","CPER_006.basePlot.bet","D10","CPER","CPER_006","E","2013-08-28","2013-09-11","2013-12-10","2014-06-26","NHMCrMp+/ZUdT5TuJYNLZkp56xtUN1kjpNvRQzySnN0=","NEON.BET.D10.000725","CRADUB","Cratacanthus dubius","species",,"Palisot de Beauvois",,"Other",,"GdYBANHaHq+vZZwZPIC7lz81CR/a5qEOH58hbYvjOfw=","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","processing date was added later and may not be accurate| email address for identifier is incorrect"
"c14bf415-638e-4b3e-8790-e9f87f004b17","CPER_001.basePlot.bet","D10","CPER","CPER_001","E","2013-08-28","2013-09-11","2013-12-10","2014-07-02","BEtTVHT1LvHKUPzaGolitI5RUDL8/665umOhEFakf1s=","NEON.BET.D10.000719","HARELL","Harpalus ellipsis","species",,"LeConte",,"Other",,"GdYBANHaHq+vZZwZPIC7lz81CR/a5qEOH58hbYvjOfw=","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","processing date was added later and may not be accurate| email address for identifier is incorrect"
"037e5b5b-b7a8-4685-9d1d-68925ec0d223","CPER_007.basePlot.bet","D10","CPER","CPER_007","N","2013-08-28","2013-09-11","2013-12-10","2014-07-02","SOIi55Lib0Jwd1VUE3MypuekvxPQ8KJIulZDS7qeX0w=","NEON.BET.D10.000755","AMACON3","Amara convexa","species",,"LeConte",,"Other",,"GdYBANHaHq+vZZwZPIC7lz81CR/a5qEOH58hbYvjOfw=","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","processing date was added later and may not be accurate| email address for identifier is incorrect"
"1e5de847-6ded-41e9-abf7-bc32a6033c46","CPER_004.basePlot.bet","D10","CPER","CPER_004","N","2013-08-28","2013-09-11","2013-12-10","2014-06-25","eSCyThC0ZO7XqPQq4Q+UQ3oBaplLeyLHkHLBGu4wsiE=","NEON.BET.D10.000758","EURGRO","Euryderus grossus","species",,"Say",,"Other",,"GdYBANHaHq+vZZwZPIC7lz81CR/a5qEOH58hbYvjOfw=","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","processing date was added later and may not be accurate| email address for identifier is incorrect"
"8022c0ff-11e4-4a08-ada3-09b6a0a109f3","CPER_006.basePlot.bet","D10","CPER","CPER_006","N","2013-08-28","2013-09-11","2013-12-10","2014-07-07","NHMCrMp+/ZXnfAUgtD6kjWIlShruCvoreLCJ3M0mc0Q=","NEON.BET.D10.000726","DISPAR1","Discoderus parallelus","species",,"Haldeman",,"Other",,"GdYBANHaHq+vZZwZPIC7lz81CR/a5qEOH58hbYvjOfw=","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","processing date was added later and may not be accurate| email address for identifier is incorrect"
"755592d1-2fc3-49a3-96f4-59b82cacf357","CPER_008.basePlot.bet","D10","CPER","CPER_008","N","2013-08-28","2013-09-11","2013-12-10","2013-12-10","kqngcYlCVJ5BmxRweU8DqT6UMSx23gUjXJlczs11FGY=","NEON.BET.D10.000653","PASELO","Pasimachus elongatus","species",,"LeConte",,"Other",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","processing date was added later and may not be accurate| identified date was added later and may not be accurate"
"42065281-058a-45c5-9d2f-c526d53d3257","CPER_005.basePlot.bet","D10","CPER","CPER_005","N","2013-08-28","2013-09-11","2013-12-10","2014-07-02","e1AKewEwvnEJ27JYgSozYur4SD0moDYdFbQeH38Zw5I=","NEON.BET.D10.000710","HARREV","Harpalus reversus","species",,"Casey",,"Other",,"GdYBANHaHq+vZZwZPIC7lz81CR/a5qEOH58hbYvjOfw=","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","processing date was added later and may not be accurate| email address for identifier is incorrect"
"a928d681-6559-4928-9ad9-78ccfd14f584","CPER_005.basePlot.bet","D10","CPER","CPER_005","S","2013-08-28","2013-09-11","2013-12-10","2014-07-02","e1AKewEwvnHh+/JXa9VbTp4uPh+N1jtI9ZaYf5Me2gw=","NEON.BET.D10.000709","HARREV","Harpalus reversus","species",,"Casey",,"Other",,"GdYBANHaHq+vZZwZPIC7lz81CR/a5qEOH58hbYvjOfw=","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","processing date was added later and may not be accurate| email address for identifier is incorrect"
