uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"7123b870-b98e-420b-827b-934b4be9ee46","CPER_007.basePlot.bet","D10","CPER","CPER_007","E","2014-06-19","2014-07-03","2014-07-03","2014-10-13","2015-01-12","CPER_007.E.20140703","SOIi55Lib0JQ2YET7dhBOc8scbjSK+w0o5QMTr0B3Hk=","carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,"Other","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
"8ed05d52-e190-4ec7-920f-3b60bc9da91f","CPER_001.basePlot.bet","D10","CPER","CPER_001","E","2014-06-19","2014-07-03","2014-07-03","2014-10-13",,"CPER_001.E.20140703","BEtTVHT1LvFkg1c1Z4/4qjjEJN+RlrVXB5PjvEP0mZQ=","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
"206e550d-8a6d-44c5-af8e-0e36aa287335","CPER_005.basePlot.bet","D10","CPER","CPER_005","E","2014-06-19","2014-07-03","2014-07-03","2014-10-13",,"CPER_005.E.20140703","e1AKewEwvnEdOmnM/0EiBFLgZmkjBAWdWas9gyrlNKQ=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,1,"Other",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","individualCount estimated based on number of pinning records|"
"629e02df-f300-43b7-b589-5bb47cf38461","CPER_009.basePlot.bet","D10","CPER","CPER_009","E","2014-06-19","2014-07-03","2014-07-03","2014-10-13",,"CPER_009.E.20140703","KY+Aed9dLRv1CQurw/uxZGgxWWLOkhusmrdBfaYOl1Q=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,3,"Other",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","individualCount estimated based on number of pinning records|"
"9cd2925d-7df4-4581-953b-18ece1673cf9","CPER_002.basePlot.bet","D10","CPER","CPER_002","E","2014-06-19","2014-07-03","2014-07-03","2014-10-13",,"CPER_002.E.20140703","OMNGlFKVPvT/Qv6kdTf/Eb6a8ymj53qmVzy0M6rMNOo=","other carabid","CARSP14","Carabidae sp.","family",,"Latreille",,8,"Other",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","individualCount estimated based on number of pinning records|"
"7c790ea5-f044-4fb3-a9f8-2653a98475d0","CPER_010.basePlot.bet","D10","CPER","CPER_010","E","2014-06-19","2014-07-03","2014-07-03","2014-10-13",,"CPER_010.E.20140703","DW9ihRbrMtnjbEuSnx1MLldDZsISvU8YcNsR63Vw4b8=","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
"65a3ae7d-8e82-4d1c-a645-9335beb0a08b","CPER_009.basePlot.bet","D10","CPER","CPER_009","E","2014-06-19","2014-07-03","2014-07-03","2014-10-13",,"CPER_009.E.20140703","KY+Aed9dLRv1CQurw/uxZOA55uC9lnuPl+gaVuBAhBM=","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
"df40bc0a-34bd-449b-aea7-81ffd2c5b80d","CPER_005.basePlot.bet","D10","CPER","CPER_005","E","2014-06-19","2014-07-03","2014-07-03","2014-10-13",,"CPER_005.E.20140703","e1AKewEwvnEdOmnM/0EiBPbL7EfYC1ohV/StddWO+BU=","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
"0b8b7e69-2268-434a-a659-66daeb4e9997","CPER_003.basePlot.bet","D10","CPER","CPER_003","E","2014-06-19","2014-07-03","2014-07-03","2014-10-13","2014-10-13","CPER_003.E.20140703","omCPNZnkoGTaKCLsNHgAu/k504+YRkgj/nKX5ijJePM=","carabid","HARCAL","Harpalus caliginosus","species",,"Fabricius",,1,"Other","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
"148974eb-6126-4a57-83a6-4b3d11540944","CPER_003.basePlot.bet","D10","CPER","CPER_003","E","2014-06-19","2014-07-03","2014-07-03","2014-10-13","2015-01-14","CPER_003.E.20140703","omCPNZnkoGTaKCLsNHgAu1tkQe5IMR1k2aqDT6Z/mIE=","carabid","EURGRO","Euryderus grossus","species",,"Say",,2,"Other","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
