uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"3f632686-9ea3-41c6-90f3-cdfdce9743b9","CPER_004.basePlot.bet","D10","CPER","CPER_004","2016-08-25","2016-09-08","2016-09-28","eSCyThC0ZO7Z8HwXncMQ8/GJO/Qs0tmKMcHtjwNgSaSgrDAI9Ca2iqGHmaVCYy9Pynd4e/w4Zo/+riFfN8MuvMvpFEcof+kGYcRMNByAm56wm/2Yej2cxrVjivGHWDTHHtATk/5fBEM=","eSCyThC0ZO4KJzgRNAUwXmM5emm4FlOh",,,
"95422ea9-bbb3-41a5-9c25-4f8284b2085d","CPER_002.basePlot.bet","D10","CPER","CPER_002","2016-08-25","2016-09-08","2016-09-28","OMNGlFKVPvROFlwUjzTlLqANVoImsA5EkTwQkILzG2b/1ES5oV+8BR7/GbWJ0X1+bOnA/8HEGcn1wDDmBh6ArtqPIZnR/i1ZRLUEtql+iSMJqOg3CZHnpx3VXlqfxme1+7CrMqAy6ao=","OMNGlFKVPvTohPGMu/CM2zhiS6HT7cn0",,,
"d062b164-d5f9-4891-83b7-09e74e6fbbae","CPER_006.basePlot.bet","D10","CPER","CPER_006","2016-08-25","2016-09-08","2016-09-28","NHMCrMp+/ZU42xsb7uhkh+2uX83tgKiqBHEkXsKwkolzv/ISdgS5SWbUL9TIehyaQiMK2Zuiw6/ivvjFSTo696OdhuqMyzcEPwNhzUd0TUP7Jjq/ZEtcBRPxMcnHC6DOVtBpDukoswY=","NHMCrMp+/ZUviuiSKHhM6djhWG6Sx19H",,,
"baa1dca0-3dd5-4d39-9453-8dc8c63d0769","CPER_009.basePlot.bet","D10","CPER","CPER_009","2016-08-25","2016-09-08","2016-09-28","KY+Aed9dLRtMfeumMywSKVAMIAf7hNrx37iit3xg4GSulamCp2HvlAsiMisxBorQMOdVsP2ZYrRi7TIfWQ5WSDsZXya+ns1JqGrq+jCBgMCJJDdjEKAT1f31aF3efbcMqMifj+ODvMw=","KY+Aed9dLRt+XipUwnR7QX/1EbZMNSMm",,,
"0377f19e-69aa-4d2b-a664-71579151203a","CPER_008.basePlot.bet","D10","CPER","CPER_008","2016-08-25","2016-09-08","2016-09-28","kqngcYlCVJ6RTpAUD89Xbyy5uNlSpARJJVvw9d1Iv1eWQBCN9VCcM/eBgC6+8qFGiCZJo1RdGTfvZJcLV6UaY/mJc0TomuhINhSQjrhRf1KsqeSxx4xx4vYmHHIYBeLkep61a1rrQss=","kqngcYlCVJ7XCQLH5wOJxVQEnb6eugof",,,
"6729c1b0-459d-473d-ae3a-00683b16488d","CPER_010.basePlot.bet","D10","CPER","CPER_010","2016-08-25","2016-09-08","2016-09-28","DW9ihRbrMtmCpKWaSPJZkyBQ08pi1ruNZFjTEYSvspGF/d7TSB7vZF1kXszIBMTXqO719rp/wUqJzmoxwgnShA09hMfqDNCSbyjhuLENjwecFIiWjuR+nHxwW1pMqh95sXOYwjlcg1E=","DW9ihRbrMtnbBpA5qTfADSbPYbb6PE5t",,,
"977f161c-204e-4d43-ae9e-18c0603479aa","CPER_007.basePlot.bet","D10","CPER","CPER_007","2016-08-25","2016-09-08","2016-09-28","SOIi55Lib0IFQ1eb9PLopB76IT1/mApx92W213znfBV1OylxhnO/boj8K1oGfR/e6mnHAystJ5gHlx4O8WmlOmG7ptNwuxSf0Oo4rurvqH5grCOhtki7s0k3UB14FOGFPNwI2DEqwlg=","SOIi55Lib0JG/TNVNTdQtT5qgiVhkgrP",,,
"595564f9-d0eb-4f99-93b6-ff2f6a42e9f5","CPER_005.basePlot.bet","D10","CPER","CPER_005","2016-08-25","2016-09-08","2016-09-28","e1AKewEwvnHrFZfyRqKUqHajXFJnOHMrmPlvdNR+gn+Ymlz8QcNArL+Z2+NA/ej8UQPDG1scBrLZ1zzOgtzTbTAGLcwmlUO6CWMzvlzarmMIL9aSMbeMjZcxjdEyHanS9FbUFexQ1CY=","e1AKewEwvnFdfGyoj4TbMnwnqAm14Vsk",,,
"55ebb473-dd6e-4109-95cb-f186527bdc8e","CPER_003.basePlot.bet","D10","CPER","CPER_003","2016-08-25","2016-09-08","2016-09-28","omCPNZnkoGQP9lmlKNURW0LCqFfIlYDJfH1K9Nvd2kvjDivuXxL+KV2TMrytxJt1yrQxtpFzn0YWNGCD2KdggcHV+iA9FskEGG9mugwqGGgF8iroCVI2+oFnA2n5TG38TZjRzsBZCIY=","omCPNZnkoGSeItOVarw8+RT7YKhB1YQj",,,
"71cd766c-bd82-437e-b8c1-36feea73d61c","CPER_001.basePlot.bet","D10","CPER","CPER_001","2016-08-25","2016-09-08","2016-09-28","BEtTVHT1LvHssZlqN3Ym2xO4BYtWx2CIpE/7lCLshcp/AxZNGFComJIZyNf72hCJz+Z+gTKm4bLReJ1+13Xj8CUEfdffV895swVK3ZV3WYfvQwN+YKRDFfPQdTYFWamgxtwsR/EUmAc=","BEtTVHT1LvFjS2nhZumxD86ufClFWky8",,,
